TargetKey,DateKey,VendorKey,TargetRevenue,TargetUnits,BudgetCost
160,20230201,10,155375.27,10273,107076.06
161,20230201,11,160562.3,3780,104712.38
162,20230201,12,87351.9,4703,60812.5
163,20230201,13,13898.64,396,7963.36
164,20230201,14,121362.57,7489,84555.36
165,20230201,15,54305.26,3332,36080.44
166,20230201,16,108969.39,2562,61934.64
167,20230201,17,16644.74,543,10256.24
168,20230201,18,19960.35,471,12837.02
169,20230201,19,105035.92,4957,60945.74
170,20230201,20,116930.15,2916,71583.73
171,20230201,21,98688.14,3375,57742.87
172,20230201,22,11217.53,315,7818.92
173,20230201,23,50726.95,1439,28476.1
174,20230201,24,83132.56,1861,47902.98
175,20230201,25,33218.05,2164,20932.85
176,20230201,26,61434.43,1794,41856.27
177,20230201,27,41206.16,2175,23652.82
178,20230201,28,61148.86,1646,34385.92
179,20230201,29,30706.15,1059,17515.67
180,20230201,30,43025.91,1142,24169.01
181,20230201,31,93911.04,2243,55190.19
182,20230201,32,79146.1,2791,43756.75
183,20230201,33,75915.6,1906,41806.68
184,20230201,34,67470.51,1590,46246.79
185,20230201,35,48448.2,1216,33716.87
186,20230201,36,60539.57,1371,36419.73
187,20230201,37,78665.78,2873,46114.4
188,20230201,38,89877.49,2584,56850.92
189,20230201,39,46586.51,1231,28689.69
190,20230201,40,268807.68,11674,182122.56
191,20230201,41,37290.12,1739,20960.27
192,20230201,42,33679.46,1286,23352.31
193,20230201,43,37445.65,1616,24112.61
194,20230201,44,103750.28,2492,59770.85
195,20230201,45,9030.64,313,5559.85
196,20230201,46,177632.64,8242,112067.51
197,20230201,47,89525.06,2796,61903.45
198,20230201,48,65671.18,1591,44744.46
199,20230201,49,109237.59,5788,67021.42
200,20230201,50,26180.88,615,17658.39
201,20230201,51,42489.21,1221,27314.09
202,20230201,52,98744.96,4457,68781.11
203,20230201,53,56638.48,2343,34736.48
204,20230201,54,40910.52,2029,26227.01
205,20230201,55,78717.86,2490,48733.16
206,20230201,56,9770.4,455,6693.26
207,20230201,57,42598.12,1650,27790.91
208,20230201,58,79288.87,2275,44598.83
209,20230201,59,95093.35,6322,61361.37
210,20230201,60,56545.2,2304,38793.07
211,20230201,61,81515.42,1821,55770.51
212,20230201,62,91605.27,3747,59961.02
213,20230201,63,62599.51,2058,36632.29
214,20230201,64,291361.41,14807,176674.27
215,20230201,65,86097.48,2608,47823.56
216,20230201,66,27526.32,672,18014.34
217,20230201,67,67913.06,2454,46163.33
218,20230201,68,7584.27,211,4715.51
219,20230201,69,19428.68,731,11612.17
220,20230201,70,60922.37,1563,37695.32
221,20230201,71,148786.04,8167,97646.82
222,20230201,72,61305.23,2780,40526.46
223,20230201,73,26162.17,1604,15961.06
224,20230201,74,100884.54,3762,62251.93
225,20230201,75,57277.81,1958,32467.88
226,20230201,76,167812.53,6861,102331.67
227,20230201,77,84644.12,2024,55899.58
228,20230201,78,185613.12,5330,118346.13
229,20230201,79,29056.55,822,17321.28
230,20230201,80,12983.47,420,7147.1
231,20230201,81,79523.2,1823,47424.93
232,20230201,82,17970.83,703,12055.53
233,20230201,83,47640.87,1907,27462.07
234,20230201,84,274611.13,9054,188988.62
235,20230201,85,103874.89,2512,59527.2
236,20230201,86,12981.29,324,8947.24
237,20230201,87,74048.01,2491,50335.49
238,20230201,88,41581.69,2099,25934.84
239,20230201,89,171715.46,6892,110352.6
240,20230201,90,37109.04,1098,25323.34
241,20230201,91,38359.41,1034,24357.75
242,20230201,92,73989.3,3247,47669.85
243,20230201,93,100109.34,3434,55989.73
244,20230201,94,14606.75,649,9605.28
245,20230201,95,158522.65,8811,106572.01
246,20230201,96,64305.0,3020,37390.3
247,20230201,97,95140.3,4317,60729.78
248,20230201,98,71186.55,2050,49799.54
249,20230201,99,208190.31,7061,138339.87
250,20230201,100,144771.3,4734,88514.47
251,20230201,101,81285.1,2648,51280.07
252,20230201,102,116544.75,3346,66137.24
253,20230201,103,271204.18,8108,168972.09
254,20230201,104,98693.38,3308,54819.42
255,20230201,105,118567.13,3264,76370.36
256,20230201,106,32086.16,803,20198.08
257,20230201,107,273501.02,9818,162858.73
258,20230201,108,83083.15,3089,51679.28
259,20230201,109,35996.06,854,24019.46
260,20230201,110,31383.01,1417,19120.32
261,20230201,111,180549.43,6718,115758.28
262,20230201,112,131293.84,3884,77520.25
263,20230201,113,61868.99,1379,34463.92
264,20230201,114,85871.45,3981,52356.82
265,20230201,115,46077.28,2683,26416.62
266,20230201,116,111560.32,3986,65981.07
267,20230201,117,89731.02,2065,62390.28
268,20230201,118,105387.24,4090,61086.72
269,20230201,119,19256.06,619,12083.93
270,20230201,120,113696.98,2767,68646.46
271,20230201,121,41897.79,1825,23756.11
272,20230201,122,207893.52,6729,125348.0
273,20230201,123,49900.39,1856,33846.92
274,20230201,124,22450.62,716,15331.19
275,20230201,125,34414.53,1378,24054.63
276,20230201,126,77706.53,1988,45679.93
277,20230201,127,50752.97,1621,33568.07
278,20230201,128,47986.39,2980,32296.59
279,20230201,129,154644.78,4976,104035.11
280,20230201,130,85601.96,3349,50903.42
281,20230201,131,7743.15,384,4442.66
282,20230201,132,60730.67,2790,35854.88
283,20230201,133,144101.98,4062,85452.37
284,20230201,134,17198.2,493,10486.24
285,20230201,135,80949.12,3779,48170.87
286,20230201,136,75338.51,3148,42592.44
287,20230201,137,173099.81,8088,114357.87
288,20230201,138,76940.84,2909,44826.82
289,20230201,139,171061.21,8950,105169.56
290,20230201,140,9277.63,257,5418.38
291,20230201,141,75587.69,3238,47134.93
292,20230201,142,194316.74,12100,118151.79
293,20230201,143,47264.23,1908,27161.39
294,20230201,144,76414.66,2228,47990.45
295,20230201,145,84672.62,4485,52050.79
296,20230201,146,141304.95,8739,94175.5
297,20230201,147,23051.95,625,13298.4
298,20230201,148,100352.06,2678,64050.88
299,20230201,149,44431.58,1651,30318.06
300,20230201,150,63030.06,3355,41792.14
301,20230301,1,35436.86,935,23640.91
302,20230301,2,41388.65,2230,24481.49
303,20230301,3,58129.86,2058,36933.98
304,20230301,4,12730.99,292,8717.46
305,20230301,5,14791.56,716,8640.89
306,20230301,6,13263.48,406,7962.72
307,20230301,7,155108.32,6114,91404.82
308,20230301,8,103149.61,4419,60768.15
309,20230301,9,34864.66,1163,20055.29
310,20230301,10,49863.19,1932,31419.78
311,20230301,11,118122.32,4421,72746.49
312,20230301,12,57664.45,1455,36189.69
313,20230301,13,28128.2,825,19140.03
314,20230301,14,92747.7,2175,51202.96
315,20230301,15,101374.39,2448,61351.98
316,20230301,16,87823.37,2186,52539.28
317,20230301,17,10671.27,499,6295.59
318,20230301,18,84005.81,3082,57606.09
319,20230301,19,21106.89,547,12899.4
320,20230301,20,123107.19,2960,77602.78
321,20230301,21,81530.05,4905,50317.11
322,20230301,22,56028.22,1559,39098.08
323,20230301,23,67297.95,2245,41164.31
324,20230301,24,42315.74,1857,23882.93
325,20230301,25,72947.84,2852,43583.3
326,20230301,26,42545.78,2783,27911.4
327,20230301,27,76863.74,3807,44429.57
328,20230301,28,51356.78,1995,32225.69
329,20230301,29,102466.99,3308,61085.77
330,20230301,30,74250.0,2561,44909.62
331,20230301,31,13995.06,331,8697.07
332,20230301,32,97161.03,4519,53939.24
333,20230301,33,60328.66,1357,33714.38
334,20230301,34,217794.55,8357,130469.41
335,20230301,35,55681.89,3222,32132.0
336,20230301,36,45031.88,2254,27553.04
337,20230301,37,69911.2,1849,46335.38
338,20230301,38,108817.87,4579,67450.19
339,20230301,39,36991.36,834,21264.11
340,20230301,40,244622.87,6211,156445.55
341,20230301,41,95381.44,3539,57006.62
342,20230301,42,217263.65,7629,136134.78
343,20230301,43,68582.03,3171,43861.44
344,20230301,44,20367.95,823,12524.96
345,20230301,45,67437.46,3160,40829.18
346,20230301,46,58070.88,1501,39676.94
347,20230301,47,81730.02,3757,49284.19
348,20230301,48,99663.87,4051,61803.27
349,20230301,49,87304.0,2504,51975.43
350,20230301,50,100332.1,2468,66276.41
351,20230301,51,78768.49,2650,51852.87
352,20230301,52,85325.78,2077,55190.23
353,20230301,53,73286.59,3343,47667.08
354,20230301,54,87050.59,4380,58615.95
355,20230301,55,102684.29,3504,60958.52
356,20230301,56,54021.42,2726,36087.26
357,20230301,57,109195.5,3845,71204.43
358,20230301,58,93858.52,5429,56452.83
359,20230301,59,46385.86,1833,26557.08
360,20230301,60,168743.22,5682,101809.49
361,20230301,61,105013.16,3439,73041.54
362,20230301,62,56919.79,1339,36841.06
363,20230301,63,77315.4,1983,42593.7
364,20230301,64,300593.2,12614,170158.01
365,20230301,65,46367.05,1260,26771.41
366,20230301,66,79522.97,3472,48871.26
367,20230301,67,184037.16,12025,116682.03
368,20230301,68,59595.61,1571,38255.35
369,20230301,69,26965.52,903,18648.91
370,20230301,70,17195.76,704,10729.12
371,20230301,71,23907.49,743,15657.11
372,20230301,72,42004.62,1325,29291.03
373,20230301,73,36105.61,1698,20070.78
374,20230301,74,104991.3,4550,66218.8
375,20230301,75,265925.19,13945,167413.03
376,20230301,76,61954.34,2931,37654.58
377,20230301,77,55415.63,1370,38069.89
378,20230301,78,213226.33,4864,129923.02
379,20230301,79,39926.32,2080,26940.0
380,20230301,80,26948.67,820,18832.18
381,20230301,81,95535.61,2489,65578.53
382,20230301,82,10277.96,322,6543.49
383,20230301,83,66614.26,2794,43607.95
384,20230301,84,231346.84,8124,143716.3
385,20230301,85,42433.54,1202,25373.57
386,20230301,86,16176.18,575,11219.72
387,20230301,87,33194.48,843,19725.81
388,20230301,88,217244.25,5714,145403.72
389,20230301,89,209732.76,7803,124597.06
390,20230301,90,91689.02,2145,61200.81
391,20230301,91,8538.39,197,4919.22
392,20230301,92,87675.95,2750,50776.87
393,20230301,93,8072.34,274,4561.91
394,20230301,94,44805.44,1385,28260.3
395,20230301,95,191951.07,4277,125555.57
396,20230301,96,8649.84,406,5177.64
397,20230301,97,99475.44,2930,65357.24
398,20230301,98,86823.43,2652,50972.09
399,20230301,99,218271.43,8000,134342.47
400,20230301,100,187133.9,8520,127307.72
401,20230301,101,107737.9,2755,70768.45
402,20230301,102,173278.49,4317,106317.9
403,20230301,103,93758.6,3090,62292.48
404,20230301,104,66225.53,2572,36644.98
405,20230301,105,96195.28,5147,55559.39
406,20230301,106,25182.67,1232,14077.33
407,20230301,107,285382.72,8787,181701.25
408,20230301,108,72365.4,3681,47335.5
409,20230301,109,67463.55,4291,44847.18
410,20230301,110,82812.11,3477,46508.38
411,20230301,111,93661.01,4340,58595.14
412,20230301,112,152881.67,4269,93643.54
413,20230301,113,100743.32,6499,66151.94
414,20230301,114,79383.9,2495,53530.08
415,20230301,115,91833.19,3930,59508.44
416,20230301,116,104112.63,4484,72333.19
417,20230301,117,36956.36,1127,24967.42
418,20230301,118,193899.7,6191,127987.79
419,20230301,119,54297.56,2664,37375.52
420,20230301,120,205965.2,13097,140384.54
421,20230301,121,34222.51,1993,22463.7
422,20230301,122,83216.12,2023,48622.81
423,20230301,123,56046.5,1500,35807.37
424,20230301,124,29142.02,902,17044.76
425,20230301,125,38534.55,1575,22444.29
426,20230301,126,168039.51,5465,105614.47
427,20230301,127,90246.12,5545,53104.94
428,20230301,128,56232.93,1435,33840.54
429,20230301,129,149733.44,7695,100590.96
430,20230301,130,139941.8,5402,80007.94
431,20230301,131,31158.01,1466,19754.33
432,20230301,132,86234.94,3007,47655.81
433,20230301,133,268499.53,9129,177547.56
434,20230301,134,58483.98,1635,39486.06
435,20230301,135,56746.31,1430,33559.19
436,20230301,136,88878.32,5316,53933.05
437,20230301,137,146004.26,4759,80524.8
438,20230301,138,120175.67,2686,69257.34
439,20230301,139,189209.37,5239,116619.71
440,20230301,140,56022.73,2382,32785.88
441,20230301,141,31168.31,754,19267.3
442,20230301,142,278830.35,13696,188428.58
443,20230301,143,92005.36,2361,63119.16
444,20230301,144,82483.56,4475,50433.81
445,20230301,145,72713.99,3193,47161.58
446,20230301,146,83512.38,2410,57403.77
447,20230301,147,183152.46,6171,105983.33
448,20230301,148,63996.21,2649,36932.63
449,20230301,149,43328.66,1114,25294.72
450,20230301,150,105313.8,5071,67348.46
451,20230401,1,71868.39,2439,46003.68
452,20230401,2,87400.54,3175,54354.01
453,20230401,3,83584.18,4865,53140.4
454,20230401,4,93080.79,2380,53736.73
455,20230401,5,27849.68,918,18904.22
456,20230401,6,37241.07,994,24618.72
457,20230401,7,79349.39,3201,50051.07
458,20230401,8,43349.71,1016,29709.14
459,20230401,9,109650.08,4746,65968.25
460,20230401,10,28238.17,1181,15758.13
461,20230401,11,78387.82,3079,49083.36
462,20230401,12,60348.42,1804,34185.82
463,20230401,13,52499.86,2106,29498.27
464,20230401,14,150908.18,3634,95069.63
465,20230401,15,31068.81,774,20362.53
466,20230401,16,11057.08,279,6959.13
467,20230401,17,61434.42,2347,40853.49
468,20230401,18,43357.51,1395,29617.67
469,20230401,19,170819.01,5927,112731.54
470,20230401,20,129614.83,5421,83277.22
471,20230401,21,55060.34,2120,30951.41
472,20230401,22,50928.61,3145,34814.13
473,20230401,23,82148.91,2367,51960.24
474,20230401,24,86230.29,2673,57907.48
475,20230401,25,40646.37,1231,27272.7
476,20230401,26,20747.35,557,14225.82
477,20230401,27,71862.93,2282,43316.11
478,20230401,28,60109.64,2574,39926.01
479,20230401,29,26481.1,1033,16290.88
480,20230401,30,44488.06,1330,25453.24
481,20230401,31,62222.14,2786,34456.14
482,20230401,32,105127.17,2888,58907.38
483,20230401,33,59516.34,1408,35193.42
484,20230401,34,200171.09,6369,112315.92
485,20230401,35,115169.97,2753,78115.18
486,20230401,36,82168.61,4885,51716.5
487,20230401,37,55191.69,3373,38300.78
488,20230401,38,30902.72,802,19705.33
489,20230401,39,119699.59,2760,68267.14
490,20230401,40,224305.63,10925,126407.35
491,20230401,41,27446.1,838,17377.37
492,20230401,42,52416.11,1585,35632.45
493,20230401,43,79602.32,1898,47165.77
494,20230401,44,15526.65,498,9992.9
495,20230401,45,35339.68,1317,20605.48
496,20230401,46,182886.83,7498,123776.62
497,20230401,47,39519.18,2582,24947.74
498,20230401,48,109245.71,4226,60596.38
499,20230401,49,67171.49,2014,42687.27
500,20230401,50,119801.4,3003,83339.59
501,20230401,51,99888.85,4039,55396.63
502,20230401,52,81033.27,4037,53190.42
503,20230401,53,80300.74,2806,50609.68
504,20230401,54,67611.86,1831,44506.95
505,20230401,55,86071.04,2037,52714.08
506,20230401,56,8860.62,565,5162.84
507,20230401,57,34731.49,791,20170.74
508,20230401,58,86263.64,5223,58924.46
509,20230401,59,105249.55,2876,71904.5
510,20230401,60,133837.51,4911,76746.13
511,20230401,61,71611.25,2015,41110.36
512,20230401,62,40942.81,1151,28159.62
513,20230401,63,78429.21,3777,43654.23
514,20230401,64,172601.46,5405,110387.82
515,20230401,65,76001.48,1819,52167.06
516,20230401,66,17881.9,712,11173.25
517,20230401,67,180411.94,7612,117614.95
518,20230401,68,68551.18,2862,39520.29
519,20230401,69,31293.82,1844,21277.2
520,20230401,70,11776.88,693,7581.82
521,20230401,71,113313.8,3234,62561.56
522,20230401,72,37871.77,1028,22811.8
523,20230401,73,94604.57,2885,54246.19
524,20230401,74,77784.91,4735,49714.53
525,20230401,75,90767.23,2867,55964.76
526,20230401,76,113568.08,2642,79127.73
527,20230401,77,116375.81,5775,68423.71
528,20230401,78,191583.92,6227,106659.66
529,20230401,79,63759.19,1441,38897.62
530,20230401,80,35154.24,1262,22840.21
531,20230401,81,32341.17,1133,19576.44
532,20230401,82,41480.51,927,26276.62
533,20230401,83,7919.38,204,4629.53
534,20230401,84,31124.92,1298,20501.55
535,20230401,85,136991.51,3993,84653.7
536,20230401,86,70611.92,2590,41495.57
537,20230401,87,98156.85,3400,54324.78
538,20230401,88,204034.9,12095,137023.75
539,20230401,89,181190.64,7893,119334.49
540,20230401,90,113721.51,2810,77583.95
541,20230401,91,99087.11,3736,61430.38
542,20230401,92,20305.49,1060,11927.7
543,20230401,93,41101.12,960,27480.64
544,20230401,94,52314.57,1320,35966.0
545,20230401,95,62537.04,1752,37816.55
546,20230401,96,18422.51,582,10386.71
547,20230401,97,53061.69,1370,34753.37
548,20230401,98,94289.36,4667,58895.74
549,20230401,99,204641.6,7093,141241.68
550,20230401,100,97157.06,2894,67419.78
551,20230401,101,61345.58,2657,42135.74
552,20230401,102,103281.65,2995,61730.47
553,20230401,103,36413.64,2046,24915.46
554,20230401,104,55593.14,1529,34327.07
555,20230401,105,147576.2,7860,87321.27
556,20230401,106,32587.81,1100,20072.77
557,20230401,107,225600.78,10979,127992.18
558,20230401,108,55562.98,1436,38679.76
559,20230401,109,89489.27,3123,50141.2
560,20230401,110,34560.67,1811,21451.42
561,20230401,111,32809.81,931,18769.02
562,20230401,112,99355.76,2731,61775.24
563,20230401,113,10965.18,282,6600.48
564,20230401,114,71900.22,3537,44992.9
565,20230401,115,69816.37,3576,39823.87
566,20230401,116,186372.5,4221,118075.78
567,20230401,117,57732.54,2823,38067.43
568,20230401,118,198684.12,4838,122595.0
569,20230401,119,41931.39,1563,23444.4
570,20230401,120,110288.52,3148,70936.32
571,20230401,121,56408.46,1703,34394.45
572,20230401,122,218951.49,12597,151911.24
573,20230401,123,24317.11,1115,15744.91
574,20230401,124,103222.94,3003,59613.88
575,20230401,125,63596.42,2832,42407.03
576,20230401,126,129508.54,4307,79603.65
577,20230401,127,27565.91,1783,18146.9
578,20230401,128,13007.1,487,7273.43
579,20230401,129,74932.4,2138,50295.22
580,20230401,130,25438.33,584,17270.26
581,20230401,131,24013.57,1141,13236.78
582,20230401,132,65896.4,2342,43039.08
583,20230401,133,280176.74,17858,167703.76
584,20230401,134,25157.71,616,14311.91
585,20230401,135,24734.33,797,14585.1
586,20230401,136,102738.62,2974,63122.47
587,20230401,137,177562.12,5369,110330.57
588,20230401,138,122036.23,5504,73831.16
589,20230401,139,201570.66,8406,136661.19
590,20230401,140,22150.8,642,12668.36
591,20230401,141,13012.14,342,7867.39
592,20230401,142,155325.95,3540,92166.25
593,20230401,143,42562.48,1191,28601.22
594,20230401,144,17314.71,617,11216.89
595,20230401,145,93517.82,3689,58512.83
596,20230401,146,182463.8,7133,106579.31
597,20230401,147,106004.16,2498,66316.39
598,20230401,148,10704.69,361,7143.96
599,20230401,149,32276.85,951,19795.32
600,20230401,150,38998.97,1307,25749.72
601,20230501,1,71338.04,2005,43956.23
602,20230501,2,22530.6,564,12879.45
603,20230501,3,54120.77,2861,35457.06
604,20230501,4,98534.15,2708,55736.56
605,20230501,5,14373.15,683,8225.01
606,20230501,6,55245.89,1575,37494.07
607,20230501,7,97155.67,2162,55137.17
608,20230501,8,32903.37,1177,18704.67
609,20230501,9,89579.14,2950,53780.87
610,20230501,10,109612.41,4821,63619.68
611,20230501,11,143924.35,4586,90922.71
612,20230501,12,96737.0,4604,54121.07
613,20230501,13,60147.82,1653,39805.47
614,20230501,14,197151.35,6313,110993.03
615,20230501,15,68146.36,4208,38453.74
616,20230501,16,49522.5,2445,27964.21
617,20230501,17,14679.03,658,10012.77
618,20230501,18,83644.07,3588,51668.67
619,20230501,19,147157.74,6040,92600.37
620,20230501,20,18034.42,882,11610.85
621,20230501,21,76726.96,2060,44329.0
622,20230501,22,42068.1,1256,27992.1
623,20230501,23,48002.77,2757,27282.91
624,20230501,24,58156.43,1301,38726.5
625,20230501,25,46054.24,1272,26258.61
626,20230501,26,53620.24,3323,34481.3
627,20230501,27,44437.67,1004,28287.66
628,20230501,28,104974.18,3083,67848.14
629,20230501,29,33039.13,1165,19405.42
630,20230501,30,106681.78,3633,61487.99
631,20230501,31,64331.8,1527,45026.54
632,20230501,32,63763.76,2633,38279.82
633,20230501,33,32768.38,934,19011.51
634,20230501,34,142460.11,8119,78934.02
635,20230501,35,107865.64,3077,62901.93
636,20230501,36,49774.79,1903,28004.74
637,20230501,37,106474.97,2944,72817.96
638,20230501,38,108831.47,6115,70372.61
639,20230501,39,176610.83,9482,98099.55
640,20230501,40,33191.36,1774,21020.47
641,20230501,41,50487.06,2275,28757.89
642,20230501,42,117501.95,5004,81621.59
643,20230501,43,67911.82,2125,42253.46
644,20230501,44,106085.27,2763,59301.4
645,20230501,45,73601.89,2606,46004.54
646,20230501,46,174883.47,5241,112138.44
647,20230501,47,71284.59,4642,48559.13
648,20230501,48,105675.45,2877,59461.97
649,20230501,49,46562.43,1503,30852.86
650,20230501,50,69747.98,1631,47102.44
651,20230501,51,70246.82,2703,40814.7
652,20230501,52,59511.77,2636,37225.21
653,20230501,53,26609.8,707,14718.83
654,20230501,54,18822.58,932,11977.83
655,20230501,55,70706.52,3308,41865.29
656,20230501,56,86280.11,2108,56179.69
657,20230501,57,94819.42,4617,61459.78
658,20230501,58,10096.44,249,5750.2
659,20230501,59,109550.24,7293,72132.06
660,20230501,60,159932.91,6275,102670.02
661,20230501,61,21002.84,547,12796.51
662,20230501,62,61571.48,2806,37970.13
663,20230501,63,99807.07,5991,55948.71
664,20230501,64,113039.41,5451,69364.37
665,20230501,65,106352.82,3024,58926.93
666,20230501,66,22344.91,518,12313.23
667,20230501,67,64134.32,2559,37086.77
