PromotionFactKey,DateKey,ProductKey,PromotionKey,PromoUnits,PromoRevenue
76,20251127,251,44,19,5147.73
77,20250417,442,3,26,548.54
78,20251109,467,19,18,2202.0
79,20240113,383,39,20,656.62
80,20230912,618,55,29,3167.36
81,20230228,395,23,28,8872.22
82,20230317,719,40,23,1231.88
83,20250408,185,59,32,3348.73
84,20260306,744,47,36,2840.51
85,20230922,331,42,24,4803.63
86,20241219,534,7,26,2269.6
87,20240304,432,32,26,5973.32
88,20250702,751,33,32,2271.41
89,20251129,230,10,23,1006.01
90,20240525,245,35,12,960.0
91,20250402,314,8,26,4041.57
92,20260528,158,10,32,2038.9
93,20230310,744,35,25,1529.55
94,20230802,675,39,29,5307.41
95,20260509,565,43,30,1018.75
96,20240203,223,20,23,5929.65
97,20230528,730,60,26,4581.84
98,20250420,786,49,36,2651.36
99,20241001,449,10,31,549.51
100,20240226,71,17,35,2166.57
101,20230726,647,49,23,2455.4
102,20241105,403,15,29,4096.9
103,20230129,177,55,39,2623.98
104,20250529,786,58,35,3732.77
105,20240727,505,56,30,2820.76
106,20231224,716,53,15,1300.3
107,20230602,503,56,29,6040.79
108,20230325,791,42,36,5779.59
109,20260517,275,21,37,1103.69
110,20231111,379,57,20,4630.65
111,20230207,359,35,24,2325.06
112,20260515,549,24,20,1923.32
113,20250906,499,35,29,4691.08
114,20230625,424,25,27,3700.76
115,20250419,24,7,25,2471.87
116,20230224,73,29,25,4098.6
117,20251109,110,6,28,4723.33
118,20260511,224,3,21,2468.21
119,20240208,52,20,28,527.4
120,20250609,505,36,13,1375.35
121,20230920,289,12,26,1017.92
122,20260418,265,12,29,5335.73
123,20240513,24,47,16,1614.4
124,20230719,206,29,26,703.46
125,20240911,552,9,26,3463.61
126,20230605,352,56,29,5171.96
127,20230601,246,26,27,6135.12
128,20240730,508,15,27,6503.28
129,20250403,577,40,21,4486.94
130,20240615,387,16,26,1568.61
131,20230627,501,20,21,3129.98
132,20230714,146,59,30,4270.16
133,20231119,1,41,21,1903.4
134,20250710,748,49,29,4047.52
135,20230703,37,56,32,8556.08
136,20241112,673,44,29,9492.29
137,20250821,762,16,26,6607.47
138,20240205,315,29,25,5531.72
139,20260422,506,36,36,1310.15
140,20240802,247,33,22,1834.07
141,20240821,716,42,32,2196.06
142,20260611,647,17,21,2947.81
143,20241201,618,60,25,2377.02
144,20251002,247,11,39,3772.07
145,20230720,320,34,27,3441.09
146,20231215,600,46,21,1045.21
147,20251120,760,3,34,6263.85
148,20240215,677,7,34,2690.19
149,20230406,297,8,23,3016.1
150,20251216,644,20,26,10209.02
151,20251127,778,9,34,5318.27
152,20251027,47,35,20,2792.62
153,20260207,147,42,22,834.85
154,20230214,587,46,33,6755.52
155,20231110,131,23,27,551.93
156,20230617,47,13,20,3913.28
157,20230830,21,29,29,6051.13
158,20230611,330,22,27,4839.36
159,20250515,509,50,24,1287.91
160,20230729,286,36,28,6555.44
161,20250818,330,30,35,6182.47
162,20240630,270,30,15,1360.12
163,20250623,323,45,33,4415.86
164,20240606,404,1,28,4488.61
165,20260601,365,49,25,4301.48
166,20251228,520,57,26,7109.38
167,20241027,74,7,28,3065.46
168,20241008,309,40,25,4931.7
169,20241004,762,25,20,4626.18
170,20250218,314,34,25,3747.55
171,20250425,155,33,28,3377.67
172,20240826,562,25,23,3607.96
173,20240707,468,16,30,9704.0
174,20250830,33,42,27,2803.11
175,20240723,382,15,23,785.85
176,20250227,514,14,24,7631.53
177,20230607,547,22,17,4160.45
178,20250306,696,11,10,1509.31
179,20231027,774,3,17,977.41
180,20250429,668,30,20,1479.78
181,20251209,127,31,16,3966.31
182,20231231,328,3,33,1471.31
183,20230425,581,13,36,1448.13
184,20241003,410,35,32,1865.27
185,20230804,789,8,29,7724.6
186,20240923,446,8,25,764.0
187,20251115,590,8,24,1025.4
188,20240210,646,55,24,4505.66
189,20240204,561,11,17,3160.03
190,20260412,135,49,23,549.18
191,20230426,690,36,27,2557.22
192,20260122,434,51,22,1760.27
193,20241227,701,16,21,1920.18
194,20250214,169,53,27,1938.22
195,20260611,168,18,23,2081.26
196,20230917,767,38,21,445.11
197,20251018,93,7,31,1486.8
198,20260320,174,52,31,5007.05
199,20230120,377,20,18,3640.95
200,20250806,90,49,33,4357.65
201,20251220,220,5,20,4097.33
202,20250323,184,55,28,7940.72
203,20230420,653,41,20,2974.31
204,20260309,331,5,21,4579.85
205,20250309,193,23,21,3003.2
206,20230416,346,58,34,7963.69
207,20250531,199,41,23,2071.0
208,20250817,222,54,30,4187.49
209,20240420,462,60,21,3738.85
210,20230122,701,45,29,1757.13
211,20240401,64,49,29,4003.44
212,20260222,738,35,32,4426.86
213,20240809,86,4,21,203.19
214,20241023,286,43,29,7701.59
215,20260126,448,38,22,437.22
216,20260208,492,59,27,2070.06
217,20260403,263,30,23,1232.68
218,20230618,295,11,37,6697.1
219,20231216,751,36,23,1675.78
220,20250903,598,47,25,2225.62
221,20250920,261,26,25,4159.71
222,20240804,567,7,26,4546.92
223,20240609,554,27,24,1127.2
224,20250530,580,13,30,7339.61
225,20251108,285,11,24,4096.16
226,20240109,504,58,28,574.89
227,20260510,602,59,25,1611.09
228,20231220,243,29,28,641.28
229,20240719,10,51,17,524.7
230,20251215,631,13,19,4390.26
231,20240310,782,23,25,2144.98
232,20240625,229,28,30,4038.44
233,20250602,360,18,33,3122.16
234,20240708,155,18,30,3261.07
235,20251015,644,10,31,10710.53
236,20231022,633,20,21,1078.88
237,20241129,229,48,25,3778.66
238,20230321,124,29,23,193.8
239,20260515,341,33,18,695.57
240,20230711,742,35,21,2889.68
241,20250929,302,25,26,2056.03
242,20251104,7,1,28,3045.67
243,20250817,169,18,20,1046.07
244,20240111,436,54,28,6151.22
245,20250614,582,59,30,9519.8
246,20230301,706,45,20,1656.97
247,20251031,128,52,21,679.64
248,20251031,144,35,30,4631.11
249,20230627,267,40,31,3219.8
250,20231231,471,13,26,776.8
251,20260306,24,22,28,2204.87
252,20250526,684,34,32,2890.06
253,20240608,669,2,25,5561.06
254,20230624,775,7,26,3926.17
255,20250927,563,41,34,990.32
256,20240821,112,58,37,10303.08
257,20250211,216,45,32,6515.41
258,20260131,759,25,19,3601.16
259,20241106,521,33,28,5246.74
260,20240514,773,22,35,1064.34
261,20260426,702,37,23,5099.55
262,20250508,345,9,18,3103.7
263,20250114,758,18,27,6087.95
264,20260516,100,23,25,1326.76
265,20250408,590,1,27,1148.2
266,20250629,467,7,28,3639.71
267,20230102,158,50,26,1257.25
268,20250701,712,21,29,2918.72
269,20251025,774,6,22,1306.83
270,20260430,85,40,27,1043.25
271,20240714,724,46,27,4213.69
272,20240921,725,2,26,8535.67
273,20250630,195,18,33,4808.89
274,20240125,415,15,27,1520.02
275,20260407,172,53,15,790.41
276,20240319,330,34,27,4839.36
277,20240821,482,19,23,1255.53
278,20240904,430,20,17,1468.05
279,20250920,406,39,25,2601.02
280,20230103,774,16,20,1832.21
281,20241207,742,20,32,6348.48
282,20240625,789,15,31,8590.19
283,20240119,366,45,23,5356.02
284,20250510,315,44,25,5716.85
285,20240323,286,60,27,6921.71
286,20260408,528,52,34,9632.51
287,20250328,714,56,27,529.31
288,20241004,547,21,30,10068.64
289,20250619,173,43,22,6488.51
290,20230726,501,43,35,4894.61
291,20230425,745,17,24,3927.07
292,20230117,534,21,25,2383.5
293,20230512,429,24,25,4011.57
294,20250316,2,49,28,1760.66
295,20260521,86,7,28,262.2
296,20230224,777,44,18,1619.02
297,20230524,262,42,27,4514.44
298,20230207,253,24,24,8617.58
299,20250611,227,9,34,6257.97
300,20240706,317,50,18,2688.42
301,20250723,529,45,31,1387.12
302,20231212,306,7,27,5638.87
303,20240203,287,55,32,7365.57
304,20250916,543,27,26,3350.51
305,20230302,310,19,25,1307.75
306,20250808,243,14,29,830.46
307,20240424,562,2,15,2457.79
308,20260401,420,38,24,2083.33
309,20230715,179,12,35,1043.27
310,20240627,420,14,25,2866.91
311,20260110,14,5,17,1426.43
312,20240310,445,21,28,5640.92
313,20230317,147,27,27,1144.11
314,20260215,93,46,19,872.76
315,20240903,782,22,26,1665.72
316,20231125,457,42,18,765.19
317,20250420,469,43,25,3372.63
318,20260122,565,22,25,631.64
319,20260220,122,13,35,5859.53
320,20250823,266,27,33,6734.52
321,20230314,104,12,28,3275.45
322,20231024,404,50,19,2822.86
323,20241223,275,39,30,617.92
324,20240310,386,21,30,4712.91
325,20260512,762,8,31,5565.61
326,20260511,400,51,29,3057.73
327,20240119,571,50,23,4375.23
328,20250704,792,29,27,2869.85
329,20260315,158,32,18,1249.28
330,20260319,264,51,20,119.78
331,20250406,178,49,29,4045.84
332,20260122,204,30,26,2188.45
333,20250924,685,20,24,3029.04
334,20231129,550,32,17,2949.62
335,20250313,712,2,28,2867.63
336,20250907,487,5,28,767.19
337,20231231,67,30,29,3920.72
338,20230127,198,60,27,1346.34
339,20230725,94,3,24,162.14
340,20251209,560,31,22,829.98
341,20230815,389,10,21,230.33
342,20230204,779,30,24,1985.68
343,20230608,572,36,32,2265.95
344,20250822,289,46,24,952.35
345,20240502,783,35,27,4238.41
346,20250819,195,37,33,6325.13
347,20260116,433,33,24,1050.64
348,20241014,326,25,28,6224.66
349,20231216,315,43,28,6933.68
350,20260401,336,53,21,6830.02
351,20240225,344,60,24,2089.61
352,20230815,122,37,25,4112.88
353,20260522,779,36,34,3382.08
354,20250107,578,18,26,5555.47
355,20230716,9,10,28,5010.54
356,20251211,340,25,21,4484.38
357,20240503,672,2,33,3051.73
358,20260209,310,58,33,1965.79
359,20230320,39,38,33,1984.53
360,20260521,250,7,32,5588.71
361,20241231,58,11,24,634.75
362,20250615,418,12,24,4178.26
363,20250207,634,44,28,2855.47
364,20230825,689,47,30,2453.64
365,20231209,560,3,19,437.88
366,20241020,664,27,20,456.4
367,20231013,73,34,23,3139.74
368,20250421,365,39,32,5610.67
369,20241001,467,35,36,3702.96
370,20240930,135,18,28,748.37
371,20240917,138,13,27,6712.27
372,20260601,646,52,21,3296.01
373,20230930,660,1,30,219.95
374,20250117,756,23,36,11822.77
375,20231027,368,19,22,1981.15
376,20251114,230,7,20,871.44
377,20260311,53,37,28,6536.74
378,20230605,414,58,28,4606.11
379,20230916,306,22,22,3659.24
380,20230108,518,5,32,946.9
381,20240331,257,14,36,5158.93
382,20240501,164,56,32,8645.16
383,20230601,464,41,22,3479.06
384,20240309,188,4,21,4685.85
385,20230404,712,59,32,2858.19
386,20250426,76,33,17,2771.13
387,20250817,644,34,25,6852.73
388,20250110,775,42,24,3262.2
389,20240523,686,20,31,5350.46
390,20260108,677,6,18,1079.56
391,20260428,729,36,17,4473.23
392,20240430,241,3,24,4284.16
393,20230729,560,22,30,750.51
394,20240101,772,28,22,4790.86
395,20250513,599,42,16,2526.64
396,20250828,109,41,25,6629.71
397,20241024,767,4,20,483.88
398,20260507,712,6,28,1955.8
399,20260228,100,55,26,1535.54
400,20230213,138,41,27,5487.63
401,20250613,238,10,33,6018.09
402,20230211,406,37,22,3307.05
403,20240612,393,15,22,331.11
404,20250116,491,8,21,2278.68
405,20260312,454,2,27,7583.89
406,20260420,385,50,20,1020.9
407,20240208,35,29,20,242.33
408,20230410,263,14,17,1388.21
409,20250128,590,58,27,1496.96
410,20231109,309,29,26,5248.41
411,20240515,781,11,21,884.1
412,20240508,724,8,21,2826.03
413,20250916,11,46,31,1261.89
414,20251006,642,52,30,2176.9
415,20230519,407,20,24,4014.42
416,20240218,332,41,41,3530.1
417,20240814,724,52,23,3719.01
418,20230816,577,41,26,5387.84
419,20250428,256,47,20,1725.82
420,20240625,119,35,22,4539.3
421,20230325,153,39,29,1537.12
422,20251221,100,6,27,1018.34
423,20230825,730,11,30,5457.07
424,20230511,775,55,33,5914.77
425,20230711,82,40,27,5904.72
426,20250527,560,58,28,942.6
427,20250912,697,23,22,3728.79
428,20251214,442,23,29,889.46
429,20241028,83,10,35,346.29
430,20230701,363,28,29,2623.84
431,20241014,216,52,37,9650.28
432,20250717,503,41,25,5628.95
433,20241001,185,50,31,2549.84
434,20250220,222,3,23,2624.2
435,20240110,293,27,21,6985.68
436,20240229,525,31,29,9081.12
437,20241220,793,3,20,1569.91
438,20240829,449,60,20,364.93
439,20241210,183,12,30,577.41
440,20251118,172,8,30,1148.23
441,20230217,501,51,33,3234.86
442,20240318,503,2,26,7177.08
443,20240726,309,25,25,5614.03
444,20230430,418,16,35,7538.18
445,20241026,455,24,36,1033.35
446,20231005,25,37,17,727.98
447,20240821,326,24,30,6597.04
448,20250111,187,10,28,5634.2
449,20230412,633,40,25,1052.3
450,20240426,2,47,28,2427.76
451,20250126,17,35,28,4000.68
452,20240908,309,34,22,3697.83
453,20250403,459,7,19,619.97
454,20250518,673,35,25,6550.65
455,20230609,233,52,15,1706.78
456,20240316,103,30,22,2284.53
457,20240414,495,14,23,456.06
458,20250301,589,7,25,1713.12
459,20250610,511,56,17,1277.18
460,20230105,652,40,29,3487.76
461,20240916,91,6,31,3515.14
462,20230301,724,29,33,5143.18
463,20230921,569,37,18,4884.3
464,20231126,264,21,26,226.66
465,20230405,316,18,27,4262.44
466,20260424,357,14,24,763.26
467,20260117,416,22,19,1520.74
468,20240218,206,4,25,730.74
469,20231030,31,20,23,5762.63
470,20240219,552,6,35,4388.29
471,20250808,101,36,28,6636.74
472,20250922,639,49,22,2657.39
473,20230711,355,14,26,3671.5
474,20240303,195,23,24,4502.8
475,20251021,128,21,33,1175.5
476,20230731,357,34,28,593.01
477,20231207,172,22,17,627.46
478,20260414,113,34,29,2148.33
479,20250128,433,15,29,1186.42
480,20240405,236,35,38,8931.67
481,20260531,378,47,28,5814.88
482,20230320,176,25,31,3997.59
483,20241007,587,20,33,8047.01
484,20230506,90,2,27,5354.19
485,20250218,223,22,22,3959.47
486,20241213,404,24,31,6362.86
487,20240511,723,41,25,6954.33
488,20241129,123,51,25,1801.66
489,20240602,29,50,19,1927.28
490,20241006,795,31,28,6179.39
491,20240519,103,24,24,3341.92
492,20230719,74,42,27,2660.76
493,20240813,300,40,27,1856.68
494,20230809,614,36,24,191.74
495,20230115,458,45,23,1619.29
496,20250827,343,31,19,312.78
497,20241230,407,39,27,2985.47
498,20250626,253,35,29,7828.69
499,20260520,17,48,27,5593.19
500,20260531,618,53,23,2406.36
501,20231229,321,12,27,7589.22
502,20240504,100,12,27,1269.49
503,20251028,662,26,23,2577.31
504,20230728,170,38,29,6902.54
505,20231012,686,25,24,3863.35
506,20230111,237,6,19,3818.13
507,20240111,487,54,21,526.57
508,20251116,524,23,23,2507.53
509,20250920,740,4,27,5214.11
510,20240928,632,60,22,5169.08
511,20240509,711,35,26,1435.68
512,20230822,435,32,19,3689.79
513,20251107,686,17,23,3386.05
514,20230728,31,8,31,5622.59
515,20241027,390,4,35,7339.46
516,20240428,417,11,22,4459.63
517,20230722,162,43,25,911.45
518,20260115,92,12,23,4119.08
519,20230429,201,11,35,5215.54
520,20230410,164,50,35,8589.48
521,20240918,216,47,27,7242.0
522,20240427,620,60,16,1828.86
523,20240301,624,40,31,490.39
524,20230928,710,11,34,1476.71
525,20260105,216,22,27,5651.85
526,20240201,686,6,19,2178.85
527,20260109,86,45,16,116.06
528,20260619,333,21,28,7542.57
529,20240103,750,29,31,523.81
530,20230904,103,2,24,3528.94
531,20230305,363,27,34,3026.11
532,20240623,29,17,28,3627.81
533,20230320,241,2,19,5137.75
534,20231225,170,50,33,6610.32
535,20240810,672,44,31,2549.72
536,20230108,428,18,24,6047.22
537,20231127,15,11,32,4797.55
538,20251003,285,9,17,2190.89
539,20240218,616,38,26,5110.93
540,20240802,680,36,26,5220.3
541,20241231,272,37,39,2193.46
542,20241101,80,51,30,4183.69
543,20230528,425,5,22,2624.36
544,20251028,707,5,19,3285.13
545,20240831,566,33,30,1815.82
546,20250211,743,57,23,5979.73
547,20230720,624,39,16,204.22
548,20230225,783,35,23,3610.5
549,20250905,407,15,26,3275.14
550,20240428,52,52,25,409.59
551,20250501,14,60,31,2740.36
552,20260511,694,56,19,819.5
553,20231218,527,27,23,1475.82
554,20251124,408,53,27,1790.29
555,20250423,656,7,31,6404.05
556,20240223,42,16,24,5388.6
557,20240822,623,56,35,4358.27
558,20250406,366,45,16,3725.93
559,20240928,63,58,26,1264.81
560,20260224,327,32,24,646.24
561,20251010,563,60,32,1062.4
562,20231104,394,34,28,2782.9
563,20260527,756,34,26,6375.81
564,20230926,383,53,27,1336.42
565,20231103,608,14,30,2890.54
566,20230401,519,34,31,1043.93
567,20240412,443,45,27,6145.72
568,20230922,63,10,23,1048.02
569,20260328,255,5,20,4863.49
570,20230220,177,60,23,1347.16
571,20250609,94,16,28,301.4
572,20241215,534,7,28,2444.19
573,20260108,173,41,25,6244.38
574,20240524,774,52,34,2643.96
575,20240501,296,39,29,1470.5
576,20230909,426,34,40,2054.09
577,20230815,591,4,26,2386.28
578,20240808,414,12,20,2900.93
579,20260621,431,2,26,613.62
580,20250425,291,24,26,3808.06
581,20250407,254,54,24,1531.15
582,20250318,54,2,27,3121.68
583,20251202,706,34,26,2214.59
584,20260622,274,60,26,3889.01
585,20240209,116,10,24,646.52
586,20250429,189,37,25,4372.86
587,20231109,46,39,28,5582.21
588,20251116,605,12,26,3098.86
589,20260125,710,11,32,1389.84
590,20250627,153,48,26,2096.41
591,20230802,621,25,23,4552.91
592,20240324,648,19,23,572.91
593,20230909,449,30,32,443.52
594,20241102,52,42,26,386.4
595,20241115,489,33,21,3900.83
596,20231007,791,8,35,5155.45
597,20250101,717,24,26,801.24
598,20251201,599,14,26,5454.91
599,20240202,297,23,23,3895.22
600,20260525,739,41,28,4930.63
601,20250622,402,52,22,369.3
602,20251128,712,29,23,2027.19
603,20241205,795,49,11,1495.91
604,20230118,288,51,25,428.66
605,20240119,694,46,30,1477.67
606,20251221,133,37,23,3085.49
607,20240301,266,47,23,4765.51
608,20260402,150,27,28,2370.76
609,20250830,408,34,23,1068.23
610,20241107,574,11,25,6095.69
611,20260426,760,19,31,7325.83
612,20230405,215,36,28,3706.84
613,20250113,124,12,32,266.39
614,20241021,758,56,30,6848.02
615,20260124,771,19,24,1547.38
616,20260311,69,3,28,3235.75
617,20251020,346,55,32,8301.17
618,20260120,675,2,23,6203.21
619,20250621,393,4,25,452.53
620,20250816,235,40,33,8474.86
621,20260404,450,60,24,6999.01
622,20250127,714,15,33,662.74
623,20260421,672,59,31,2500.17
624,20230616,73,18,27,3833.92
625,20251110,52,5,28,453.41
626,20240905,103,23,25,3527.75
627,20250406,697,22,21,2657.73
628,20230619,753,12,31,7004.79
629,20240404,284,12,33,388.93
630,20230823,629,5,28,4667.3
631,20250227,462,39,33,4288.19
632,20260116,102,60,26,5428.46
633,20240123,395,54,27,7199.64
634,20230507,128,46,24,749.68
635,20231124,40,39,26,3773.06
636,20230905,445,8,19,2894.39
637,20230608,327,33,29,656.52
638,20250420,528,40,30,8005.76
639,20230102,502,15,29,6978.78
640,20240714,312,3,30,3533.58
641,20230513,301,13,23,4816.17
642,20240327,21,7,33,7199.17
643,20260610,78,45,28,2490.18
644,20230120,439,32,32,9587.76
645,20240417,242,24,28,3951.16
646,20260204,288,52,37,839.03
647,20250116,675,50,26,4806.84
648,20250104,25,51,20,589.75
649,20251004,564,4,23,2652.0
650,20250307,409,37,22,4115.47
651,20260121,166,50,26,4294.01
652,20231102,603,29,27,4605.39
653,20260403,148,34,17,278.84
654,20230510,285,58,16,2743.89
655,20251127,191,6,31,6065.52
656,20240929,194,28,34,8534.64
657,20260409,600,20,27,1600.75
658,20230110,37,6,18,4349.89
659,20250616,436,14,15,4390.59
660,20240104,263,39,27,1390.4
661,20251013,202,37,22,5436.87
662,20240411,22,34,29,1902.29
663,20241006,94,45,27,192.59
664,20240210,415,1,20,1077.28
665,20230414,200,26,22,4229.73
666,20230217,9,59,28,4837.99
667,20240827,296,23,22,1577.69
668,20240601,716,16,21,1871.67
669,20240427,520,32,27,8339.85
670,20250103,472,41,14,305.98
671,20231213,185,19,28,2844.98
672,20250118,487,4,31,894.86
673,20240425,740,27,28,5259.81
674,20250111,190,55,21,896.26
675,20230611,90,53,29,5883.3
676,20231102,77,23,34,6193.74
677,20251221,188,2,29,6960.06
678,20250613,192,35,27,2374.08
679,20241015,208,60,21,3295.01
680,20230923,81,1,27,4765.81
681,20251221,13,33,27,1896.92
682,20230330,25,34,17,532.08
683,20230625,748,50,20,2873.49
684,20231031,763,51,27,5511.75
685,20250702,289,23,30,1325.72
686,20240911,376,41,28,5322.74
687,20250308,388,58,19,3326.43
688,20230824,412,31,27,1465.11
689,20230806,164,14,21,8089.99
690,20260519,341,26,22,928.29
691,20240901,757,57,33,2956.59
692,20240411,640,21,21,2707.73
693,20250901,537,39,30,2221.83
694,20230404,660,27,29,259.98
695,20260511,557,35,32,3263.83
696,20241003,311,9,36,8163.16
697,20240401,513,23,24,5102.56
698,20240221,299,42,30,254.13
699,20260525,138,27,23,5183.05
700,20230426,97,36,23,5115.47
701,20250622,431,14,28,711.07
702,20240128,52,31,31,614.71
703,20260501,10,54,26,959.96
704,20240626,173,13,29,8859.97
705,20230701,50,60,32,6550.77
706,20241008,274,7,24,3474.2
707,20260216,53,28,32,7005.29
708,20240508,338,2,25,4652.05
709,20250925,573,19,25,2684.96
710,20230924,565,10,26,828.0
711,20230509,415,22,29,1513.39
712,20260414,535,32,22,3211.81
713,20250302,207,7,29,8772.41
714,20250902,589,43,27,1980.47
715,20251228,17,35,30,4286.45
716,20251215,425,45,29,2732.28
717,20260111,772,6,32,5169.63
718,20250119,479,36,18,3359.88
719,20251215,790,49,31,2100.35
720,20260609,426,56,39,2109.0
721,20230706,22,52,24,1961.56
722,20251231,327,17,27,647.0
723,20251118,788,20,23,3450.0
724,20250727,336,8,20,4724.75
725,20250828,200,36,24,4337.63
726,20250628,479,44,19,3714.96
727,20250831,276,14,20,1245.96
728,20260220,708,59,30,3195.52
729,20251004,702,33,20,3741.35
730,20240907,2,57,29,2385.11
731,20260207,793,19,29,2919.94
732,20230409,610,54,20,447.8
733,20240928,647,47,28,4121.77
734,20251227,592,49,29,2995.54
735,20240823,112,22,24,4966.4
736,20231101,575,12,28,4055.93
737,20230819,366,43,23,7401.05
738,20251126,631,31,25,6256.93
739,20240131,265,49,31,4467.14
740,20250917,212,60,37,526.41
741,20250521,200,16,23,5149.58
742,20260625,98,5,29,7020.73
743,20250820,161,49,36,4214.04
744,20240328,762,47,29,6433.5
745,20231216,74,53,33,4107.83
746,20230318,167,15,20,3167.79
747,20260202,753,17,26,6050.12
748,20251119,5,18,29,3062.12
749,20250503,86,36,29,256.26
750,20231226,391,33,29,1335.31
751,20250912,56,18,35,6024.02
752,20250827,45,41,21,4010.49
753,20230101,788,40,23,2826.6
754,20240813,6,13,29,4906.27
755,20230515,121,16,17,4637.99
756,20230225,107,4,25,1864.78
757,20250506,578,13,25,7149.91
758,20241220,386,50,26,2849.11
759,20250520,177,23,22,1330.1
760,20260416,645,37,31,6847.72
761,20240911,775,17,23,3379.76
762,20240810,558,28,29,5586.48
763,20230317,701,10,25,1962.94
764,20231109,486,52,32,5065.9
765,20240410,432,28,15,3220.17
766,20260410,708,42,27,2670.82
767,20230524,590,11,17,938.02
768,20260219,394,53,20,2837.87
769,20250331,365,18,28,5392.77
770,20240106,147,59,23,939.85
771,20230829,616,3,34,5416.78
772,20250305,16,20,32,3476.18
773,20240909,1,11,28,2985.94
774,20240322,195,6,26,3466.74
775,20240903,148,59,25,499.05
776,20240205,744,8,22,1404.81
777,20260328,292,23,25,6749.59
778,20260615,170,12,34,8447.47
779,20250722,6,1,34,4264.32
780,20260507,524,32,23,2570.74
781,20230109,230,53,27,1337.62
782,20251010,395,53,32,10809.16
783,20250129,356,59,24,2333.32
784,20230608,41,1,24,4195.6
785,20241021,713,20,24,6949.8
786,20250322,287,2,20,4310.49
787,20230123,370,52,29,5914.97
788,20250127,442,21,26,816.59
789,20231214,25,10,34,1341.33
790,20260327,791,39,39,5245.89
791,20241105,231,22,18,2131.61
792,20251028,191,25,22,6042.38
793,20250503,318,17,25,780.71
794,20231205,748,51,32,4528.05
795,20250502,235,34,30,6564.59
796,20231005,464,53,28,5553.62
797,20250918,431,33,21,409.97
798,20240523,660,42,24,192.68
799,20240221,705,50,21,2994.93
800,20241018,639,16,30,5723.96
801,20240721,307,10,27,2763.27
802,20260626,398,5,28,1518.95
803,20240217,207,33,25,6952.39
804,20260322,216,12,24,5960.8
805,20230323,458,56,21,1600.67
806,20230216,478,11,28,6366.52
807,20240915,10,52,28,1142.94
808,20250105,94,2,30,307.01
809,20231115,67,2,22,4211.62
810,20230504,598,18,28,2023.56
811,20230520,714,56,33,646.94
812,20250719,444,15,22,4007.44
813,20250406,397,40,24,2620.99
814,20230605,632,34,25,4527.38
815,20241007,531,58,36,564.07
816,20260409,392,58,27,3364.09
817,20251002,623,23,23,3642.32
818,20250717,422,22,22,702.13
819,20230811,593,33,34,8507.58
820,20231024,726,48,27,6649.17
821,20230215,657,23,31,5370.15
822,20230127,656,57,24,4799.27
823,20240306,655,54,30,1491.87
824,20230331,539,51,21,3543.02
825,20260402,767,4,22,532.26
826,20250429,228,5,28,4527.03
