AdvertisingKey,DateKey,ProductKey,CampaignType,Impressions,Clicks,AdSpend,AdSales
103,20250903,59,Sponsored Products,127,2,2.05,4.38
104,20240824,597,Sponsored Brands,1975,19,19.18,91.45
105,20250611,274,DSP,826,10,15.91,37.53
106,20231006,624,Sponsored Products,3019,59,67.83,203.03
107,20250915,528,DSP,1120,12,8.03,34.87
108,20251028,757,DSP,305,5,6.53,18.61
109,20240927,723,Sponsored Brands,1309,16,7.58,19.71
110,20260427,549,Sponsored Products,1990,38,22.54,123.8
111,20230807,30,Sponsored Display,235,1,0.96,3.61
112,20240630,187,Sponsored Brands,2058,37,30.21,165.53
113,20260228,94,DSP,811,2,0.89,2.44
114,20260207,698,Sponsored Brands,243,2,0.95,1.46
115,20241216,566,Sponsored Products,3009,18,19.5,46.7
116,20240428,713,Sponsored Brands,1317,21,15.3,41.56
117,20251001,1,Sponsored Brands,757,9,6.84,23.4
118,20230504,423,Sponsored Brands,320,6,8.33,15.57
119,20230501,389,Sponsored Products,980,10,17.6,59.95
120,20250227,129,DSP,3500,67,113.04,417.77
121,20230915,538,Sponsored Products,1753,28,24.06,153.62
122,20260609,697,Sponsored Products,735,13,5.95,19.67
123,20260123,420,Sponsored Products,1878,7,10.64,67.41
124,20251211,637,Sponsored Products,810,9,13.28,32.82
125,20251006,525,Sponsored Display,943,5,6.03,16.16
126,20231019,341,Sponsored Products,1722,21,17.26,71.33
127,20230329,333,Sponsored Products,1553,11,12.9,34.34
128,20260309,57,DSP,1328,20,22.66,76.14
129,20240910,483,Sponsored Products,858,4,6.45,36.93
130,20230402,791,Sponsored Products,2316,41,26.26,90.3
131,20240614,657,Sponsored Brands,1287,4,4.94,23.41
132,20230715,749,Sponsored Brands,3976,42,31.82,84.28
133,20250717,53,Sponsored Products,2449,21,23.08,35.36
134,20260416,315,Sponsored Display,1416,26,36.26,77.14
135,20230721,443,Sponsored Brands,2189,20,10.33,21.78
136,20260510,646,Sponsored Brands,839,6,9.12,24.79
137,20241003,404,Sponsored Display,831,13,10.42,51.96
138,20230316,720,Sponsored Products,2272,25,44.94,248.01
139,20230714,229,Sponsored Display,1510,24,37.03,95.1
140,20250215,9,DSP,1242,12,20.4,110.15
141,20260218,754,DSP,2144,27,44.99,77.12
142,20250723,12,Sponsored Brands,1609,20,32.43,98.98
143,20241011,524,Sponsored Display,1562,27,47.35,303.13
144,20250806,598,Sponsored Products,417,6,9.36,18.32
145,20250414,506,Sponsored Products,1599,7,6.09,37.31
146,20231107,539,Sponsored Products,422,4,2.13,5.37
147,20250306,715,Sponsored Products,1621,12,17.03,63.2
148,20240807,321,Sponsored Products,4339,55,86.69,483.91
149,20251001,281,Sponsored Products,3148,36,45.33,202.82
150,20240119,632,Sponsored Products,376,1,1.15,6.31
151,20250201,658,Sponsored Products,2767,19,32.75,126.07
152,20230601,166,Sponsored Display,907,11,18.56,60.46
153,20230218,558,DSP,2987,39,32.19,175.13
154,20260227,609,DSP,314,5,4.61,29.32
155,20231112,172,Sponsored Products,442,2,2.74,16.07
156,20240228,680,Sponsored Brands,1394,19,32.05,206.53
157,20230725,483,Sponsored Products,725,12,21.3,107.37
158,20250104,450,Sponsored Display,2228,33,16.83,50.21
159,20240306,36,Sponsored Products,563,7,7.14,42.53
160,20240523,305,Sponsored Brands,448,8,14.04,83.47
161,20250827,524,Sponsored Products,296,1,1.4,3.05
162,20251029,7,DSP,4885,39,28.99,165.36
163,20240321,492,Sponsored Products,2886,34,39.56,150.33
164,20260408,535,Sponsored Display,2215,21,35.51,92.33
165,20230314,33,Sponsored Products,1354,25,10.26,31.85
166,20240308,591,Sponsored Products,4121,68,73.1,390.11
167,20240313,480,Sponsored Products,524,7,5.22,20.08
168,20250213,4,Sponsored Display,126,2,1.73,8.12
169,20231007,784,DSP,1042,4,5.32,20.34
170,20250413,248,Sponsored Brands,1953,12,11.39,28.35
171,20251124,24,Sponsored Products,850,10,5.03,29.8
172,20250604,308,Sponsored Display,1424,7,11.58,28.74
173,20230516,495,Sponsored Display,1106,14,19.29,90.06
174,20250407,495,Sponsored Display,1467,24,38.92,240.74
175,20260607,728,DSP,1549,20,27.4,84.46
176,20240223,320,Sponsored Products,2008,25,15.06,92.26
177,20251228,698,Sponsored Products,2966,37,18.71,48.49
178,20251208,362,Sponsored Brands,1872,14,23.32,83.99
179,20240214,239,Sponsored Brands,920,8,11.22,42.52
180,20231003,468,Sponsored Products,3006,50,25.62,60.96
181,20241022,344,DSP,2174,22,23.85,42.14
182,20230503,707,Sponsored Brands,1773,31,21.74,121.34
183,20250713,536,Sponsored Products,604,3,3.14,10.53
184,20231024,793,DSP,1697,20,12.08,75.28
185,20240618,635,Sponsored Products,1478,14,12.69,63.87
186,20230930,555,Sponsored Products,516,4,3.72,15.07
187,20240120,389,Sponsored Products,6620,105,176.49,933.75
188,20241021,425,Sponsored Products,2467,45,61.4,224.11
189,20251107,537,Sponsored Display,1446,14,10.27,57.86
190,20241024,29,Sponsored Products,911,5,6.48,17.73
191,20260426,531,Sponsored Products,196,3,2.93,6.93
192,20241129,489,Sponsored Products,5152,26,10.97,48.05
193,20250815,131,Sponsored Products,1033,8,10.04,16.76
194,20240802,262,Sponsored Products,2478,9,6.2,31.22
195,20260103,614,Sponsored Products,3330,27,14.72,58.03
196,20230812,89,Sponsored Brands,340,4,5.49,20.37
197,20241206,753,Sponsored Display,3425,24,14.56,56.52
198,20230627,157,Sponsored Brands,1270,22,20.18,83.14
199,20260306,228,Sponsored Brands,1595,16,19.75,56.94
200,20250320,277,Sponsored Brands,1051,8,8.72,36.88
201,20240816,590,Sponsored Brands,2243,34,50.14,110.96
202,20240819,447,Sponsored Brands,579,2,2.4,7.8
203,20240324,406,Sponsored Brands,1778,13,12.85,53.48
204,20230206,581,Sponsored Brands,2523,50,70.76,310.37
205,20230807,650,Sponsored Brands,1191,20,12.61,24.57
206,20240508,334,DSP,2045,13,10.48,28.93
207,20240705,280,Sponsored Products,1388,15,20.44,132.73
208,20251208,25,DSP,2847,46,51.65,326.23
209,20260214,362,Sponsored Products,1210,10,6.09,17.41
210,20230318,254,Sponsored Display,1918,35,62.32,98.83
211,20240629,128,DSP,2004,28,13.76,32.47
212,20240213,395,Sponsored Products,451,1,0.64,1.25
213,20240506,41,DSP,287,1,0.7,3.32
214,20230906,239,Sponsored Products,3158,9,15.67,98.0
215,20230515,777,Sponsored Display,2824,36,61.18,114.4
216,20250316,120,Sponsored Brands,1555,9,5.04,17.47
217,20230531,238,Sponsored Products,1712,23,39.53,140.84
218,20260117,268,Sponsored Products,2492,31,48.51,112.39
219,20241019,287,Sponsored Products,1549,29,51.05,120.86
220,20250621,601,Sponsored Brands,1351,22,34.04,190.84
221,20240327,163,Sponsored Display,2293,36,21.55,103.28
222,20241205,126,Sponsored Products,791,3,2.94,8.62
223,20230220,59,Sponsored Products,1602,14,20.28,99.73
224,20250211,485,Sponsored Products,688,2,2.04,3.49
225,20251111,502,DSP,3787,25,14.83,63.86
226,20231118,432,Sponsored Display,1514,29,38.1,107.29
227,20230101,655,Sponsored Products,3973,57,90.59,457.14
228,20240624,720,Sponsored Products,5205,78,139.89,704.58
229,20240420,605,Sponsored Products,1888,35,61.02,131.81
230,20240110,402,Sponsored Display,3641,63,26.84,67.74
231,20240222,436,Sponsored Products,346,3,2.04,7.63
232,20231022,21,DSP,1209,14,10.93,46.93
233,20230302,320,Sponsored Products,1515,16,21.12,94.32
234,20230303,522,Sponsored Display,1133,4,2.94,15.58
235,20250116,255,Sponsored Brands,274,2,3.46,17.47
236,20251008,752,DSP,437,2,1.26,2.28
237,20260411,592,Sponsored Products,393,6,9.97,28.37
238,20240520,143,Sponsored Products,1912,30,13.14,44.67
239,20241126,571,Sponsored Products,696,5,6.4,40.22
240,20250613,201,Sponsored Products,704,5,7.16,35.67
241,20250430,583,Sponsored Brands,883,16,16.03,81.42
242,20251106,198,Sponsored Display,3497,46,56.65,309.33
243,20230218,198,DSP,1051,4,6.73,35.94
244,20250430,398,Sponsored Products,596,3,3.8,19.64
245,20230717,698,Sponsored Products,1311,22,39.27,64.93
246,20260101,784,Sponsored Products,657,2,3.18,7.58
247,20250102,553,Sponsored Display,325,3,4.81,25.56
248,20230907,308,Sponsored Brands,351,6,4.64,28.95
249,20241010,517,Sponsored Brands,2777,38,17.13,106.95
250,20251110,244,Sponsored Products,152,2,2.05,5.71
251,20251102,627,Sponsored Products,845,15,25.62,43.07
252,20240929,525,Sponsored Products,1418,10,14.85,60.14
253,20260615,7,Sponsored Products,1071,12,17.63,91.8
254,20260131,218,Sponsored Products,851,9,4.87,25.19
255,20230502,708,Sponsored Products,1987,28,44.3,260.65
256,20240213,380,Sponsored Products,3056,19,29.03,113.49
257,20250806,45,Sponsored Brands,766,7,10.39,42.73
258,20230813,339,Sponsored Display,1808,28,45.51,186.15
259,20260219,429,Sponsored Brands,2759,21,26.88,105.28
260,20260209,396,Sponsored Display,1765,32,35.13,69.42
261,20251215,572,Sponsored Products,1120,7,9.22,30.61
262,20250221,353,DSP,522,4,6.93,34.25
263,20250919,537,Sponsored Brands,2124,16,14.47,36.4
264,20230413,568,Sponsored Products,1293,5,4.82,13.22
265,20230324,751,Sponsored Display,359,1,0.56,3.52
266,20241002,224,Sponsored Products,761,3,5.04,30.64
267,20230225,662,DSP,613,9,14.24,49.12
268,20250813,443,Sponsored Products,1970,11,9.39,33.92
269,20241207,444,Sponsored Display,3018,13,8.83,46.88
270,20260511,549,DSP,1124,4,3.57,19.15
271,20260120,488,Sponsored Display,2169,8,6.82,28.19
272,20260530,651,Sponsored Products,4415,57,68.11,384.16
273,20230609,238,Sponsored Products,1069,16,16.51,29.97
274,20241019,349,Sponsored Products,3535,47,56.12,321.14
275,20230827,783,Sponsored Display,1953,19,14.21,22.2
276,20260304,567,Sponsored Brands,531,8,6.1,30.58
277,20250509,148,Sponsored Products,1813,24,24.85,73.19
278,20250316,672,Sponsored Brands,877,7,10.43,22.9
279,20230606,791,Sponsored Products,290,5,2.81,16.24
280,20240613,398,Sponsored Display,337,3,1.23,2.34
281,20250329,741,Sponsored Products,287,1,1.33,3.98
282,20250206,761,Sponsored Products,4295,29,20.55,64.57
283,20240421,471,Sponsored Display,1533,18,15.16,92.63
284,20240507,395,Sponsored Display,925,15,19.26,38.59
285,20250528,384,Sponsored Products,1905,13,18.07,111.74
286,20250307,202,Sponsored Products,3517,65,106.76,345.29
287,20250419,375,Sponsored Products,4050,38,64.5,359.87
288,20251103,545,Sponsored Products,636,4,5.7,9.53
289,20230204,629,Sponsored Products,2601,33,13.37,25.19
290,20260404,141,DSP,3616,57,101.41,521.46
291,20250516,707,Sponsored Brands,3102,48,83.06,369.29
292,20230405,389,Sponsored Brands,2385,14,10.12,47.84
293,20230926,598,Sponsored Products,1050,16,11.88,46.89
294,20250213,327,Sponsored Products,477,8,5.56,33.4
295,20240617,606,Sponsored Products,1647,21,10.12,33.27
296,20231114,415,Sponsored Products,526,5,6.59,30.89
297,20230619,654,Sponsored Brands,2759,49,85.46,369.09
298,20250124,355,Sponsored Brands,1012,4,3.4,13.49
299,20230205,24,Sponsored Products,931,17,8.8,37.14
300,20260317,267,Sponsored Products,938,14,15.15,22.98
301,20230917,25,Sponsored Products,962,12,19.48,38.03
302,20230610,76,DSP,2099,23,21.89,50.71
303,20250121,320,DSP,1603,5,4.87,25.68
304,20250615,734,Sponsored Products,999,5,2.27,6.33
305,20240412,378,Sponsored Products,2650,16,18.47,69.48
306,20250117,295,Sponsored Products,304,4,7.2,16.49
307,20240707,505,Sponsored Brands,2059,18,22.9,81.73
308,20240122,128,Sponsored Products,1759,18,27.16,144.51
309,20250917,42,Sponsored Products,609,4,4.3,7.1
310,20260404,189,DSP,863,6,5.48,17.57
311,20240205,696,Sponsored Brands,87,0,0.0,0.0
312,20240222,76,DSP,5442,81,36.64,71.61
313,20230810,23,Sponsored Brands,1432,6,4.97,23.06
314,20230222,573,Sponsored Brands,1682,7,6.7,27.81
315,20240714,12,Sponsored Products,4532,36,63.28,239.0
316,20231102,14,DSP,1116,21,19.5,29.82
317,20240224,769,Sponsored Products,625,7,11.68,42.68
318,20260113,66,Sponsored Products,1865,27,14.53,25.46
319,20240407,657,Sponsored Products,1517,24,14.86,26.28
320,20240224,11,Sponsored Products,639,9,12.04,58.77
321,20230327,477,Sponsored Display,347,4,4.21,27.19
322,20231225,253,Sponsored Display,1122,19,22.65,95.74
323,20251210,31,Sponsored Brands,3410,15,12.75,78.84
324,20230511,263,Sponsored Brands,2313,39,63.95,341.88
325,20251205,396,Sponsored Products,2024,24,37.15,82.04
326,20230812,104,Sponsored Products,1004,6,4.6,24.65
327,20240409,30,DSP,916,4,2.33,9.9
328,20240610,397,Sponsored Brands,721,9,11.06,45.49
329,20240526,52,Sponsored Products,2802,53,60.73,344.87
330,20250906,338,Sponsored Products,1901,26,26.21,162.15
331,20230103,637,Sponsored Products,2857,50,82.73,420.36
332,20241127,153,Sponsored Products,8960,154,246.48,815.99
333,20250704,220,Sponsored Products,906,12,10.88,45.36
334,20240309,390,Sponsored Display,3209,18,30.25,189.83
335,20260317,484,Sponsored Display,1194,12,7.08,12.56
336,20231214,450,Sponsored Products,1898,8,11.43,20.41
337,20240827,224,DSP,2169,15,6.32,20.95
338,20240116,781,Sponsored Products,2947,54,56.88,131.58
339,20230831,697,Sponsored Display,2633,38,29.06,94.15
340,20230425,215,Sponsored Display,819,14,7.78,50.14
341,20241108,188,Sponsored Products,2481,44,42.7,136.75
342,20250702,520,Sponsored Products,1505,20,30.44,54.75
343,20230506,600,Sponsored Products,1984,10,13.66,45.51
344,20250111,723,Sponsored Brands,6092,82,128.34,406.79
345,20240522,690,Sponsored Products,1782,23,18.85,119.03
346,20230205,668,Sponsored Brands,663,5,3.24,20.25
347,20260516,486,Sponsored Brands,907,7,4.48,27.89
348,20250214,774,DSP,289,2,2.43,8.38
349,20241222,591,Sponsored Brands,4746,55,69.48,348.74
350,20230526,735,Sponsored Brands,4564,15,23.59,100.11
351,20240713,421,Sponsored Products,1559,13,11.98,35.38
352,20240528,340,Sponsored Products,581,4,4.73,12.63
353,20230814,522,Sponsored Products,1171,20,21.49,40.73
354,20260306,775,DSP,911,3,5.11,10.33
355,20240327,453,Sponsored Brands,1113,11,17.92,103.02
356,20240105,780,Sponsored Display,1124,14,25.04,90.48
357,20250806,553,DSP,958,14,11.48,25.38
358,20240903,766,Sponsored Products,1149,18,8.21,53.05
359,20240422,776,Sponsored Products,264,1,1.69,6.29
360,20251019,589,Sponsored Products,2004,21,14.64,67.26
361,20230505,251,Sponsored Products,1092,13,12.59,37.69
362,20260311,92,Sponsored Display,1141,15,12.58,58.91
363,20230131,798,Sponsored Display,838,4,3.73,23.78
364,20240913,543,Sponsored Brands,725,4,4.19,12.47
365,20230419,104,Sponsored Brands,1493,17,14.15,63.18
366,20251019,800,Sponsored Brands,1548,4,2.4,12.42
367,20230508,43,Sponsored Brands,1854,16,17.97,92.62
368,20230820,380,Sponsored Display,2973,9,4.65,18.88
369,20260504,607,Sponsored Display,1457,26,24.87,108.4
370,20240821,581,Sponsored Brands,207,0,0.0,0.0
371,20250724,366,Sponsored Display,302,4,3.83,20.41
372,20251203,781,Sponsored Brands,2040,28,15.9,83.49
373,20260410,295,DSP,1227,17,30.39,192.35
374,20241125,278,Sponsored Products,1566,13,16.02,68.5
375,20241205,651,Sponsored Products,816,3,1.63,8.26
376,20241102,154,Sponsored Products,1999,8,3.76,7.18
377,20250216,651,Sponsored Products,1832,18,18.53,57.77
378,20240101,95,Sponsored Products,1910,33,35.23,54.38
379,20231004,90,Sponsored Brands,3972,12,21.27,73.25
380,20260128,495,Sponsored Brands,96,1,1.55,3.97
381,20260425,725,Sponsored Brands,635,2,3.03,12.8
382,20231215,165,Sponsored Brands,8955,49,50.53,178.52
383,20260303,653,Sponsored Brands,197,1,1.17,6.65
384,20250426,316,Sponsored Products,235,0,0.0,0.0
385,20241025,99,Sponsored Display,2008,6,6.35,21.85
386,20240226,390,Sponsored Brands,1013,11,7.62,46.54
387,20230507,227,Sponsored Brands,246,2,2.67,10.52
388,20230915,429,Sponsored Products,798,3,1.45,8.78
389,20250221,226,Sponsored Products,1963,12,7.01,41.81
390,20240104,22,Sponsored Brands,5595,105,51.42,206.18
391,20240329,645,Sponsored Display,5898,67,43.91,244.04
392,20230404,47,Sponsored Brands,415,7,6.02,22.04
393,20260221,573,Sponsored Products,1336,7,12.23,43.24
394,20251216,590,Sponsored Display,5644,49,72.23,120.37
395,20250122,86,Sponsored Products,2076,19,25.35,142.33
396,20230908,264,Sponsored Brands,1186,15,20.13,98.22
397,20260402,359,DSP,2810,47,28.13,42.8
398,20240109,618,Sponsored Brands,2414,46,57.59,328.69
399,20251011,201,Sponsored Products,3010,48,33.5,60.72
400,20251124,213,Sponsored Brands,888,17,29.92,153.69
401,20231116,528,Sponsored Brands,2575,31,45.25,105.78
402,20240119,552,Sponsored Products,1190,10,13.21,38.78
403,20260113,680,Sponsored Products,1740,6,6.08,29.91
404,20250513,274,Sponsored Products,727,11,8.66,14.13
405,20260403,25,Sponsored Products,222,2,3.09,15.01
406,20240628,504,Sponsored Brands,1641,5,3.41,15.31
407,20230129,102,Sponsored Products,288,4,6.11,23.35
408,20250831,166,Sponsored Products,1593,13,18.96,104.19
409,20230620,474,DSP,728,12,21.18,92.05
410,20250101,662,Sponsored Brands,3831,53,34.13,134.35
411,20241130,292,Sponsored Products,6257,65,43.04,103.73
412,20230206,140,Sponsored Brands,3000,43,66.17,169.45
413,20231205,373,Sponsored Products,1407,22,10.65,48.86
414,20240217,617,Sponsored Products,792,10,13.76,73.0
415,20250215,165,Sponsored Products,3555,54,92.89,448.79
416,20250203,50,Sponsored Products,214,3,4.22,21.02
417,20230921,33,Sponsored Products,279,4,4.42,24.42
418,20260216,18,Sponsored Brands,3702,41,47.47,285.97
419,20240514,522,Sponsored Products,1297,25,20.86,51.11
420,20251025,400,Sponsored Brands,2834,26,28.1,96.28
421,20250822,253,Sponsored Products,2231,18,22.48,124.74
422,20241115,1,Sponsored Display,2358,16,26.78,158.52
423,20260216,394,Sponsored Products,2591,51,43.39,72.42
424,20251202,93,Sponsored Brands,4723,28,27.72,74.13
425,20251223,581,Sponsored Products,8265,52,65.53,156.57
426,20241205,256,DSP,904,17,16.18,103.86
427,20250710,80,Sponsored Brands,2161,27,38.64,96.63
428,20230113,355,Sponsored Products,1011,13,10.17,21.24
429,20230215,143,Sponsored Products,2286,31,39.69,73.9
430,20240627,113,Sponsored Products,961,14,10.33,25.62
431,20240120,663,Sponsored Brands,1730,6,3.75,21.69
432,20260316,573,Sponsored Brands,716,4,3.78,13.33
433,20260201,660,Sponsored Display,354,6,6.13,26.68
434,20260620,45,DSP,1692,8,5.81,30.98
435,20251130,742,Sponsored Display,8553,54,83.63,221.26
436,20230824,95,Sponsored Brands,1249,11,7.25,17.93
437,20251013,694,Sponsored Brands,4406,15,20.41,104.46
438,20230331,385,DSP,785,10,4.27,9.65
439,20241001,176,Sponsored Display,2622,39,38.88,206.66
440,20250812,139,Sponsored Products,828,6,2.68,4.06
441,20250106,594,Sponsored Products,1230,17,22.84,62.34
442,20230325,647,Sponsored Products,1017,12,5.14,31.57
443,20241213,500,Sponsored Products,1359,7,5.88,26.73
444,20241031,729,Sponsored Display,3226,49,58.26,329.04
445,20251004,326,Sponsored Products,1326,11,5.22,18.67
446,20231113,66,Sponsored Brands,1379,9,10.03,55.89
447,20230209,323,Sponsored Products,606,8,5.71,17.38
448,20250701,439,Sponsored Products,1510,12,21.47,76.01
449,20260222,155,Sponsored Products,760,7,7.14,35.95
450,20230308,208,Sponsored Products,2475,13,8.32,51.96
451,20251006,764,Sponsored Brands,2800,16,12.2,78.1
452,20251106,529,Sponsored Products,949,9,12.03,62.84
453,20260207,798,Sponsored Products,2718,32,22.35,83.66
454,20231010,369,Sponsored Products,3277,10,12.98,78.8
455,20240916,647,Sponsored Products,766,12,10.96,21.94
456,20231116,145,Sponsored Products,1601,10,13.72,65.23
457,20230627,670,Sponsored Brands,1487,21,27.61,64.7
458,20250426,593,DSP,890,3,2.22,4.11
459,20230807,148,Sponsored Products,1293,8,4.42,22.99
460,20250417,735,Sponsored Products,1499,17,12.66,41.83
461,20250610,361,Sponsored Products,2967,46,75.7,403.43
462,20230610,636,Sponsored Products,2632,42,48.6,217.22
463,20231024,617,Sponsored Products,2385,19,15.65,52.89
464,20230111,214,Sponsored Display,956,11,9.06,51.91
465,20250721,111,Sponsored Products,2107,9,3.81,22.71
466,20230916,418,Sponsored Products,536,4,4.46,22.53
467,20251122,432,Sponsored Brands,2265,21,24.86,86.18
468,20260112,365,Sponsored Brands,2937,56,100.57,194.21
469,20230513,226,Sponsored Products,981,7,11.39,67.62
470,20250405,344,DSP,1720,7,9.1,57.42
471,20240316,190,Sponsored Products,2279,24,14.58,79.69
472,20230813,658,Sponsored Brands,2840,56,30.17,132.53
473,20250809,108,Sponsored Products,1671,23,31.08,152.69
474,20230514,255,DSP,3478,33,20.32,60.75
475,20250808,337,Sponsored Products,2703,11,10.17,26.75
476,20241014,497,Sponsored Brands,2014,28,42.29,110.83
477,20250205,71,Sponsored Brands,286,2,3.25,19.29
478,20250207,103,DSP,1490,21,29.27,109.71
479,20231028,394,Sponsored Products,992,10,17.57,52.5
480,20240823,534,Sponsored Display,1287,24,33.18,204.15
481,20250313,2,Sponsored Brands,2488,34,55.65,94.02
482,20230801,787,Sponsored Brands,1008,19,22.42,110.66
483,20240621,132,Sponsored Products,250,3,4.39,7.4
484,20231207,231,Sponsored Products,1444,18,22.92,117.69
485,20260111,446,Sponsored Products,3789,71,72.06,463.12
486,20250809,597,Sponsored Brands,4371,37,66.6,396.12
487,20260619,6,Sponsored Brands,955,14,22.68,45.84
488,20250316,8,Sponsored Products,895,8,12.76,37.94
489,20230912,297,Sponsored Brands,1466,24,37.39,72.04
490,20230412,411,Sponsored Brands,530,6,9.38,58.66
