ForecastKey,DateKey,ProductKey,ForecastUnits,ForecastRevenue,ActualUnits,ActualRevenue
45,20230101,733,162,35364.6,203,44314.9
46,20230101,61,170,1530.0,170,1530.0
47,20230101,509,117,10552.23,149,13438.31
48,20230101,401,113,21353.61,90,17007.3
49,20230101,340,112,28780.64,79,20300.63
50,20230101,569,132,42089.52,133,42408.38
51,20230101,278,146,37371.62,123,31484.31
52,20230101,146,126,23691.78,161,30272.83
53,20230101,383,161,8974.14,191,10646.34
54,20230101,350,156,30463.68,169,33002.32
55,20230101,745,113,24328.9,88,18946.4
56,20230101,151,108,48904.56,119,53885.58
57,20230101,658,145,40217.2,184,51034.24
58,20230101,404,125,31212.5,142,35457.4
59,20230101,363,132,14966.16,131,14852.78
60,20230101,384,128,6718.72,141,7401.09
61,20230201,257,145,22247.35,178,27310.54
62,20230201,386,134,24678.78,98,18048.66
63,20230201,91,126,24134.04,89,17047.06
64,20230201,366,127,48883.57,130,50038.3
65,20230201,243,128,3924.48,130,3985.8
66,20230201,417,115,27985.25,122,29688.7
67,20230201,639,117,24450.66,100,20898.0
68,20230201,92,132,32032.44,101,24509.67
69,20230201,486,146,29823.42,123,25125.21
70,20230201,792,137,19493.73,168,23904.72
71,20230201,385,149,12782.71,171,14670.09
72,20230201,507,102,27160.56,78,20769.84
73,20230201,752,118,9857.72,89,7435.06
74,20230201,695,148,32491.92,115,25247.1
75,20230201,119,137,45740.19,105,35056.35
76,20230201,344,129,13917.81,149,16075.61
77,20230201,528,127,46426.12,94,34362.64
78,20230201,374,174,57503.52,171,56512.08
79,20230201,48,120,9228.0,108,8305.2
80,20230201,690,135,17348.85,122,15678.22
81,20230201,774,109,10937.06,80,8027.2
82,20230201,658,148,41049.28,149,41326.64
83,20230201,82,166,49730.28,182,54523.56
84,20230201,505,152,21819.6,176,25264.8
85,20230201,155,145,24361.45,151,25369.51
86,20230201,347,121,7097.86,155,9092.3
87,20230201,470,155,28865.65,196,36501.08
88,20230201,361,117,25553.97,91,19875.31
89,20230201,339,117,17280.9,120,17724.0
90,20230201,728,114,2734.86,127,3046.73
91,20230201,194,107,33657.92,109,34287.04
92,20230201,176,141,21880.38,165,25604.7
93,20230201,556,102,34714.68,131,44584.54
94,20230201,761,124,49981.92,105,42323.4
95,20230201,229,144,24291.36,109,18387.21
96,20230201,348,148,34555.04,190,44361.2
97,20230201,25,149,7497.68,156,7849.92
98,20230201,247,138,16023.18,147,17068.17
99,20230201,498,143,44258.5,138,42711.0
100,20230201,423,97,2540.43,83,2173.77
101,20230201,161,135,27340.2,99,20049.48
102,20230201,521,157,40973.86,113,29490.74
103,20230201,573,118,17242.16,130,18995.6
104,20230201,511,152,17434.4,130,14911.0
105,20230201,295,171,37156.59,217,47151.93
106,20230201,19,111,28011.96,108,27254.88
107,20230201,502,117,41960.88,121,43395.44
108,20230201,327,124,3909.72,88,2774.64
109,20230201,250,124,27728.88,142,31754.04
110,20230201,773,151,7382.39,160,7822.4
111,20230201,341,117,6296.94,108,5812.56
112,20230201,181,156,53339.52,177,60519.84
113,20230201,414,120,23584.8,96,18867.84
114,20230201,610,146,4663.24,109,3481.46
115,20230201,220,135,36105.75,141,37710.45
116,20230201,270,118,17454.56,130,19229.6
117,20230201,353,153,35190.0,193,44390.0
118,20230201,24,144,18230.4,148,18736.8
119,20230201,488,132,31408.08,131,31170.14
120,20230201,205,151,12439.38,152,12521.76
121,20230301,537,119,14963.06,151,18986.74
122,20230301,387,130,8590.4,102,6740.16
123,20230301,290,109,35214.63,127,41029.89
124,20230301,263,116,10141.88,113,9879.59
125,20230301,83,179,2258.98,176,2221.12
126,20230301,408,118,8811.06,95,7093.65
127,20230301,656,112,29625.12,122,32270.22
128,20230301,466,119,37444.54,90,28319.4
129,20230301,721,130,32390.8,166,41360.56
130,20230301,341,97,5220.54,117,6296.94
131,20230301,250,130,29070.6,133,29741.46
132,20230301,331,163,46407.73,141,40144.11
133,20230301,731,135,57437.1,127,54033.42
134,20230301,79,120,30381.6,144,36457.92
135,20230301,386,154,28362.18,140,25783.8
136,20230301,450,107,38666.59,104,37582.48
137,20230301,351,174,60706.86,159,55473.51
138,20230301,344,168,18125.52,170,18341.3
139,20230301,752,126,10526.04,100,8354.0
140,20230301,472,130,4013.1,161,4970.07
141,20230301,599,127,28528.01,117,26281.71
142,20230301,598,132,14744.4,141,15749.7
143,20230301,603,128,29227.52,137,31282.58
144,20230301,730,150,32755.5,115,25112.55
145,20230301,146,114,21435.42,89,16734.67
146,20230301,78,128,18816.0,94,13818.0
147,20230301,52,163,3445.82,207,4375.98
148,20230301,498,146,45187.0,111,34354.5
149,20230301,608,136,14029.76,152,15680.32
150,20230301,515,151,19314.41,175,22384.25
151,20230301,615,150,16180.5,121,13052.27
152,20230301,154,115,29602.15,115,29602.15
153,20230301,63,104,6044.48,100,5812.0
154,20230301,206,124,4491.28,135,4889.7
155,20230301,359,131,20535.56,131,20535.56
156,20230301,783,108,27433.08,126,32005.26
157,20230301,305,147,26948.04,117,21448.44
158,20230301,173,167,58915.93,137,48332.23
159,20230301,190,135,6215.4,102,4696.08
160,20230301,712,156,18406.44,142,16754.58
161,20230301,604,116,12177.68,134,14067.32
162,20230301,166,129,35806.53,104,28867.28
163,20230301,40,133,32768.54,153,37696.14
164,20230301,370,130,34213.4,100,26318.0
165,20230301,108,138,3379.62,172,4212.28
166,20230301,277,114,35116.56,87,26799.48
167,20230301,756,132,52041.0,98,38636.5
168,20230301,120,100,18742.0,125,23427.5
169,20230301,746,181,71290.47,188,74047.56
170,20230301,155,125,21001.25,115,19321.15
171,20230301,266,144,37435.68,130,33796.1
172,20230301,270,153,22631.76,109,16123.28
173,20230301,436,168,52649.52,165,51709.35
174,20230301,92,126,30576.42,131,31789.77
175,20230301,82,112,33552.96,83,24865.14
176,20230301,175,134,40678.38,151,45839.07
177,20230301,393,161,3611.23,168,3768.24
178,20230301,22,154,16240.84,125,13182.5
179,20230301,580,129,36443.79,94,26555.94
180,20230301,508,151,54202.96,114,40921.44
181,20230401,751,116,11467.76,99,9787.14
182,20230401,789,116,47904.52,89,36754.33
183,20230401,427,142,59080.52,148,61576.88
184,20230401,239,142,25231.98,161,28608.09
185,20230401,428,109,42448.96,138,53742.72
186,20230401,310,160,11387.2,122,8682.74
187,20230401,69,117,23596.56,149,30050.32
188,20230401,245,111,14368.95,114,14757.3
189,20230401,543,168,27578.88,215,35294.4
190,20230401,19,167,42144.12,154,38863.44
191,20230401,30,165,53677.8,154,50099.28
192,20230401,483,140,23494.8,126,21145.32
193,20230401,589,143,12546.82,159,13950.66
194,20230401,96,115,23557.75,113,23148.05
195,20230401,485,170,21284.0,176,22035.2
196,20230401,601,106,1853.94,131,2291.19
197,20230401,507,114,30355.92,134,35681.52
198,20230401,304,128,9216.0,145,10440.0
199,20230401,414,116,22798.64,134,26336.36
200,20230401,440,152,17305.2,136,15483.6
201,20230401,159,166,22964.44,160,22134.4
202,20230401,101,123,39558.03,154,49527.94
203,20230401,255,153,48571.38,138,43809.48
204,20230401,190,129,5939.16,113,5202.52
205,20230401,521,157,40973.86,186,48542.28
206,20230401,691,137,21987.13,164,26320.36
207,20230401,277,98,30187.92,76,23411.04
208,20230401,642,127,11891.01,106,9924.78
209,20230401,31,130,36556.0,155,43586.0
210,20230401,439,141,49468.44,106,37189.04
211,20230401,449,143,3233.23,165,3730.65
212,20230401,610,132,4216.08,160,5110.4
213,20230401,636,133,18625.32,155,21706.2
214,20230401,778,114,28349.52,129,32079.72
215,20230401,57,141,2917.29,101,2089.69
216,20230401,608,164,16918.24,162,16711.92
217,20230401,491,123,20692.29,125,21028.75
218,20230401,649,149,39854.52,128,34237.44
219,20230401,53,114,31273.62,138,37857.54
220,20230401,154,139,35779.99,109,28057.69
221,20230401,785,120,32664.0,136,37019.2
222,20230401,638,109,3870.59,130,4616.3
223,20230401,713,174,56550.0,122,39650.0
224,20230401,352,112,30495.36,79,21510.12
225,20230401,753,146,44702.28,184,56337.12
226,20230401,133,137,21596.68,168,26483.52
227,20230401,325,146,32679.18,137,30664.71
228,20230401,12,157,41286.29,150,39445.5
229,20230401,145,121,26887.41,122,27109.62
230,20230401,532,149,48916.7,133,43663.9
231,20230401,388,134,28028.78,169,35349.73
232,20230401,8,163,34445.16,176,37192.32
233,20230401,22,138,14553.48,115,12127.9
234,20230401,754,105,42900.9,118,48212.44
235,20230401,579,150,36190.5,115,27746.05
236,20230401,582,124,51979.56,147,61620.93
237,20230401,178,134,32343.58,125,30171.25
238,20230401,497,154,47991.02,178,55470.14
239,20230401,150,133,14345.38,114,12296.04
240,20230401,477,128,32440.32,99,25090.56
241,20230501,158,194,15766.38,249,20236.23
242,20230501,117,132,8779.32,107,7116.57
243,20230501,420,140,17189.2,175,21486.5
244,20230501,399,151,7892.77,185,9669.95
245,20230501,301,153,36995.4,137,33126.6
246,20230501,764,131,5000.27,159,6069.03
247,20230501,594,154,14354.34,121,11278.41
248,20230501,46,126,42648.48,162,54833.76
249,20230501,431,153,4160.07,181,4921.39
250,20230501,94,132,1556.28,135,1591.65
251,20230501,534,97,10841.69,86,9612.22
252,20230501,292,117,37920.87,133,43106.63
253,20230501,216,144,48461.76,155,52163.7
254,20230501,297,130,26430.3,142,28870.02
255,20230501,769,119,11089.61,123,11462.37
256,20230501,192,132,18780.96,130,18496.4
257,20230501,459,104,4345.12,128,5347.84
258,20230501,256,137,14832.99,176,19055.52
259,20230501,359,143,22416.68,177,27746.52
260,20230501,438,141,5779.59,111,4549.89
261,20230501,421,135,11142.9,100,8254.0
262,20230501,361,146,31887.86,139,30358.99
263,20230501,295,154,33462.66,169,36722.01
264,20230501,364,175,10153.5,208,12068.16
265,20230501,257,123,18871.89,150,23014.5
266,20230501,97,134,40438.52,173,52207.94
267,20230501,11,150,8163.0,152,8271.84
268,20230501,238,126,29308.86,146,33961.06
269,20230501,423,176,4609.44,187,4897.53
270,20230501,561,159,35480.85,189,42175.35
271,20230501,502,174,62403.36,131,46981.84
272,20230501,414,114,22405.56,118,23191.72
273,20230501,799,111,19130.85,107,18441.45
274,20230501,251,129,45272.55,159,55801.05
275,20230501,22,129,13604.34,97,10229.62
276,20230501,463,168,34171.2,140,28476.0
277,20230501,528,126,46060.56,140,51178.4
278,20230501,356,129,16567.47,165,21190.95
279,20230501,8,136,28739.52,157,33177.24
280,20230501,67,103,22716.65,91,20070.05
281,20230501,215,126,22633.38,121,21735.23
282,20230501,629,119,25895.59,114,24807.54
283,20230501,707,100,22572.0,100,22572.0
284,20230501,728,129,3094.71,132,3166.68
285,20230501,398,127,8994.14,113,8002.66
286,20230501,689,117,12006.54,128,13135.36
287,20230501,477,149,37762.56,147,37255.68
288,20230501,170,135,45449.1,167,56222.22
289,20230501,303,139,14618.63,179,18825.43
290,20230501,531,159,2976.48,117,2190.24
291,20230501,266,154,40035.38,156,40555.32
292,20230501,619,123,11896.56,140,13540.8
293,20230501,355,105,15874.95,105,15874.95
294,20230501,607,167,30373.96,143,26008.84
295,20230501,485,144,18028.8,135,16902.0
296,20230501,180,109,2731.54,84,2105.04
297,20230501,262,118,28065.12,92,21881.28
298,20230501,760,130,41797.6,110,35367.2
299,20230501,107,166,15343.38,135,12478.05
300,20230501,648,158,5354.62,204,6913.56
301,20230601,108,134,3281.66,122,2987.78
302,20230601,712,154,18170.46,154,18170.46
303,20230601,355,170,25702.3,130,19654.7
304,20230601,598,116,12957.2,95,10611.5
305,20230601,198,143,8835.97,140,8650.6
306,20230601,405,134,31484.64,96,22556.16
307,20230601,504,143,3507.79,110,2698.3
308,20230601,670,129,29489.4,155,35433.0
309,20230601,523,128,19411.2,131,19866.15
310,20230601,787,127,28268.93,98,21813.82
311,20230601,663,122,37189.26,115,35055.45
312,20230601,444,131,35562.57,102,27689.94
313,20230601,357,135,4596.75,124,4222.2
314,20230601,727,131,3920.83,131,3920.83
315,20230601,10,123,6478.41,103,5425.01
316,20230601,668,98,11828.6,124,14966.8
317,20230601,578,157,51849.25,125,41281.25
318,20230601,138,145,41625.15,142,40763.94
319,20230601,542,125,14810.0,107,12677.36
320,20230601,159,120,16600.8,132,18260.88
321,20230601,409,126,27697.32,129,28356.78
322,20230601,186,166,31875.32,187,35907.74
323,20230601,534,145,16206.65,134,14977.18
324,20230601,512,148,9685.12,132,8638.08
325,20230601,587,148,40504.64,103,28189.04
326,20230601,723,173,67971.7,214,84080.6
327,20230601,363,114,12925.32,88,9977.44
328,20230601,93,163,10009.83,184,11299.44
329,20230601,312,160,32889.6,189,38850.84
330,20230601,106,145,11620.3,152,12181.28
331,20230601,425,183,28498.59,144,22425.12
332,20230601,655,158,11208.52,184,13052.96
333,20230601,167,151,35643.55,176,41544.8
334,20230601,252,124,3230.2,106,2761.3
335,20230601,163,127,4545.33,155,5547.45
336,20230601,373,126,30261.42,108,25938.36
337,20230601,427,104,43270.24,114,47430.84
338,20230601,89,122,10237.02,148,12418.68
339,20230601,397,125,18700.0,143,21392.8
340,20230601,562,149,28126.73,162,30580.74
341,20230601,582,160,67070.4,162,67908.78
342,20230601,735,99,12078.99,124,15129.24
343,20230601,653,132,27726.6,125,26256.25
344,20230601,121,156,46615.92,136,40639.52
345,20230601,647,143,26412.1,130,24011.0
346,20230601,276,170,11339.0,212,14140.4
347,20230601,229,116,19568.04,99,16700.31
348,20230601,489,131,33891.01,131,33891.01
349,20230601,630,107,36357.53,103,34998.37
350,20230601,691,112,17974.88,127,20382.23
351,20230601,172,157,9316.38,144,8544.96
352,20230601,568,139,3830.84,106,2921.36
353,20230601,311,113,40736.5,140,50470.0
354,20230601,118,154,63198.52,142,58273.96
355,20230601,774,97,9732.98,82,8227.88
356,20230601,31,95,26714.0,68,19121.6
357,20230601,323,113,24993.34,112,24772.16
358,20230601,193,125,21460.0,118,20258.24
359,20230601,319,117,33170.67,123,34871.73
360,20230601,129,156,44580.12,137,39150.49
361,20230701,562,158,29825.66,117,22086.09
362,20230701,552,127,26897.33,101,21390.79
363,20230701,443,141,53048.43,121,45523.83
364,20230701,283,102,27922.5,90,24637.5
365,20230701,355,101,15270.19,121,18293.99
366,20230701,742,185,41192.1,144,32063.04
367,20230701,439,152,53327.68,157,55081.88
368,20230701,756,142,55983.5,136,53618.0
369,20230701,46,110,37232.8,93,31478.64
370,20230701,353,127,29210.0,115,26450.0
371,20230701,565,118,4793.16,141,5727.42
372,20230701,244,163,58290.43,188,67230.68
373,20230701,234,154,49110.6,148,47197.2
374,20230701,262,116,27589.44,128,30443.52
375,20230701,201,153,27370.17,112,20035.68
376,20230701,242,117,20085.39,95,16308.65
377,20230701,399,138,7213.26,155,8101.85
378,20230701,325,127,28426.41,147,32903.01
379,20230701,291,116,20668.88,123,21916.14
380,20230701,653,147,30877.35,185,38859.25
381,20230701,50,161,40840.87,124,31455.08
382,20230701,307,120,15664.8,113,14751.02
383,20230701,476,133,31278.94,98,23047.64
384,20230701,594,144,13422.24,159,14820.39
385,20230701,574,164,48004.44,125,36588.75
386,20230701,206,113,4092.86,91,3296.02
387,20230701,203,157,56196.58,119,42594.86
388,20230701,530,110,26292.2,115,27487.3
389,20230701,37,147,60006.87,175,71436.75
390,20230701,738,120,26862.0,105,23504.25
391,20230701,170,114,38379.24,124,41745.84
392,20230701,600,130,8650.2,143,9515.22
393,20230701,433,133,8109.01,172,10486.84
394,20230701,777,127,14796.77,94,10951.94
395,20230701,315,118,34952.78,129,38211.09
396,20230701,59,167,11958.87,173,12388.53
397,20230701,339,119,17576.3,150,22155.0
398,20230701,186,138,26498.76,170,32643.4
399,20230701,514,123,41875.35,114,38811.3
400,20230701,614,112,1214.08,123,1333.32
401,20230701,327,102,3216.06,82,2585.46
402,20230701,329,146,39291.52,118,31756.16
403,20230701,228,99,20895.93,80,16885.6
404,20230701,13,126,12329.1,163,15949.55
405,20230701,284,125,1996.25,92,1469.24
406,20230701,75,125,14691.25,90,10577.7
407,20230701,275,130,4546.1,98,3427.06
408,20230701,710,131,6830.34,118,6152.52
409,20230701,668,174,21001.8,158,19070.6
410,20230701,82,127,38046.66,124,37147.92
411,20230701,142,141,36510.54,182,47127.08
412,20230701,341,139,7480.98,111,5974.02
413,20230701,100,143,9110.53,140,8919.4
414,20230701,642,120,11235.6,88,8239.44
415,20230701,538,144,12450.24,174,15044.04
416,20230701,635,127,6793.23,118,6311.82
417,20230701,309,120,32427.6,96,25942.08
418,20230701,549,137,16027.63,113,13219.87
419,20230701,424,146,24081.24,150,24741.0
420,20230701,649,108,28887.84,139,37179.72
421,20230801,134,111,33256.71,110,32957.1
422,20230801,352,144,39208.32,174,47376.72
423,20230801,80,123,29271.54,117,27843.66
424,20230801,718,140,30242.8,168,36291.36
425,20230801,218,150,29053.5,161,31184.09
426,20230801,59,109,7805.49,98,7017.78
427,20230801,436,116,36353.24,131,41054.09
428,20230801,254,162,14743.62,154,14015.54
429,20230801,785,129,35113.8,110,29942.0
430,20230801,280,142,6311.9,134,5956.3
431,20230801,304,136,9792.0,167,12024.0
432,20230801,424,159,26225.46,155,25565.7
433,20230801,382,124,6314.08,96,4888.32
434,20230801,269,137,2145.42,169,2646.54
435,20230801,205,131,10791.78,100,8238.0
436,20230801,403,123,25896.42,122,25685.88
437,20230801,133,103,16236.92,93,14660.52
438,20230801,700,133,21176.26,133,21176.26
439,20230801,256,130,14075.1,168,18189.36
440,20230801,757,141,16709.91,104,12325.04
441,20230801,242,134,23003.78,128,21973.76
442,20230801,621,109,25964.89,131,31205.51
443,20230801,754,160,65372.8,188,76813.04
444,20230801,355,162,24492.78,168,25399.92
445,20230801,556,120,40840.8,125,42542.5
446,20230801,2,117,12728.43,83,9029.57
447,20230801,71,113,9203.85,112,9122.4
448,20230801,106,173,13864.22,175,14024.5
449,20230801,377,159,36096.18,179,40636.58
450,20230801,42,129,31723.68,129,31723.68
451,20230801,444,165,44792.55,205,55651.35
452,20230801,696,133,24098.27,125,22648.75
453,20230801,34,142,31051.14,105,22960.35
454,20230801,633,134,7726.44,151,8706.66
455,20230801,593,153,53320.5,107,37289.5
456,20230801,137,126,2260.44,143,2565.42
457,20230801,566,115,9694.5,112,9441.6
458,20230801,759,147,33527.76,179,40826.32
459,20230801,289,136,7214.8,159,8434.95
460,20230801,261,144,30561.12,132,28014.36
461,20230801,264,155,1584.1,195,1992.9
462,20230801,798,132,17243.16,119,15544.97
463,20230801,161,125,25315.0,134,27137.68
464,20230801,198,132,8156.28,97,5993.63
465,20230801,271,142,25818.44,110,20000.2
466,20230801,715,101,17209.39,129,21980.31
467,20230801,239,142,25231.98,150,26653.5
468,20230801,84,114,8431.44,145,10724.2
469,20230801,85,153,8098.29,167,8839.31
470,20230801,361,119,25990.79,127,27738.07
471,20230801,417,139,33825.65,119,28958.65
472,20230801,72,123,14725.56,152,18197.44
473,20230801,409,141,30994.62,119,26158.58
474,20230801,416,141,18143.88,114,14669.52
475,20230801,585,125,20407.5,100,16326.0
476,20230801,320,135,27661.5,136,27866.4
477,20230801,281,129,32698.92,92,23320.16
478,20230801,47,157,35472.58,118,26660.92
479,20230801,170,166,55885.56,180,60598.8
480,20230801,333,153,48317.4,135,42633.0
481,20230901,5,136,22195.2,157,25622.4
482,20230901,131,106,2601.24,126,3092.04
483,20230901,582,172,72100.68,167,70004.73
484,20230901,186,119,22850.38,88,16897.76
485,20230901,562,128,24162.56,118,22274.86
486,20230901,511,129,14796.3,155,17778.5
487,20230901,472,133,4105.71,110,3395.7
488,20230901,495,128,2717.44,154,3269.42
489,20230901,438,160,6558.4,124,5082.76
490,20230901,708,127,17870.17,122,17166.62
491,20230901,691,154,24715.46,181,29048.69
492,20230901,416,111,14283.48,136,17500.48
493,20230901,613,151,6968.65,118,5445.7
494,20230901,340,139,35718.83,157,40344.29
495,20230901,673,167,70806.33,200,84798.0
496,20230901,427,145,60328.7,130,54087.8
497,20230901,799,116,19992.6,143,24646.05
498,20230901,608,122,12585.52,109,11244.44
499,20230901,168,151,21118.86,173,24195.78
500,20230901,642,133,12452.79,154,14419.02
501,20230901,396,102,17071.74,109,18243.33
502,20230901,422,136,6978.16,139,7132.09
503,20230901,745,125,26912.5,100,21530.0
504,20230901,372,149,1779.06,158,1886.52
505,20230901,551,183,7274.25,167,6638.25
506,20230901,206,139,5034.58,153,5541.66
507,20230901,729,122,43557.66,155,55339.65
508,20230901,769,132,12301.08,121,11275.99
509,20230901,480,117,49804.56,151,64277.68
510,20230901,201,136,24329.04,145,25939.05
511,20230901,534,116,12965.32,103,11512.31
512,20230901,456,166,36393.84,131,28720.44
513,20230901,373,153,36746.01,171,41069.07
514,20230901,752,125,10442.5,157,13115.78
515,20230901,601,127,2221.23,136,2378.64
516,20230901,571,150,47956.5,111,35487.81
517,20230901,718,151,32619.02,193,41691.86
518,20230901,75,134,15749.02,147,17276.91
519,20230901,19,113,28516.68,120,30283.2
520,20230901,90,141,32212.86,156,35639.76
521,20230901,648,108,3660.12,86,2914.54
522,20230901,603,136,31054.24,98,22377.32
523,20230901,564,157,22432.16,198,28290.24
524,20230901,628,130,15301.0,97,11416.9
525,20230901,491,124,20860.52,110,18505.3
526,20230901,363,158,17914.04,121,13718.98
527,20230901,619,152,14701.44,189,18280.08
528,20230901,738,120,26862.0,122,27309.7
529,20230901,329,148,39829.76,144,38753.28
530,20230901,485,151,18905.2,171,21409.2
531,20230901,191,116,38339.16,96,31728.96
532,20230901,583,130,23756.2,96,17543.04
533,20230901,715,118,20106.02,134,22832.26
534,20230901,766,160,33627.2,134,28162.78
535,20230901,647,134,24749.8,137,25303.9
536,20230901,16,156,19019.52,128,15605.76
537,20230901,115,116,29965.12,104,26865.28
538,20230901,274,145,26875.75,183,33919.05
539,20230901,280,136,6045.2,168,7467.6
540,20230901,739,145,36064.4,187,46510.64
541,20231001,630,141,47910.39,177,60142.83
542,20231001,285,144,29504.16,125,25611.25
543,20231001,175,91,27624.87,100,30357.0
544,20231001,431,153,4160.07,154,4187.26
545,20231001,560,119,4786.18,147,5912.34
546,20231001,761,104,41920.32,77,31037.16
547,20231001,612,123,30103.02,124,30347.76
548,20231001,330,150,43224.0,156,44952.96
549,20231001,516,126,9576.0,145,11020.0
550,20231001,448,137,3851.07,111,3120.21
551,20231001,130,114,12362.16,82,8892.08
552,20231001,76,137,31103.11,171,38822.13
553,20231001,10,128,6741.76,123,6478.41
554,20231001,707,137,30923.64,166,37469.52
555,20231001,764,166,6336.22,197,7519.49
556,20231001,349,155,46627.1,188,56554.16
557,20231001,538,133,11499.18,171,14784.66
558,20231001,270,131,19377.52,111,16419.12
559,20231001,433,144,8779.68,123,7499.31
560,20231001,500,147,58009.14,126,49722.12
561,20231001,64,128,30571.52,92,21973.28
562,20231001,561,137,30571.55,112,24992.8
563,20231001,600,138,9182.52,178,11844.12
564,20231001,622,111,10788.09,124,12051.56
565,20231001,647,113,20871.1,143,26412.1
566,20231001,472,130,4013.1,143,4414.41
567,20231001,790,148,17348.56,132,15473.04
568,20231001,773,111,5426.79,139,6795.71
569,20231001,457,131,7921.57,112,6772.64
570,20231001,51,138,11095.2,179,14391.6
571,20231001,390,140,36379.0,132,34300.2
572,20231001,627,167,54004.46,138,44626.44
573,20231001,120,129,24177.18,131,24552.02
574,20231001,638,152,5397.52,117,4154.67
575,20231001,598,118,13180.6,94,10499.8
576,20231001,740,125,29912.5,110,26323.0
577,20231001,25,120,6038.4,136,6843.52
578,20231001,201,128,22897.92,97,17352.33
579,20231001,700,157,24997.54,166,26430.52
580,20231001,392,166,24710.76,140,20840.4
581,20231001,145,154,34220.34,195,43330.95
582,20231001,264,129,1318.38,93,950.46
583,20231001,525,114,38057.76,140,46737.6
584,20231001,374,138,45606.24,146,48250.08
585,20231001,710,111,5787.54,102,5318.28
586,20231001,279,132,39202.68,101,29995.99
587,20231001,545,123,3014.73,135,3308.85
588,20231001,338,118,25296.84,103,22081.14
589,20231001,197,139,20984.83,120,18116.4
590,20231001,177,144,10451.52,118,8564.44
591,20231001,109,106,39703.36,81,30339.36
592,20231001,281,123,31178.04,102,25854.96
593,20231001,361,128,27956.48,110,24025.1
594,20231001,54,173,23043.6,211,28105.2
595,20231001,484,142,2188.22,149,2296.09
596,20231001,191,156,51559.56,189,62466.39
597,20231001,61,125,1125.0,123,1107.0
598,20231001,648,96,3253.44,87,2948.43
599,20231001,326,172,46013.44,144,38522.88
600,20231001,21,133,37150.89,107,29888.31
601,20231101,166,119,33030.83,97,26924.29
602,20231101,128,136,5679.36,109,4551.84
603,20231101,413,162,16028.28,160,15830.4
604,20231101,654,126,28182.42,88,19682.96
605,20231101,711,151,13491.85,174,15546.9
606,20231101,123,136,16725.28,139,17094.22
607,20231101,246,107,31011.81,92,26664.36
608,20231101,637,152,11150.72,172,12617.92
609,20231101,716,124,12104.88,148,14447.76
610,20231101,672,152,16194.08,166,17685.64
611,20231101,150,106,11433.16,122,13158.92
612,20231101,572,136,13066.88,103,9896.24
613,20231101,504,137,3360.61,143,3507.79
614,20231101,269,103,1612.98,106,1659.96
615,20231101,354,94,22183.06,103,24306.97
616,20231101,590,133,8809.92,149,9869.76
617,20231101,730,167,36467.79,122,26641.14
618,20231101,699,110,7250.1,129,8502.39
619,20231101,263,107,9355.01,79,6906.97
620,20231101,288,127,3716.02,146,4271.96
621,20231101,230,146,8145.34,109,6081.11
622,20231101,440,126,14345.1,89,10132.65
623,20231101,744,155,15345.0,115,11385.0
624,20231101,46,149,50433.52,118,39940.64
625,20231101,35,179,2903.38,200,3244.0
626,20231101,203,183,65503.02,221,79104.74
627,20231101,359,112,17557.12,106,16616.56
628,20231101,605,145,23417.5,183,29554.5
629,20231101,480,112,47676.16,122,51932.96
630,20231101,624,147,3185.49,184,3987.28
631,20231101,537,127,15968.98,160,20118.4
