ForecastKey,DateKey,ProductKey,ForecastUnits,ActualUnits,ML_PredictedUnits,ML_ForecastVariance
361,20230701,562,158,117,130.8,-27.2
362,20230701,552,127,101,139.6,12.6
363,20230701,443,141,121,136.1,-4.9
364,20230701,283,102,90,126.1,24.1
365,20230701,355,101,121,135.5,34.5
366,20230701,742,185,144,131.4,-53.6
367,20230701,439,152,157,145.4,-6.6
368,20230701,756,142,136,135.2,-6.8
369,20230701,46,110,93,131.3,21.3
370,20230701,353,127,115,132.8,5.8
371,20230701,565,118,141,130.0,12.0
372,20230701,244,163,188,136.5,-26.5
373,20230701,234,154,148,125.9,-28.1
374,20230701,262,116,128,131.7,15.7
375,20230701,201,153,112,138.2,-14.8
376,20230701,242,117,95,132.1,15.1
377,20230701,399,138,155,136.2,-1.8
378,20230701,325,127,147,134.3,7.3
379,20230701,291,116,123,133.7,17.7
380,20230701,653,147,185,147.4,0.4
381,20230701,50,161,124,136.4,-24.6
382,20230701,307,120,113,137.4,17.4
383,20230701,476,133,98,131.8,-1.2
384,20230701,594,144,159,133.0,-11.0
385,20230701,574,164,125,128.0,-36.0
386,20230701,206,113,91,128.7,15.7
387,20230701,203,157,119,142.0,-15.0
388,20230701,530,110,115,128.6,18.6
389,20230701,37,147,175,134.8,-12.2
390,20230701,738,120,105,129.7,9.7
391,20230701,170,114,124,138.9,24.9
392,20230701,600,130,143,150.5,20.5
393,20230701,433,133,172,139.2,6.2
394,20230701,777,127,94,122.0,-5.0
395,20230701,315,118,129,130.5,12.5
396,20230701,59,167,173,139.5,-27.5
397,20230701,339,119,150,133.0,14.0
398,20230701,186,138,170,132.2,-5.8
399,20230701,514,123,114,125.3,2.3
400,20230701,614,112,123,137.8,25.8
401,20230701,327,102,82,118.7,16.7
402,20230701,329,146,118,125.9,-20.1
403,20230701,228,99,80,134.5,35.5
404,20230701,13,126,163,146.1,20.1
405,20230701,284,125,92,132.4,7.4
406,20230701,75,125,90,127.8,2.8
407,20230701,275,130,98,124.8,-5.2
408,20230701,710,131,118,123.1,-7.9
409,20230701,668,174,158,135.1,-38.9
410,20230701,82,127,124,120.8,-6.2
411,20230701,142,141,182,125.8,-15.2
412,20230701,341,139,111,125.1,-13.9
413,20230701,100,143,140,139.2,-3.8
414,20230701,642,120,88,133.7,13.7
415,20230701,538,144,174,134.4,-9.6
416,20230701,635,127,118,139.8,12.8
417,20230701,309,120,96,123.9,3.9
418,20230701,549,137,113,121.8,-15.2
419,20230701,424,146,150,133.7,-12.3
420,20230701,649,108,139,127.8,19.8
421,20230801,134,111,110,128.3,17.3
422,20230801,352,144,174,130.4,-13.6
423,20230801,80,123,117,137.3,14.3
424,20230801,718,140,168,150.4,10.4
425,20230801,218,150,161,134.3,-15.7
426,20230801,59,109,98,139.5,30.5
427,20230801,436,116,131,135.3,19.3
428,20230801,254,162,154,139.7,-22.3
429,20230801,785,129,110,130.4,1.4
430,20230801,280,142,134,124.5,-17.5
431,20230801,304,136,167,149.7,13.7
432,20230801,424,159,155,134.4,-24.6
433,20230801,382,124,96,129.0,5.0
434,20230801,269,137,169,140.3,3.3
435,20230801,205,131,100,132.4,1.4
436,20230801,403,123,122,141.9,18.9
437,20230801,133,103,93,134.0,31.0
438,20230801,700,133,133,136.1,3.1
439,20230801,256,130,168,155.4,25.4
440,20230801,757,141,104,125.1,-15.9
441,20230801,242,134,128,132.8,-1.2
442,20230801,621,109,131,132.5,23.5
443,20230801,754,160,188,151.5,-8.5
444,20230801,355,162,168,136.1,-25.9
445,20230801,556,120,125,131.8,11.8
446,20230801,2,117,83,141.8,24.8
447,20230801,71,113,112,134.3,21.3
448,20230801,106,173,175,130.6,-42.4
449,20230801,377,159,179,138.3,-20.7
450,20230801,42,129,129,139.0,10.0
451,20230801,444,165,205,128.4,-36.6
452,20230801,696,133,125,131.1,-1.9
453,20230801,34,142,105,141.8,-0.2
454,20230801,633,134,151,158.2,24.2
455,20230801,593,153,107,123.2,-29.8
456,20230801,137,126,143,139.9,13.9
457,20230801,566,115,112,131.2,16.2
458,20230801,759,147,179,131.3,-15.7
459,20230801,289,136,159,140.8,4.8
460,20230801,261,144,132,138.7,-5.3
461,20230801,264,155,195,138.2,-16.8
462,20230801,798,132,119,141.4,9.4
463,20230801,161,125,134,132.9,7.9
464,20230801,198,132,97,139.9,7.9
465,20230801,271,142,110,131.9,-10.1
466,20230801,715,101,129,136.3,35.3
467,20230801,239,142,150,134.4,-7.6
468,20230801,84,114,145,135.1,21.1
469,20230801,85,153,167,147.4,-5.6
470,20230801,361,119,127,135.6,16.6
471,20230801,417,139,119,125.2,-13.8
472,20230801,72,123,152,139.9,16.9
473,20230801,409,141,119,137.3,-3.7
474,20230801,416,141,114,132.8,-8.2
475,20230801,585,125,100,135.8,10.8
476,20230801,320,135,136,130.2,-4.8
477,20230801,281,129,92,123.9,-5.1
478,20230801,47,157,118,137.6,-19.4
479,20230801,170,166,180,139.8,-26.2
480,20230801,333,153,135,135.9,-17.1
481,20230901,5,136,157,125.9,-10.1
482,20230901,131,106,126,132.5,26.5
483,20230901,582,172,167,148.6,-23.4
484,20230901,186,119,88,132.2,13.2
485,20230901,562,128,118,131.7,3.7
486,20230901,511,129,155,132.2,3.2
487,20230901,472,133,110,121.4,-11.6
488,20230901,495,128,154,143.0,15.0
489,20230901,438,160,124,142.4,-17.6
490,20230901,708,127,122,134.8,7.8
491,20230901,691,154,181,138.9,-15.1
492,20230901,416,111,136,132.8,21.8
493,20230901,613,151,118,126.0,-25.0
494,20230901,340,139,157,133.4,-5.6
495,20230901,673,167,200,144.3,-22.7
496,20230901,427,145,130,124.4,-20.6
497,20230901,799,116,143,134.1,18.1
498,20230901,608,122,109,138.7,16.7
499,20230901,168,151,173,132.9,-18.1
500,20230901,642,133,154,134.6,1.6
501,20230901,396,102,109,129.6,27.6
502,20230901,422,136,139,122.7,-13.3
503,20230901,745,125,100,117.8,-7.2
504,20230901,372,149,158,133.5,-15.5
505,20230901,551,183,167,135.0,-48.0
506,20230901,206,139,153,129.2,-9.8
507,20230901,729,122,155,145.1,23.1
508,20230901,769,132,121,131.9,-0.1
509,20230901,480,117,151,146.0,29.0
510,20230901,201,136,145,138.2,2.2
511,20230901,534,116,103,122.1,6.1
512,20230901,456,166,131,135.8,-30.2
513,20230901,373,153,171,133.0,-20.0
514,20230901,752,125,157,132.2,7.2
515,20230901,601,127,136,136.3,9.3
516,20230901,571,150,111,129.1,-20.9
517,20230901,718,151,193,150.4,-0.6
518,20230901,75,134,147,128.3,-5.7
519,20230901,19,113,120,144.1,31.1
520,20230901,90,141,156,140.2,-0.8
521,20230901,648,108,86,120.0,12.0
522,20230901,603,136,98,134.1,-1.9
523,20230901,564,157,198,134.3,-22.7
524,20230901,628,130,97,135.1,5.1
525,20230901,491,124,110,126.6,2.6
526,20230901,363,158,121,134.7,-23.3
527,20230901,619,152,189,138.0,-14.0
528,20230901,738,120,122,131.3,11.3
529,20230901,329,148,144,125.4,-22.6
530,20230901,485,151,171,137.8,-13.2
531,20230901,191,116,96,125.9,9.9
532,20230901,583,130,96,128.0,-2.0
533,20230901,715,118,134,136.3,18.3
534,20230901,766,160,134,143.2,-16.8
535,20230901,647,134,137,132.4,-1.6
536,20230901,16,156,128,139.8,-16.2
537,20230901,115,116,104,130.6,14.6
538,20230901,274,145,183,137.1,-7.9
539,20230901,280,136,168,123.0,-13.0
540,20230901,739,145,187,133.2,-11.8
541,20231001,630,141,177,137.6,-3.4
542,20231001,285,144,125,145.4,1.4
543,20231001,175,91,100,128.6,37.6
544,20231001,431,153,154,136.8,-16.2
545,20231001,560,119,147,137.1,18.1
546,20231001,761,104,77,128.3,24.3
547,20231001,612,123,124,125.7,2.7
548,20231001,330,150,156,129.7,-20.3
549,20231001,516,126,145,133.6,7.6
550,20231001,448,137,111,127.3,-9.7
551,20231001,130,114,82,109.6,-4.4
552,20231001,76,137,171,138.3,1.3
553,20231001,10,128,123,125.9,-2.1
554,20231001,707,137,166,135.5,-1.5
555,20231001,764,166,197,141.9,-24.1
556,20231001,349,155,188,132.2,-22.8
557,20231001,538,133,171,135.4,2.4
558,20231001,270,131,111,128.8,-2.2
559,20231001,433,144,123,136.5,-7.5
560,20231001,500,147,126,122.8,-24.2
561,20231001,64,128,92,133.6,5.6
562,20231001,561,137,112,134.0,-3.0
563,20231001,600,138,178,154.9,16.9
564,20231001,622,111,124,134.1,23.1
565,20231001,647,113,143,132.0,19.0
566,20231001,472,130,143,121.8,-8.2
567,20231001,790,148,132,131.7,-16.3
568,20231001,773,111,139,125.5,14.5
569,20231001,457,131,112,137.0,6.0
570,20231001,51,138,179,137.5,-0.5
571,20231001,390,140,132,127.7,-12.3
572,20231001,627,167,138,130.8,-36.2
573,20231001,120,129,131,127.9,-1.1
574,20231001,638,152,117,135.5,-16.5
575,20231001,598,118,94,123.7,5.7
576,20231001,740,125,110,131.1,6.1
577,20231001,25,120,136,130.2,10.2
578,20231001,201,128,97,138.5,10.5
579,20231001,700,157,166,136.1,-20.9
580,20231001,392,166,140,134.0,-32.0
581,20231001,145,154,195,139.3,-14.7
582,20231001,264,129,93,140.0,11.0
583,20231001,525,114,140,121.6,7.6
584,20231001,374,138,146,153.1,15.1
585,20231001,710,111,102,122.5,11.5
586,20231001,279,132,101,129.1,-2.9
587,20231001,545,123,135,143.5,20.5
588,20231001,338,118,103,132.3,14.3
589,20231001,197,139,120,127.5,-11.5
590,20231001,177,144,118,129.2,-14.8
591,20231001,109,106,81,119.7,13.7
592,20231001,281,123,102,122.5,-0.5
593,20231001,361,128,110,135.6,7.6
594,20231001,54,173,211,144.7,-28.3
595,20231001,484,142,149,133.6,-8.4
596,20231001,191,156,189,124.4,-31.6
597,20231001,61,125,123,140.3,15.3
598,20231001,648,96,87,120.3,24.3
599,20231001,326,172,144,148.9,-23.1
600,20231001,21,133,107,134.4,1.4
601,20231101,166,119,97,131.0,12.0
602,20231101,128,136,109,166.7,30.7
603,20231101,413,162,160,136.4,-25.6
604,20231101,654,126,88,129.2,3.2
605,20231101,711,151,174,134.8,-16.2
606,20231101,123,136,139,135.4,-0.6
607,20231101,246,107,92,127.2,20.2
608,20231101,637,152,172,133.6,-18.4
609,20231101,716,124,148,132.8,8.8
610,20231101,672,152,166,134.9,-17.1
611,20231101,150,106,122,128.9,22.9
612,20231101,572,136,103,135.2,-0.8
613,20231101,504,137,143,135.9,-1.1
614,20231101,269,103,106,148.7,45.7
615,20231101,354,94,103,134.6,40.6
616,20231101,590,133,149,142.2,9.2
617,20231101,730,167,122,134.8,-32.2
618,20231101,699,110,129,133.3,23.3
619,20231101,263,107,79,129.8,22.8
620,20231101,288,127,146,121.7,-5.3
621,20231101,230,146,109,122.5,-23.5
622,20231101,440,126,89,135.0,9.0
623,20231101,744,155,115,133.2,-21.8
624,20231101,46,149,118,132.2,-16.8
625,20231101,35,179,200,148.9,-30.1
626,20231101,203,183,221,158.3,-24.7
627,20231101,359,112,106,134.8,22.8
628,20231101,605,145,183,138.5,-6.5
629,20231101,480,112,122,146.5,34.5
630,20231101,624,147,184,147.8,0.8
631,20231101,537,127,160,135.5,8.5
632,20231101,234,132,105,126.1,-5.9
633,20231101,636,132,170,129.5,-2.5
634,20231101,133,102,122,133.5,31.5
635,20231101,800,179,140,140.2,-38.8
636,20231101,761,170,123,134.8,-35.2
637,20231101,89,118,146,129.8,11.8
638,20231101,280,127,121,123.3,-3.7
639,20231101,435,111,114,132.1,21.1
640,20231101,291,159,157,133.0,-26.0
641,20231101,312,126,162,134.3,8.3
642,20231101,456,131,143,135.8,4.8
643,20231101,563,115,88,115.7,0.7
644,20231101,122,121,146,130.9,9.9
645,20231101,733,119,87,131.4,12.4
646,20231101,61,134,155,146.8,12.8
647,20231101,509,165,140,134.1,-30.9
648,20231101,401,130,116,130.0,0.0
649,20231101,340,109,104,133.4,24.4
650,20231101,569,131,97,145.2,14.2
651,20231101,278,116,107,130.1,14.1
652,20231101,146,129,136,130.2,1.2
653,20231101,383,109,118,135.0,26.0
654,20231101,350,168,132,136.8,-31.2
655,20231101,745,126,138,117.8,-8.2
656,20231101,151,150,193,170.1,20.1
657,20231101,658,136,156,143.2,7.2
658,20231101,404,168,135,138.3,-29.7
659,20231101,363,147,177,135.0,-12.0
660,20231101,384,116,92,135.0,19.0
661,20231201,257,152,195,142.1,-9.9
662,20231201,386,184,203,134.7,-49.3
663,20231201,91,142,166,128.7,-13.3
664,20231201,366,138,125,120.1,-17.9
665,20231201,243,129,122,138.3,9.3
666,20231201,417,138,105,128.1,-9.9
667,20231201,639,153,171,139.5,-13.5
668,20231201,92,112,127,135.4,23.4
669,20231201,486,111,143,143.3,32.3
670,20231201,792,125,89,138.3,13.3
671,20231201,385,128,135,137.9,9.9
672,20231201,507,122,95,122.4,0.4
673,20231201,752,121,136,135.8,14.8
674,20231201,695,148,150,134.5,-13.5
675,20231201,119,156,112,143.0,-13.0
676,20231201,344,161,203,162.3,1.3
677,20231201,528,159,202,144.9,-14.1
