InventoryKey,DateKey,ProductKey,WarehouseKey,OnHandUnits,InTransitUnits,ReorderPoint,StockoutFlag
197,20230310,153,2,230,118,85,0
198,20230421,241,9,120,3,84,0
199,20250922,419,2,0,66,96,1
200,20260308,677,6,189,142,194,0
201,20260312,48,7,0,51,149,1
202,20240414,556,3,413,14,59,0
203,20250115,773,1,218,239,39,0
204,20250710,439,5,180,23,40,0
205,20240125,366,8,123,183,64,0
206,20230328,662,3,330,231,57,0
207,20230511,168,1,0,53,115,1
208,20250308,135,8,271,235,37,0
209,20250227,591,5,98,135,134,0
210,20250906,715,2,49,169,137,0
211,20241116,789,1,247,137,102,0
212,20240619,297,10,0,183,40,1
213,20230513,653,6,187,239,195,0
214,20241116,293,5,128,0,86,0
215,20250610,71,2,66,199,90,0
216,20231125,95,10,261,78,183,0
217,20240112,387,6,136,171,54,0
218,20260504,629,4,204,71,55,0
219,20240612,104,5,166,27,190,0
220,20251222,534,9,264,30,122,0
221,20241123,90,8,0,56,79,1
222,20241007,86,5,139,35,53,0
223,20250405,433,2,244,200,66,0
224,20230817,229,4,0,70,59,1
225,20250109,453,3,248,176,118,0
226,20260505,437,4,118,101,43,0
227,20240522,275,7,61,20,42,0
228,20260313,761,7,252,155,177,0
229,20250514,369,9,96,133,112,0
230,20240403,113,2,217,169,103,0
231,20260329,738,10,224,26,119,0
232,20260314,254,10,356,54,134,0
233,20241029,69,7,135,130,194,0
234,20240225,112,5,0,112,135,1
235,20240426,787,4,55,133,91,0
236,20230914,555,8,207,228,151,0
237,20230603,691,2,108,22,50,0
238,20250925,546,5,150,76,103,0
239,20230319,673,1,129,136,189,0
240,20250321,537,9,209,7,135,0
241,20250312,43,1,161,3,46,0
242,20250206,206,7,92,213,176,0
243,20241230,93,9,42,83,141,0
244,20260306,326,10,176,168,37,0
245,20240212,729,10,333,220,90,0
246,20251129,738,4,206,5,108,0
247,20250414,364,8,72,82,59,0
248,20260414,231,9,108,89,63,0
249,20231028,100,9,345,25,46,0
250,20260311,651,2,191,182,195,0
251,20260327,265,5,0,142,126,1
252,20260111,391,8,75,42,141,0
253,20251029,632,6,231,46,31,0
254,20251018,306,1,32,56,32,0
255,20240426,481,7,145,120,41,0
256,20241208,258,3,96,106,23,0
257,20230508,37,4,150,31,130,0
258,20240923,62,5,46,109,173,0
259,20260317,453,2,188,197,83,0
260,20231217,138,1,289,105,193,0
261,20240724,505,3,195,72,25,0
262,20260119,571,2,97,3,45,0
263,20230309,757,8,105,129,92,0
264,20230725,640,3,162,171,47,0
265,20240501,10,6,152,208,42,0
266,20240818,13,8,130,59,108,0
267,20240829,477,5,162,19,198,0
268,20250810,307,7,90,215,130,0
269,20260323,762,8,123,197,77,0
270,20241006,680,7,210,2,109,0
271,20260506,158,4,244,245,84,0
272,20230727,283,5,282,193,152,0
273,20231002,328,8,77,72,53,0
274,20230204,359,6,333,108,25,0
275,20230915,205,2,171,181,122,0
276,20250930,658,8,235,78,120,0
277,20251107,113,3,32,79,193,0
278,20251024,432,3,121,231,111,0
279,20240428,89,8,152,249,41,0
280,20241130,793,6,205,73,193,0
281,20250529,220,8,146,35,132,0
282,20240530,203,7,171,232,87,0
283,20260510,10,9,266,64,186,0
284,20250109,397,8,124,99,153,0
285,20250923,287,2,165,160,177,0
286,20250419,250,3,0,13,46,1
287,20260303,659,7,95,230,85,0
288,20250710,267,2,240,214,114,0
289,20230424,749,6,394,206,62,0
290,20231005,228,6,234,117,151,0
291,20251003,8,4,104,76,177,0
292,20230609,106,2,106,39,29,0
293,20260130,103,6,76,82,31,0
294,20230918,53,8,212,197,145,0
295,20240811,442,6,95,45,32,0
296,20241109,178,7,413,238,38,0
297,20230213,685,10,202,0,118,0
298,20260320,763,8,163,153,40,0
299,20250407,292,9,193,154,129,0
300,20240726,202,2,94,143,167,0
301,20241031,459,8,104,138,130,0
302,20260214,485,5,138,138,59,0
303,20240814,444,2,0,167,121,1
304,20231013,590,7,194,138,107,0
305,20240504,331,4,179,4,26,0
306,20250404,274,3,198,152,121,0
307,20260607,650,10,249,169,61,0
308,20250208,798,5,291,237,95,0
309,20260228,276,8,251,141,131,0
310,20231009,186,5,95,231,186,0
311,20231207,324,2,90,54,190,0
312,20230129,737,7,133,211,132,0
313,20240806,599,10,37,193,84,0
314,20251206,281,8,204,6,62,0
315,20240104,101,2,170,178,65,0
316,20230513,483,3,317,135,73,0
317,20240909,418,2,90,39,101,0
318,20250422,710,7,125,108,121,0
319,20230131,562,9,324,11,152,0
320,20230226,379,2,106,45,148,0
321,20230316,115,9,119,106,144,0
322,20250424,364,10,225,249,61,0
323,20240516,786,9,134,62,103,0
324,20230920,484,4,100,85,129,0
325,20231113,646,7,35,208,145,0
326,20251112,531,8,53,116,186,0
327,20250928,260,9,231,179,21,0
328,20240611,673,4,151,3,68,0
329,20250722,790,4,177,102,44,0
330,20250209,162,3,509,235,169,0
331,20240128,743,7,0,214,198,1
332,20250314,346,10,70,37,148,0
333,20241013,249,5,163,167,97,0
334,20240130,424,3,204,95,128,0
335,20250828,686,8,169,49,185,0
336,20230528,301,4,143,185,183,0
337,20230307,30,4,0,235,101,1
338,20250122,409,4,116,246,112,0
339,20240504,777,3,39,117,127,0
340,20231016,19,9,207,145,169,0
341,20230205,637,5,69,169,124,0
342,20240302,532,5,130,103,20,0
343,20240211,466,6,67,58,174,0
344,20241111,214,3,105,4,155,0
345,20250308,292,6,0,175,140,1
346,20230707,502,6,187,49,179,0
347,20231107,419,10,161,247,70,0
348,20240917,236,2,133,13,173,0
349,20230413,573,5,0,135,183,1
350,20260502,239,3,293,83,40,0
351,20241115,363,10,51,84,94,0
352,20230716,159,3,211,125,40,0
353,20240508,412,8,112,105,116,0
354,20250813,628,6,0,144,99,1
355,20260224,614,1,213,155,147,0
356,20250228,697,6,101,23,52,0
357,20241222,582,6,160,4,35,0
358,20240707,750,7,228,228,112,0
359,20240215,200,5,116,109,178,0
360,20260420,178,2,226,53,148,0
361,20250513,302,8,255,193,110,0
362,20250708,278,3,141,103,43,0
363,20230227,727,3,0,9,34,1
364,20240217,468,5,206,40,139,0
365,20240404,754,4,101,161,182,0
366,20240206,166,4,57,222,39,0
367,20230803,750,1,137,180,139,0
368,20240426,207,8,114,64,173,0
369,20240823,532,2,167,146,137,0
370,20260201,462,5,67,203,34,0
371,20251130,206,5,222,6,86,0
372,20230520,678,3,168,112,112,0
373,20260116,255,3,29,210,88,0
374,20230717,680,7,99,136,66,0
375,20250111,538,3,55,99,185,0
376,20250625,611,10,83,152,169,0
377,20240712,784,8,136,199,166,0
378,20230703,611,6,154,161,152,0
379,20260129,605,1,287,46,81,0
380,20250210,332,2,0,133,153,1
381,20250214,146,4,68,4,179,0
382,20240326,608,8,230,237,58,0
383,20260429,665,4,68,6,193,0
384,20251216,695,10,89,29,156,0
385,20231002,207,7,220,83,77,0
386,20250111,346,4,0,248,69,1
387,20251015,536,3,91,177,84,0
388,20240626,508,4,322,168,91,0
389,20231129,409,6,92,32,130,0
390,20250510,402,3,51,196,60,0
391,20230823,269,8,20,26,179,1
392,20250405,537,6,202,14,71,0
393,20260209,752,2,92,78,190,0
394,20230112,357,9,271,226,198,0
395,20240110,158,4,384,10,56,0
396,20250916,182,3,81,68,64,0
397,20250317,462,8,264,138,93,0
398,20251212,540,2,133,120,29,0
399,20230609,64,8,132,230,182,0
400,20231017,792,2,263,40,193,0
401,20250912,578,5,0,180,32,1
402,20240328,553,10,29,30,104,0
403,20241215,629,7,59,14,195,0
404,20240810,11,4,131,139,79,0
405,20250320,289,2,284,211,60,0
406,20260125,503,10,414,36,130,0
407,20240817,59,5,73,20,39,0
408,20260428,712,2,112,213,194,0
409,20230718,655,9,136,95,31,0
410,20230530,555,10,100,78,141,0
411,20241225,516,6,0,217,86,1
412,20251026,727,2,173,135,62,0
413,20231223,778,1,466,78,133,0
414,20230918,85,7,179,158,160,0
415,20250616,398,7,166,154,135,0
416,20240305,412,7,521,183,110,0
417,20230602,389,8,122,185,124,0
418,20240223,16,1,73,138,46,0
419,20230124,76,6,126,166,56,0
420,20230604,158,2,201,166,94,0
421,20230126,276,4,0,224,54,1
422,20250325,512,6,56,2,102,0
423,20231126,7,4,131,227,195,0
424,20231006,777,4,168,146,87,0
425,20250401,559,1,150,94,120,0
426,20240907,123,3,325,126,189,0
427,20231025,128,2,145,44,118,0
428,20250218,277,3,0,20,152,1
429,20241128,653,7,93,240,41,0
430,20240903,604,10,85,216,28,0
431,20230924,80,8,310,34,56,0
432,20240812,184,6,121,190,187,0
433,20250504,264,7,73,195,181,0
434,20260223,634,8,180,180,30,0
435,20251221,364,8,244,51,32,0
436,20240619,383,9,163,212,121,0
437,20251129,764,5,185,54,117,0
438,20250530,790,9,264,196,84,0
439,20240325,269,5,312,146,30,0
440,20250521,526,7,205,178,185,0
441,20230927,424,4,81,96,41,0
442,20250827,792,5,161,17,154,0
443,20251108,366,1,261,51,65,0
444,20241113,651,6,313,237,191,0
445,20240301,27,1,359,223,164,0
446,20241216,108,6,215,231,105,0
447,20241120,189,4,61,34,131,0
448,20240620,776,8,97,179,182,0
449,20260529,316,5,216,59,62,0
450,20230427,25,9,21,117,29,0
451,20231125,410,5,169,218,186,0
452,20240123,705,3,259,89,24,0
453,20241004,238,9,82,127,162,0
454,20250129,102,1,316,158,177,0
455,20250131,598,4,34,248,142,0
456,20231212,165,7,408,156,23,0
457,20230827,478,1,103,226,129,0
458,20250307,580,6,261,229,151,0
459,20231007,26,5,50,31,54,0
460,20240730,54,3,154,57,168,0
461,20231215,169,2,11,188,185,1
462,20251004,245,7,519,212,193,0
463,20260106,183,8,156,29,190,0
464,20250115,324,5,166,131,95,0
465,20250302,748,6,189,65,194,0
466,20240624,696,9,57,160,144,0
467,20240731,144,1,190,169,103,0
468,20250606,285,7,204,86,58,0
469,20240309,355,2,162,162,92,0
470,20250726,366,10,0,99,71,1
471,20241028,158,2,109,234,94,0
472,20240703,720,9,289,53,144,0
473,20251022,777,10,237,120,99,0
474,20260206,121,4,10,99,102,1
475,20231125,175,1,131,84,191,0
476,20251108,634,9,197,28,93,0
477,20251022,119,5,184,214,22,0
478,20260209,422,8,60,217,108,0
479,20250824,300,4,147,3,38,0
480,20251220,111,3,300,12,50,0
481,20240119,266,5,210,146,78,0
482,20251230,418,9,256,247,188,0
483,20240317,573,2,127,245,136,0
484,20260514,31,6,69,36,40,0
485,20231027,402,7,141,119,108,0
486,20251002,456,10,340,30,161,0
487,20250531,467,4,370,99,126,0
488,20230121,268,7,114,173,194,0
489,20260618,327,6,184,239,138,0
490,20241025,255,1,340,215,104,0
491,20230324,231,4,0,115,124,1
492,20240307,406,8,36,163,68,0
493,20230508,57,1,395,61,22,0
494,20230725,245,8,113,122,105,0
495,20230703,777,1,22,101,189,1
496,20241025,389,7,172,6,112,0
497,20250730,623,8,231,19,146,0
498,20230121,484,6,242,245,34,0
499,20260505,407,10,76,15,147,0
500,20230304,717,5,170,69,35,0
501,20251212,27,2,82,145,155,0
502,20230617,39,5,283,64,181,0
503,20230214,106,1,238,179,87,0
504,20260227,485,2,128,210,131,0
505,20240128,147,3,142,148,141,0
506,20240312,770,4,315,244,90,0
507,20260404,58,3,109,71,117,0
508,20251211,407,10,165,208,84,0
509,20250728,271,2,294,87,68,0
510,20251214,42,8,146,40,62,0
511,20230817,7,6,271,60,62,0
512,20250402,445,8,213,99,140,0
513,20241108,369,8,259,19,197,0
514,20250729,637,8,143,205,49,0
515,20240123,150,1,213,167,151,0
516,20260305,340,2,110,162,93,0
517,20250124,142,1,39,131,159,0
518,20240609,423,3,104,101,172,0
519,20240812,321,7,151,111,91,0
520,20260320,121,1,122,16,121,0
521,20230727,235,7,345,163,54,0
522,20250730,181,2,108,34,21,0
523,20240430,707,9,273,151,128,0
524,20251128,381,2,0,53,42,1
525,20250915,617,2,109,107,186,0
526,20241019,637,5,217,74,68,0
527,20230626,526,8,10,93,141,1
528,20250303,151,10,321,114,76,0
529,20250829,728,6,185,108,177,0
530,20240322,706,3,110,23,172,0
531,20241126,123,10,167,103,131,0
532,20230310,732,6,173,0,136,0
533,20231115,8,7,210,201,118,0
534,20250315,712,2,299,172,101,0
535,20250604,351,7,93,133,128,0
536,20250831,379,1,155,196,31,0
537,20230207,684,6,13,179,135,1
538,20231018,437,9,306,122,84,0
539,20251229,734,1,166,183,29,0
540,20240603,756,1,318,141,79,0
541,20240902,177,4,330,25,114,0
542,20230316,694,4,81,52,63,0
543,20241217,748,7,403,123,45,0
544,20240920,340,4,229,146,46,0
545,20230924,238,3,279,129,131,0
546,20230326,666,10,95,242,199,0
547,20250219,284,5,13,95,135,1
548,20240710,56,2,391,50,54,0
549,20240423,745,8,70,74,155,0
550,20250520,242,3,143,120,76,0
551,20230629,351,6,36,81,140,0
552,20260603,689,10,283,33,73,0
553,20240616,182,4,151,194,56,0
554,20250809,246,5,217,186,85,0
555,20250330,415,3,0,93,84,1
556,20230426,71,7,259,207,99,0
557,20240225,133,10,93,186,66,0
558,20240706,406,2,190,127,180,0
559,20241208,227,3,77,109,196,0
560,20241220,83,6,213,15,72,0
561,20250325,313,4,0,55,51,1
562,20240605,52,2,54,34,161,0
563,20250729,122,10,110,240,49,0
564,20240109,538,6,260,127,198,0
565,20250910,57,8,61,105,110,0
566,20230719,607,5,540,183,192,0
567,20240907,243,10,134,228,35,0
568,20230628,45,1,69,76,40,0
569,20250621,480,7,225,19,85,0
570,20230327,449,2,91,57,55,0
571,20240718,292,10,229,163,155,0
572,20240901,460,2,241,169,83,0
573,20251218,701,7,144,178,30,0
574,20231230,766,8,114,10,116,0
575,20250713,415,8,217,242,173,0
576,20250906,5,3,152,142,46,0
577,20250501,243,3,134,224,23,0
578,20250705,166,10,0,17,144,1
579,20231203,401,4,9,106,93,1
580,20260407,503,2,110,53,146,0
581,20260330,158,1,285,146,124,0
582,20231217,411,1,94,57,57,0
583,20231221,361,9,70,105,109,0
584,20260622,178,7,37,190,179,0
585,20231027,729,6,193,22,21,0
586,20250826,717,8,144,9,171,0
587,20250116,786,6,157,110,76,0
588,20250610,36,10,223,9,42,0
589,20241124,400,7,183,162,113,0
590,20240320,479,8,188,195,52,0
591,20250815,223,3,213,192,82,0
592,20230222,7,6,39,61,137,0
593,20231110,246,7,221,79,64,0
594,20231027,421,2,62,5,116,0
595,20230415,606,9,242,163,139,0
596,20240728,716,6,29,199,194,1
597,20251027,690,6,176,147,48,0
598,20240922,33,10,161,167,139,0
599,20230105,54,9,225,48,29,0
600,20240403,402,4,0,199,61,1
601,20250423,249,2,83,85,149,0
602,20260512,790,5,112,173,108,0
603,20240726,573,7,303,226,96,0
604,20230110,557,1,442,165,65,0
605,20250623,85,7,111,81,41,0
606,20250207,205,8,0,45,134,1
607,20240405,608,1,313,47,178,0
608,20240324,698,5,195,188,62,0
609,20230118,223,5,85,4,172,0
610,20260420,567,2,98,185,161,0
611,20240412,325,9,102,135,22,0
612,20260119,153,9,172,182,170,0
613,20240613,615,3,53,49,146,0
614,20230304,546,10,350,162,158,0
615,20241225,192,10,92,51,158,0
616,20250923,194,9,244,160,152,0
617,20250416,652,6,18,68,121,1
618,20230831,53,2,76,85,35,0
619,20260529,267,10,0,55,195,1
620,20251118,58,4,247,155,157,0
621,20240417,511,9,408,25,27,0
622,20260122,425,8,133,209,194,0
623,20250309,44,6,423,43,197,0
624,20251107,175,9,156,78,109,0
625,20251111,237,1,299,179,87,0
626,20240829,721,9,168,48,95,0
627,20231225,499,8,273,31,55,0
628,20230415,60,3,166,94,169,0
629,20230331,546,8,243,32,142,0
630,20260111,382,10,0,54,110,1
631,20260619,231,2,68,118,53,0
632,20231117,549,8,158,81,93,0
633,20250810,146,4,72,158,24,0
634,20240123,526,5,259,184,62,0
635,20230228,235,9,189,209,44,0
636,20251023,742,9,151,180,28,0
637,20230828,29,8,193,223,120,0
638,20230726,631,8,0,91,166,1
639,20260225,318,1,108,140,24,0
640,20230919,60,4,199,237,170,0
641,20230518,388,8,231,72,70,0
642,20251115,454,10,65,233,146,0
643,20251204,771,4,130,245,134,0
644,20251227,494,7,242,222,89,0
645,20230506,800,1,4,96,123,1
646,20230607,324,2,55,102,176,0
647,20260525,580,7,136,174,35,0
648,20250507,423,10,79,30,156,0
649,20240712,237,2,351,66,32,0
650,20230212,46,10,180,68,154,0
651,20230825,40,3,227,112,150,0
652,20251230,329,1,120,124,136,0
653,20230426,168,8,123,14,119,0
654,20230930,375,2,141,130,143,0
655,20250428,368,4,220,91,93,0
656,20240619,704,7,65,47,43,0
657,20250508,231,4,157,195,171,0
658,20250425,757,2,202,56,72,0
659,20241222,548,5,253,0,132,0
660,20230531,610,2,72,132,55,0
661,20260107,669,4,89,160,22,0
662,20240425,621,8,218,144,23,0
663,20251129,328,1,0,65,117,1
664,20240613,229,8,233,205,27,0
665,20241201,606,3,290,239,34,0
666,20250416,482,9,123,44,191,0
667,20240614,14,10,113,215,47,0
668,20260527,407,8,186,111,181,0
669,20230713,599,4,265,129,67,0
670,20230930,554,9,245,18,184,0
671,20260218,567,10,142,198,60,0
672,20240913,553,10,73,46,20,0
673,20231202,79,2,137,92,61,0
674,20230205,27,2,111,39,35,0
675,20231015,757,6,490,170,190,0
676,20231226,365,5,147,213,111,0
677,20240426,254,4,6,97,37,0
678,20250904,43,8,199,201,86,0
679,20240905,141,10,127,24,139,0
680,20230531,608,6,95,27,121,0
681,20231021,241,1,338,152,128,0
682,20240615,519,7,201,110,105,0
683,20240711,467,9,125,18,162,0
684,20240309,614,4,213,179,166,0
685,20230727,373,2,253,183,47,0
686,20250727,120,9,144,179,190,0
687,20231013,179,3,0,72,135,1
688,20240701,621,5,0,53,172,1
689,20230128,697,10,169,124,161,0
690,20231220,673,8,226,188,175,0
691,20241214,650,5,219,171,128,0
692,20241203,700,1,113,63,68,0
693,20251112,577,10,101,96,86,0
694,20250814,127,9,234,107,114,0
695,20240108,716,1,299,65,164,0
696,20241107,664,8,0,63,50,1
697,20230314,579,6,89,180,191,0
698,20251121,512,9,86,151,115,0
699,20230301,38,5,136,172,162,0
700,20250303,520,3,198,163,187,0
701,20230417,15,4,243,156,62,0
702,20251206,441,2,79,168,105,0
703,20240221,231,1,79,119,86,0
704,20250503,299,10,14,25,91,0
705,20250220,193,4,147,104,81,0
706,20230609,686,8,187,229,52,0
707,20240507,642,3,0,204,145,1
708,20230103,698,2,187,69,95,0
709,20240713,222,4,262,97,162,0
710,20240120,505,8,165,134,174,0
711,20260416,634,7,331,56,84,0
712,20230111,306,2,311,226,80,0
713,20250513,190,6,251,127,125,0
714,20260111,698,3,133,237,157,0
715,20230129,780,6,275,70,46,0
716,20230207,438,4,296,79,59,0
717,20251013,683,3,261,52,184,0
718,20240309,216,8,182,78,196,0
719,20260124,39,2,254,215,149,0
720,20260109,6,1,78,85,167,0
721,20240630,147,3,201,211,128,0
722,20250322,554,9,264,226,56,0
723,20230411,339,8,312,159,111,0
724,20250717,505,9,399,167,23,0
725,20250905,532,9,159,33,33,0
726,20260627,279,2,388,221,47,0
727,20240314,135,9,413,142,34,0
728,20250603,184,9,117,71,29,0
729,20250728,730,1,76,11,131,0
730,20230128,493,3,105,219,63,0
731,20260130,441,7,111,249,188,0
732,20240215,774,3,0,117,103,1
733,20230418,370,1,267,6,127,0
734,20250517,471,4,160,178,50,0
735,20250105,652,3,72,153,119,0
736,20230627,12,7,14,182,60,0
737,20230808,34,2,39,149,96,0
738,20230430,563,3,268,76,191,0
739,20250331,134,5,99,2,119,0
740,20260603,658,5,67,227,142,0
741,20231021,638,9,288,6,69,0
742,20250920,181,7,243,193,22,0
743,20231031,716,10,118,144,130,0
744,20230727,606,10,417,133,152,0
745,20250604,93,1,122,45,164,0
746,20231114,458,3,86,226,40,0
747,20230618,409,9,146,229,139,0
748,20260329,393,4,280,176,105,0
749,20260210,116,7,177,83,98,0
750,20260320,499,5,112,241,48,0
751,20231113,342,4,384,96,188,0
752,20240119,248,3,367,110,143,0
753,20240130,280,8,268,56,50,0
754,20260610,93,9,0,153,56,1
755,20251127,435,2,211,242,175,0
756,20250805,637,3,114,249,136,0
757,20250815,365,3,296,123,32,0
758,20250817,764,6,192,125,157,0
759,20230721,778,10,72,202,128,0
760,20250816,579,4,138,220,129,0
761,20241005,24,3,0,38,22,1
762,20230503,53,6,49,192,177,0
763,20230725,169,1,126,45,72,0
764,20250106,790,1,102,12,110,0
765,20230327,647,2,104,55,177,0
766,20231031,275,10,82,129,99,0
767,20230102,315,4,45,242,28,0
768,20260205,287,3,232,152,79,0
769,20240831,297,7,96,88,197,0
770,20231121,619,8,250,189,154,0
771,20230423,323,10,121,105,123,0
