AvailabilityKey,DateKey,ProductKey,WarehouseKey,AvailabilityPct,InStockFlag
74,20240815,198,10,90.9,1
75,20250922,314,6,78.3,1
76,20230727,389,3,87.1,1
77,20240330,497,7,48.0,1
78,20230702,715,2,87.1,1
79,20250323,145,2,70.8,1
80,20241124,268,10,97.8,1
81,20231003,645,8,97.9,1
82,20241015,723,10,85.2,1
83,20240125,562,3,89.1,1
84,20230624,675,8,86.4,1
85,20230730,799,2,86.3,1
86,20240801,517,2,96.1,1
87,20251129,68,1,94.3,1
88,20231205,539,5,89.3,1
89,20230913,201,8,90.1,1
90,20230715,637,2,80.1,1
91,20250102,393,9,97.1,1
92,20260323,253,3,98.9,1
93,20260526,599,2,99.4,1
94,20230214,339,10,99.0,1
95,20240912,602,7,83.3,1
96,20231207,777,4,91.2,1
97,20250112,739,7,68.0,1
98,20250822,699,7,90.6,1
99,20240116,575,5,45.0,1
100,20250424,554,9,85.6,1
101,20241120,368,8,77.1,1
102,20250501,365,7,87.9,1
103,20250115,675,3,82.4,1
104,20240511,565,7,90.6,1
105,20231013,56,4,72.6,1
106,20260213,86,3,97.9,1
107,20240709,265,6,99.1,1
108,20240330,753,4,81.8,1
109,20250610,58,4,88.5,1
110,20250708,395,5,92.1,1
111,20251127,255,1,52.1,1
112,20241013,445,5,56.5,1
113,20231210,364,10,73.7,1
114,20260411,500,9,82.8,1
115,20240808,45,3,86.2,1
116,20250322,98,3,99.1,1
117,20230921,291,10,85.7,1
118,20251028,535,8,82.0,1
119,20260101,310,1,90.3,1
120,20231028,230,7,95.7,1
121,20230125,430,4,88.6,1
122,20240620,158,3,89.8,1
123,20250529,139,2,95.4,1
124,20260408,732,9,95.3,1
125,20230609,386,7,95.8,1
126,20230404,220,9,93.1,1
127,20230404,409,3,94.4,1
128,20260203,453,1,99.0,1
129,20230228,574,10,94.0,1
130,20250911,656,6,89.0,1
131,20250209,74,3,82.8,1
132,20231008,481,6,83.2,1
133,20250601,103,3,85.8,1
134,20231211,384,3,96.4,1
135,20240512,90,1,85.1,1
136,20230109,68,9,97.9,1
137,20260428,635,1,90.4,1
138,20260625,545,6,95.6,1
139,20241205,392,6,96.6,1
140,20240404,52,2,91.5,1
141,20230419,402,3,71.3,1
142,20241016,494,4,84.4,1
143,20251128,680,1,76.4,1
144,20240119,506,2,83.2,1
145,20240621,450,9,91.9,1
146,20260523,655,1,82.3,1
147,20260220,745,7,93.6,1
148,20230725,80,3,92.9,1
149,20240907,742,5,91.3,1
150,20240516,386,7,60.6,1
151,20250623,458,8,83.6,1
152,20241010,375,10,98.9,1
153,20241003,629,4,89.5,1
154,20240426,708,6,90.9,1
155,20231020,789,1,82.9,1
156,20230909,354,9,91.4,1
157,20250513,441,9,82.4,1
158,20250905,277,1,80.5,1
159,20240329,583,6,99.4,1
160,20240430,133,8,96.0,1
161,20240202,726,2,97.2,1
162,20240528,227,7,90.5,1
163,20260610,501,9,88.0,1
164,20250601,234,4,68.1,1
165,20260404,15,1,82.0,1
166,20240710,743,9,94.8,1
167,20250902,555,8,91.0,1
168,20240708,791,8,90.3,1
169,20240705,379,9,96.8,1
170,20230611,581,1,99.9,1
171,20230823,594,1,94.0,1
172,20230429,376,4,90.4,1
173,20241115,111,7,89.8,1
174,20250318,286,1,85.0,1
175,20250528,165,10,95.1,1
176,20250925,36,3,79.0,1
177,20231101,560,8,89.8,1
178,20240411,196,1,94.8,1
179,20230109,772,2,86.1,1
180,20260226,174,9,78.6,1
181,20260119,489,6,79.6,1
182,20241010,405,8,81.0,1
183,20240901,356,9,99.2,1
184,20250129,148,10,99.4,1
185,20231029,280,5,84.7,1
186,20260327,545,3,83.2,1
187,20231009,680,6,95.2,1
188,20240905,527,9,92.5,1
189,20240516,713,10,86.0,1
190,20260427,494,2,77.7,1
191,20250126,469,1,79.4,1
192,20260614,705,9,91.0,1
193,20230101,242,3,95.4,1
194,20230219,368,4,69.5,1
195,20260425,735,5,98.1,1
196,20230914,184,10,90.3,1
197,20230417,50,6,90.0,1
198,20241221,540,3,77.4,1
199,20241215,379,3,92.4,1
200,20240920,94,6,87.2,1
201,20240515,202,2,76.0,1
202,20250417,488,9,93.7,1
203,20231115,405,4,67.8,1
204,20241210,20,1,85.1,1
205,20240401,467,8,80.8,1
206,20250629,533,6,89.9,1
207,20250803,601,1,90.6,1
208,20230809,414,8,93.3,1
209,20251210,345,5,95.7,1
210,20250218,781,3,98.2,1
211,20240118,569,10,96.9,1
212,20250214,642,1,72.0,1
213,20240731,739,3,99.5,1
214,20251223,490,2,97.1,1
215,20240622,508,3,74.4,1
216,20250202,111,10,98.1,1
217,20230521,715,10,93.9,1
218,20230713,60,1,91.4,1
219,20251117,11,5,97.2,1
220,20240808,1,1,86.1,1
221,20230211,601,1,65.2,1
222,20230315,350,10,88.2,1
223,20241029,293,10,81.5,1
224,20231026,530,9,84.4,1
225,20250129,127,5,98.6,1
226,20251112,417,9,88.9,1
227,20241225,46,10,88.0,1
228,20240520,220,5,99.1,1
229,20231122,601,2,87.0,1
230,20240421,397,3,77.4,1
231,20260308,511,7,90.3,1
232,20241107,433,1,89.3,1
233,20251015,597,4,93.5,1
234,20250512,716,6,89.7,1
235,20230521,357,8,61.4,1
236,20260126,454,9,85.4,1
237,20240111,340,10,91.7,1
238,20260613,230,4,77.5,1
239,20230924,594,1,93.2,1
240,20260410,606,8,95.1,1
241,20240709,138,3,91.0,1
242,20230712,424,9,85.2,1
243,20260329,227,1,83.6,1
244,20231005,391,4,93.8,1
245,20260121,573,5,96.1,1
246,20251030,488,8,79.2,1
247,20250528,464,7,99.6,1
248,20230830,342,5,73.3,1
249,20251205,426,8,94.1,1
250,20241028,389,1,95.7,1
251,20241128,554,1,76.5,1
252,20250803,224,3,90.8,1
253,20251209,507,6,79.8,1
254,20260319,159,4,98.2,1
255,20230225,488,6,93.6,1
256,20230301,753,10,80.2,1
257,20250410,608,9,71.1,1
258,20240207,720,6,91.8,1
259,20241204,7,2,69.5,1
260,20230214,269,9,72.7,1
261,20250216,774,3,83.0,1
262,20250418,205,10,93.6,1
263,20230105,253,10,93.1,1
264,20240115,778,10,88.6,1
265,20230518,704,9,93.7,1
266,20240720,645,5,89.1,1
267,20260311,777,5,97.9,1
268,20251126,315,4,92.7,1
269,20231008,689,5,89.9,1
270,20231226,315,3,98.8,1
271,20251029,121,9,80.2,1
272,20260612,290,5,76.4,1
273,20240327,598,8,93.3,1
274,20250110,336,5,95.8,1
275,20230525,21,9,82.6,1
276,20260530,321,4,91.6,1
277,20241124,765,4,74.4,1
278,20240524,423,2,90.7,1
279,20240802,40,5,58.6,1
280,20240409,551,4,94.9,1
281,20241210,273,1,82.4,1
282,20240928,174,2,89.6,1
283,20250831,645,8,79.0,1
284,20231129,312,5,95.0,1
285,20240706,527,8,96.0,1
286,20240322,665,7,85.8,1
287,20230204,292,3,95.2,1
288,20230808,268,8,96.3,1
289,20260423,312,7,96.6,1
290,20230609,181,5,88.3,1
291,20230110,228,3,94.5,1
292,20260217,203,9,87.2,1
293,20260508,388,10,96.0,1
294,20250507,572,7,78.9,1
295,20250819,97,7,81.5,1
296,20230514,695,3,84.6,1
297,20230925,278,3,95.2,1
298,20250605,381,2,99.8,1
299,20260322,305,10,90.1,1
300,20240217,620,6,76.2,1
301,20250327,280,2,79.5,1
302,20250801,583,8,91.9,1
303,20250610,19,1,98.0,1
304,20231114,216,4,86.7,1
305,20260112,94,3,86.6,1
306,20230713,582,5,68.4,1
307,20230907,115,8,68.5,1
308,20231016,775,4,78.9,1
309,20240224,377,5,92.3,1
310,20230323,299,2,90.9,1
311,20230822,543,2,76.5,1
312,20240708,699,3,98.7,1
313,20230729,420,6,87.8,1
314,20250620,273,4,93.9,1
315,20250506,514,8,83.2,1
316,20250219,647,8,87.6,1
317,20260527,229,9,93.5,1
318,20230722,4,9,88.6,1
319,20260422,735,6,96.5,1
320,20230911,63,6,92.3,1
321,20250214,495,3,98.4,1
322,20240802,710,5,94.2,1
323,20260507,86,4,87.3,1
324,20251209,240,1,92.4,1
325,20231030,158,7,79.2,1
326,20230330,556,10,84.7,1
327,20231208,69,3,79.8,1
328,20260222,744,10,93.8,1
329,20240812,453,6,93.1,1
330,20240307,201,3,96.3,1
331,20240605,146,6,57.1,1
332,20260308,593,9,98.2,1
333,20240220,605,8,97.9,1
334,20250525,728,4,64.0,1
335,20240609,394,10,60.6,1
336,20230116,346,2,80.2,1
337,20250616,752,7,86.2,1
338,20230429,511,7,56.4,1
339,20230816,288,8,67.9,1
340,20231023,307,8,87.3,1
341,20231109,333,4,84.6,1
342,20241030,375,4,85.8,1
343,20250130,122,4,65.8,1
344,20250626,391,5,96.5,1
345,20260331,25,4,95.0,1
346,20241113,438,8,98.1,1
347,20251124,719,1,89.5,1
348,20250629,605,4,95.3,1
349,20240403,525,7,89.8,1
350,20240713,359,5,79.5,1
351,20260621,633,2,83.7,1
352,20251225,653,1,83.1,1
353,20260428,310,10,98.8,1
354,20230804,172,6,93.5,1
355,20250114,109,7,89.0,1
356,20260531,233,3,84.8,1
357,20260105,164,8,85.4,1
358,20251126,788,7,92.7,1
359,20260521,248,3,76.7,1
360,20260515,749,7,68.7,1
361,20250817,326,2,87.5,1
362,20250308,515,6,79.4,1
363,20251215,163,10,99.3,1
364,20241101,466,4,81.6,1
365,20251024,313,9,86.1,1
366,20231007,701,1,88.7,1
367,20260303,518,9,97.8,1
368,20250122,247,9,94.4,1
369,20251110,365,4,96.6,1
370,20230415,531,3,93.7,1
371,20260118,226,8,67.5,1
372,20240611,73,7,76.9,1
373,20230515,592,9,97.7,1
374,20230705,732,10,95.3,1
375,20240309,338,8,83.0,1
376,20240831,230,10,84.1,1
377,20230417,372,7,96.5,1
378,20260622,501,10,88.4,1
379,20260317,411,2,90.7,1
380,20250107,60,3,89.7,1
381,20241125,632,5,81.7,1
382,20241108,17,1,87.1,1
383,20230808,42,4,98.4,1
384,20250223,472,8,72.8,1
385,20230312,53,10,90.0,1
386,20230629,701,1,87.2,1
387,20230312,582,3,69.8,1
388,20250225,533,9,97.6,1
389,20230828,299,2,99.6,1
390,20231027,27,1,87.7,1
391,20240525,17,2,87.3,1
392,20230512,198,10,96.4,1
393,20230429,659,9,96.6,1
394,20251129,517,7,96.1,1
395,20241102,760,4,93.1,1
396,20260208,598,5,80.3,1
397,20231119,375,6,98.9,1
398,20260629,29,8,76.9,1
399,20231024,493,4,99.1,1
400,20241226,10,5,90.2,1
401,20241214,513,9,79.3,1
402,20251030,176,9,89.6,1
403,20230626,353,5,85.4,1
404,20241008,372,4,93.7,1
405,20241225,235,5,78.8,1
406,20250720,16,9,73.5,1
407,20251227,315,1,94.5,1
408,20260307,504,8,80.0,1
409,20250121,120,5,80.8,1
410,20241102,739,2,93.6,1
411,20240301,120,3,91.3,1
412,20250403,619,1,90.2,1
413,20260417,624,3,86.1,1
414,20250207,565,3,73.6,1
415,20250320,739,8,77.6,1
416,20231116,669,9,87.3,1
417,20251106,314,2,93.5,1
418,20230420,194,3,90.5,1
419,20230602,505,9,86.5,1
420,20240322,16,1,86.0,1
421,20241203,469,8,89.6,1
422,20230309,89,10,89.5,1
423,20251211,561,8,69.4,1
424,20260514,303,5,85.0,1
425,20240417,140,9,99.5,1
426,20250530,581,3,95.3,1
427,20231122,615,2,89.7,1
428,20250807,289,4,98.1,1
429,20240125,269,7,83.1,1
430,20230916,562,6,84.7,1
431,20230815,548,8,97.4,1
432,20240912,231,3,77.8,1
433,20260115,735,7,97.7,1
434,20241217,129,9,96.4,1
435,20251206,711,1,88.3,1
436,20260606,50,7,97.8,1
437,20240618,356,5,97.1,1
438,20250110,738,5,98.6,1
439,20231019,620,2,97.0,1
440,20240122,342,5,94.0,1
441,20230406,5,6,94.3,1
442,20230620,331,4,99.4,1
443,20260625,64,7,100.0,1
444,20240124,178,9,91.7,1
445,20240210,721,5,54.6,1
446,20231021,429,10,82.3,1
447,20251215,161,4,94.3,1
448,20250806,67,4,87.6,1
449,20230406,758,2,90.1,1
450,20260118,691,4,97.5,1
451,20251230,434,10,91.2,1
452,20251109,411,1,80.6,1
453,20231026,91,1,91.0,1
454,20260427,629,9,92.0,1
455,20260513,158,4,98.6,1
456,20230928,486,2,82.1,1
457,20250629,740,7,92.0,1
458,20260428,728,2,98.0,1
459,20250731,517,10,90.5,1
460,20230107,791,7,82.2,1
461,20251218,106,7,88.9,1
462,20250904,97,6,68.6,1
463,20231201,263,4,96.2,1
464,20241020,716,4,92.0,1
465,20231111,640,8,80.9,1
466,20230730,719,6,91.4,1
467,20260618,678,7,97.3,1
468,20231029,54,10,92.5,1
469,20241205,525,3,95.5,1
470,20251202,147,3,84.4,1
471,20240831,127,2,97.1,1
472,20240203,494,6,84.0,1
473,20241105,219,6,80.2,1
474,20250307,648,4,85.3,1
475,20230228,253,1,95.8,1
476,20240315,169,7,96.0,1
477,20230417,363,10,90.0,1
478,20250205,128,1,88.9,1
479,20250705,441,9,90.9,1
480,20230120,169,6,90.9,1
481,20260628,700,9,88.1,1
482,20251113,376,9,84.1,1
483,20230505,792,5,88.3,1
484,20250603,342,5,86.3,1
485,20260306,468,5,94.5,1
486,20260513,713,5,93.8,1
487,20230903,360,3,66.3,1
488,20240702,205,9,98.9,1
489,20230703,455,9,85.5,1
490,20240128,419,4,76.4,1
491,20250305,120,1,94.7,1
492,20241017,89,5,43.5,1
493,20240428,77,3,94.4,1
494,20250108,406,2,75.6,1
495,20230317,116,5,90.7,1
496,20260407,540,6,79.5,1
497,20231104,515,2,92.6,1
498,20231112,280,3,79.6,1
499,20251109,356,8,96.0,1
500,20230916,338,3,94.6,1
501,20231222,502,1,87.9,1
502,20260610,517,8,86.0,1
503,20240123,429,2,93.8,1
504,20241216,506,2,97.9,1
505,20240212,411,4,93.5,1
506,20260311,320,10,84.4,1
507,20240526,655,7,96.1,1
508,20241017,260,5,94.9,1
509,20230219,453,7,96.0,1
510,20260421,6,7,76.7,1
511,20230530,436,1,99.4,1
512,20241210,63,1,55.0,1
513,20231104,139,2,95.5,1
514,20240607,453,5,87.2,1
515,20230722,498,9,80.3,1
516,20241107,670,10,92.1,1
517,20230531,492,10,86.6,1
518,20240824,257,7,82.2,1
519,20240820,252,4,85.0,1
520,20241118,306,8,92.2,1
521,20231205,705,1,86.6,1
522,20250304,279,1,98.5,1
523,20241112,425,7,98.9,1
524,20230829,248,6,95.5,1
525,20240203,94,8,91.5,1
526,20250425,400,7,92.8,1
527,20240317,534,10,96.0,1
528,20260117,1,8,93.1,1
529,20250920,218,8,95.5,1
530,20230306,1,9,71.3,1
531,20241028,579,5,74.5,1
532,20240421,502,9,99.5,1
533,20250324,582,2,87.0,1
534,20250611,279,3,96.9,1
535,20240907,343,6,64.4,1
536,20260131,172,7,81.7,1
537,20240911,265,3,93.4,1
538,20241009,372,6,74.9,1
539,20230317,376,10,78.7,1
540,20251208,678,10,91.2,1
541,20240819,419,5,92.7,1
542,20240921,658,8,90.2,1
543,20260523,99,7,92.5,1
544,20250105,611,10,80.4,1
545,20230403,708,4,76.9,1
546,20230629,561,4,89.4,1
547,20260119,113,9,97.6,1
548,20240814,761,2,74.9,1
549,20230725,368,2,93.6,1
550,20250904,417,10,74.7,1
551,20250605,236,3,87.7,1
552,20240109,484,9,50.9,1
553,20230227,420,4,91.5,1
554,20250219,79,3,99.0,1
555,20241223,605,9,97.2,1
556,20240830,373,5,86.9,1
557,20231006,186,1,77.3,1
558,20260616,23,4,95.8,1
559,20250125,791,10,84.6,1
560,20240421,119,8,89.3,1
561,20251008,299,8,87.1,1
562,20240604,498,5,99.5,1
563,20260613,248,5,93.6,1
564,20250716,176,8,83.9,1
565,20251224,724,2,94.9,1
566,20240913,791,2,68.9,1
567,20251226,328,5,89.3,1
568,20230216,245,8,96.9,1
569,20250104,384,1,92.8,1
570,20240613,526,10,99.9,1
571,20230312,381,9,91.7,1
572,20231201,104,7,75.9,1
573,20240127,396,8,96.8,1
574,20240714,548,5,83.9,1
575,20240120,431,3,95.3,1
576,20230105,696,2,92.9,1
577,20231125,141,2,71.8,1
578,20260617,566,10,74.3,1
579,20230603,490,5,96.6,1
580,20250420,105,7,86.7,1
581,20240221,608,1,96.0,1
582,20250312,627,3,95.7,1
583,20240515,180,4,66.4,1
584,20260626,778,8,80.1,1
585,20230809,31,10,94.3,1
586,20230422,337,6,93.8,1
587,20240614,219,10,98.3,1
588,20240624,419,5,98.5,1
589,20251230,295,5,92.4,1
590,20231201,554,2,98.9,1
591,20260201,464,6,89.9,1
592,20250523,495,4,82.4,1
593,20230124,634,5,94.0,1
594,20240810,202,5,82.6,1
595,20250910,72,2,95.1,1
596,20231109,640,5,81.4,1
597,20240122,577,2,62.2,1
598,20240802,491,10,90.9,1
599,20241018,336,2,97.6,1
600,20240617,680,9,76.0,1
601,20240713,23,4,84.1,1
602,20231212,758,6,90.8,1
603,20260208,719,6,62.2,1
604,20251215,380,9,83.6,1
605,20240224,336,1,87.5,1
606,20250420,5,4,95.6,1
607,20250810,673,2,71.2,1
608,20260301,658,6,88.8,1
609,20250612,438,7,89.7,1
610,20260304,743,9,86.1,1
611,20230804,16,10,88.6,1
612,20250923,777,6,76.5,1
613,20260619,629,3,75.1,1
614,20231227,182,9,83.8,1
615,20260510,466,6,94.1,1
616,20260123,675,10,96.5,1
617,20240804,657,7,96.6,1
618,20250213,51,5,85.7,1
619,20250815,175,6,83.6,1
620,20260104,106,1,95.4,1
621,20240813,418,9,90.0,1
622,20250125,427,8,83.3,1
623,20231121,295,7,93.8,1
624,20231103,241,3,94.4,1
625,20240611,572,10,96.2,1
626,20230222,502,8,91.2,1
627,20240724,288,10,69.0,1
628,20250722,739,9,81.8,1
629,20260525,658,3,90.2,1
630,20230329,285,5,98.2,1
631,20240219,731,10,97.8,1
632,20260527,624,10,97.1,1
633,20260331,216,2,75.1,1
634,20251121,334,1,65.1,1
635,20230108,200,9,75.1,1
636,20240311,292,2,92.0,1
637,20230329,408,8,86.6,1
638,20250531,617,6,84.8,1
639,20260329,698,2,70.0,1
640,20230225,697,7,91.5,1
641,20231227,587,10,90.5,1
642,20260106,139,7,97.8,1
643,20240512,508,10,95.1,1
644,20250313,613,7,77.3,1
645,20240923,738,6,88.6,1
646,20260425,539,6,83.5,1
647,20260614,663,5,98.8,1
648,20250702,556,8,83.5,1
649,20241230,199,4,87.3,1
650,20230524,777,1,82.5,1
651,20250301,468,2,71.5,1
652,20250221,154,8,98.0,1
653,20230622,558,2,96.3,1
654,20260301,548,8,95.0,1
655,20230830,561,10,99.6,1
656,20241115,537,1,97.0,1
657,20231118,276,5,81.3,1
658,20250611,182,4,92.9,1
659,20240127,288,5,81.9,1
660,20230913,762,1,88.4,1
661,20250425,734,9,72.8,1
662,20230903,354,10,99.0,1
663,20230715,471,8,94.2,1
664,20240623,624,7,88.8,1
665,20230519,320,6,92.6,1
666,20230418,750,5,82.0,1
667,20230307,117,1,95.9,1
668,20250330,575,4,98.6,1
669,20260419,258,1,86.8,1
670,20230708,444,10,88.7,1
671,20250517,613,4,96.8,1
672,20250718,647,5,68.2,1
673,20231115,704,6,87.7,1
674,20241127,636,9,77.4,1
675,20241125,107,9,96.1,1
676,20231115,341,8,85.5,1
677,20250428,790,1,95.9,1
678,20260121,310,4,98.6,1
679,20240528,664,5,86.1,1
680,20241130,791,5,99.6,1
681,20260505,317,6,99.0,1
682,20240222,616,5,75.5,1
683,20230720,590,6,93.5,1
684,20240410,623,4,94.3,1
685,20240612,761,3,77.1,1
686,20250616,202,8,97.8,1
687,20231116,756,6,84.3,1
688,20240818,146,6,95.4,1
689,20240218,132,3,95.7,1
690,20230326,730,9,90.1,1
691,20260403,46,4,99.5,1
692,20230813,491,4,93.8,1
693,20230315,784,8,92.1,1
694,20251026,558,6,80.9,1
695,20230609,176,8,82.6,1
696,20250109,92,9,99.3,1
697,20250825,291,7,66.2,1
698,20250113,638,8,98.0,1
699,20260628,663,5,79.3,1
700,20240727,108,6,97.7,1
701,20260415,347,6,92.1,1
702,20241126,592,4,84.8,1
703,20231108,630,2,95.5,1
704,20230823,258,10,89.7,1
705,20230515,454,8,70.9,1
706,20241026,583,8,98.0,1
707,20230422,319,4,98.5,1
708,20230411,627,3,94.9,1
709,20260312,183,2,79.7,1
710,20250115,656,6,85.7,1
711,20231104,201,10,91.6,1
712,20240902,286,3,87.9,1
713,20230930,522,1,95.3,1
714,20240306,321,2,92.3,1
715,20250412,21,10,88.3,1
716,20230420,686,5,98.9,1
717,20251210,17,9,92.8,1
718,20251206,235,1,72.5,1
719,20241001,126,2,70.9,1
720,20240514,177,10,81.4,1
721,20250525,276,10,96.3,1
722,20231222,386,9,89.0,1
723,20230103,73,7,81.7,1
724,20230919,492,4,84.7,1
725,20230123,427,5,99.2,1
726,20240901,317,6,99.7,1
727,20250925,725,4,67.5,1
728,20230214,543,7,82.6,1
729,20240602,91,9,89.8,1
730,20241019,21,7,93.4,1
731,20250510,69,6,95.8,1
732,20251128,773,2,86.3,1
733,20240305,380,5,84.9,1
734,20230510,684,4,74.9,1
735,20250304,509,6,95.5,1
736,20260103,694,9,97.5,1
737,20240701,590,6,86.0,1
738,20250329,102,2,94.8,1
739,20260405,348,1,93.6,1
740,20240717,273,10,94.1,1
741,20251025,283,5,94.6,1
742,20231017,698,9,96.4,1
743,20231101,517,4,88.6,1
744,20251024,712,3,96.1,1
745,20240923,650,8,96.3,1
746,20260110,63,7,73.5,1
747,20251015,493,4,95.9,1
748,20260405,274,7,89.1,1
749,20260516,766,3,69.3,1
750,20230819,186,4,87.6,1
751,20260404,42,8,89.8,1
752,20241013,749,5,87.9,1
753,20240417,569,8,81.0,1
754,20251222,281,9,94.7,1
755,20230411,587,9,91.2,1
756,20231007,337,4,84.8,1
757,20230119,462,6,84.5,1
758,20230819,533,5,82.1,1
759,20251028,631,3,92.2,1
760,20240330,591,2,97.6,1
761,20260222,312,10,98.7,1
762,20240713,185,1,79.4,1
763,20260519,129,5,83.7,1
764,20251214,281,7,67.3,1
765,20251211,252,2,98.5,1
766,20240716,14,2,95.0,1
767,20230304,672,3,99.2,1
768,20230523,53,7,89.9,1
769,20241001,242,9,93.5,1
770,20240102,536,3,86.5,1
771,20230503,614,4,94.0,1
772,20250712,605,6,94.8,1
773,20230331,524,5,96.5,1
774,20230320,127,1,82.7,1
775,20250203,513,3,91.6,1
776,20230212,318,1,56.1,1
777,20231203,770,1,96.6,1
778,20241226,479,1,84.5,1
779,20250828,685,5,82.4,1
780,20240319,342,1,95.1,1
781,20241224,382,2,86.3,1
782,20230514,208,8,94.1,1
783,20250810,73,9,96.6,1
784,20260107,10,4,100.0,1
785,20240424,84,8,88.8,1
786,20240626,758,5,79.8,1
787,20240920,23,2,94.4,1
788,20250618,769,2,87.8,1
789,20240610,504,7,97.8,1
790,20230102,338,5,97.6,1
791,20240514,262,10,68.9,1
792,20230124,594,1,88.1,1
793,20260530,46,5,85.2,1
794,20260518,683,5,81.0,1
795,20250807,37,8,94.6,1
796,20230730,270,1,77.7,1
797,20240117,16,2,93.3,1
798,20231026,256,4,56.3,1
799,20241017,83,10,95.3,1
800,20230216,437,8,99.8,1
801,20260413,505,10,83.5,1
802,20240204,364,4,99.4,1
803,20240226,464,4,87.3,1
804,20260329,11,9,73.7,1
805,20240709,172,2,89.9,1
806,20251110,409,4,89.5,1
807,20250330,589,5,87.8,1
808,20260524,780,10,91.4,1
809,20250714,777,7,83.4,1
810,20230519,737,9,82.6,1
811,20230908,645,2,91.4,1
812,20260108,775,4,96.0,1
813,20250811,148,6,99.1,1
814,20240902,14,6,99.7,1
815,20250416,7,10,97.2,1
816,20250606,630,8,89.8,1
817,20260125,760,6,72.4,1
818,20250512,592,3,99.7,1
819,20260125,317,6,73.4,1
820,20230513,321,5,82.4,1
821,20250616,268,9,78.4,1
822,20230518,316,7,67.0,1
823,20230205,285,10,80.7,1
824,20251001,301,1,79.2,1
825,20230524,53,4,94.5,1
826,20230707,72,4,93.5,1
827,20250824,197,4,69.4,1
828,20260302,341,8,91.7,1
829,20250506,415,6,83.2,1
830,20240503,460,9,92.5,1
831,20240507,657,10,99.5,1
832,20240618,521,5,99.0,1
833,20250307,242,7,94.1,1
834,20230503,123,3,93.0,1
835,20260102,192,1,96.5,1
836,20240916,327,3,98.8,1
837,20240513,237,4,96.3,1
838,20260329,701,10,97.4,1
839,20240921,492,3,96.0,1
840,20230902,389,1,90.4,1
841,20241225,501,4,94.7,1
842,20260523,316,4,98.4,1
843,20230813,172,3,96.4,1
844,20240123,750,10,61.4,1
845,20230519,571,4,87.5,1
846,20240410,280,6,92.0,1
847,20240710,680,1,95.5,1
848,20251124,483,4,91.6,1
849,20250306,486,5,94.3,1
850,20230425,778,6,88.8,1
851,20250202,179,4,85.6,1
852,20240817,334,9,95.9,1
853,20260323,146,5,77.7,1
854,20250805,776,1,97.4,1
855,20240402,100,6,98.5,1
856,20231211,619,8,96.3,1
857,20240729,203,1,93.1,1
858,20251011,611,9,83.4,1
859,20250707,25,10,99.1,1
860,20250130,706,9,93.6,1
861,20250830,150,5,80.8,1
862,20231226,215,4,89.6,1
863,20250525,434,6,78.4,1
864,20250713,309,2,79.3,1
865,20240628,62,4,83.8,1
866,20250812,716,6,91.5,1
867,20241225,511,4,81.8,1
868,20240418,108,4,95.0,1
869,20240430,260,10,91.6,1
