PricingKey,DateKey,ProductKey,ListPrice,SellingPrice,CompetitorPrice
73,20230218,599,224.63,188.89,220.42
74,20230225,597,11.11,9.28,10.88
75,20260620,84,73.96,55.87,79.69
76,20240417,631,266.82,252.73,280.2
77,20241118,209,254.65,221.57,283.02
78,20250317,348,233.48,225.26,220.66
79,20231127,726,274.85,252.6,254.0
80,20250605,164,412.46,395.98,435.92
81,20240307,495,21.23,18.05,18.25
82,20260617,625,408.43,393.51,355.96
83,20250925,173,352.79,314.18,350.38
84,20241118,714,29.93,27.11,30.48
85,20231115,5,163.2,163.05,157.52
86,20240115,734,36.51,34.74,36.44
87,20240614,40,246.38,245.61,228.55
88,20240723,254,91.01,82.3,79.03
89,20250818,66,232.57,227.97,234.77
90,20231017,227,292.62,239.77,296.08
91,20230426,493,91.44,69.06,88.46
92,20250920,762,278.35,227.35,311.94
93,20240901,433,60.97,52.13,56.16
94,20230813,387,66.08,58.95,70.27
95,20230816,502,358.64,289.32,372.65
96,20230902,690,128.51,98.54,133.87
97,20250924,774,100.34,78.38,93.41
98,20260504,331,284.71,216.47,265.17
99,20240710,673,423.99,396.29,445.15
100,20240724,512,65.44,60.12,56.03
101,20250824,308,277.35,225.72,247.9
102,20250710,612,244.74,207.57,235.15
103,20250625,531,18.72,15.17,18.14
104,20240815,652,164.75,138.66,152.01
105,20240721,234,318.9,300.84,348.35
106,20230718,620,141.64,108.16,131.39
107,20240610,188,276.5,273.5,279.74
108,20260521,717,37.49,35.83,38.79
109,20250905,651,68.28,61.55,60.42
110,20251120,558,241.4,232.24,269.5
111,20230219,505,143.55,114.34,149.52
112,20251227,237,339.45,307.34,312.53
113,20240414,455,34.92,34.69,39.0
114,20250601,84,73.96,65.36,76.56
115,20250604,43,136.65,120.54,152.34
116,20230531,689,102.62,83.49,88.19
117,20250719,255,317.46,252.06,358.83
118,20230922,83,12.62,10.62,12.19
119,20260226,326,267.52,237.6,301.47
120,20240901,746,393.87,350.29,395.37
121,20231019,130,108.44,103.42,109.23
122,20260601,339,147.7,131.66,160.21
123,20230307,224,205.12,177.87,177.85
124,20250408,166,277.57,253.79,259.78
125,20251024,435,227.4,176.44,205.8
126,20251203,751,98.86,75.38,109.98
127,20240311,798,130.63,106.7,139.0
128,20260124,592,178.71,145.65,152.76
129,20240816,668,120.7,110.8,133.76
130,20240125,697,203.47,183.08,195.79
131,20230123,313,145.22,111.02,140.01
132,20231202,522,104.14,95.38,94.55
133,20260312,511,114.7,99.81,120.65
134,20230607,608,103.16,90.53,89.23
135,20251106,353,230.0,205.75,213.48
136,20241002,490,84.06,78.47,91.86
137,20250327,528,365.56,280.23,404.81
138,20250929,486,204.27,166.15,179.53
139,20230217,362,342.7,330.02,335.11
140,20240519,319,283.51,266.96,306.89
141,20260210,384,52.49,50.02,47.55
142,20250217,62,427.35,406.76,390.49
143,20230124,659,165.56,149.03,170.12
144,20250927,130,108.44,94.09,101.04
145,20230908,381,275.49,244.48,261.52
146,20260324,409,219.82,194.54,209.16
147,20260505,647,184.7,156.34,174.72
148,20250115,49,197.2,155.19,212.35
149,20260302,444,271.47,245.97,278.81
150,20250709,158,81.27,73.44,90.42
151,20230730,520,361.69,293.65,382.75
152,20240619,590,66.24,61.99,69.01
153,20250925,293,423.76,334.83,396.19
154,20231221,572,96.08,90.75,92.61
155,20260320,135,41.31,36.22,39.55
156,20240919,582,419.19,378.22,425.04
157,20240414,761,403.08,365.06,417.97
158,20260621,491,168.23,133.06,159.92
159,20250322,110,284.95,274.06,269.95
160,20231206,766,210.17,184.46,219.15
161,20250809,659,165.56,145.61,151.25
162,20240131,20,54.98,53.9,56.75
163,20231220,105,380.19,346.73,328.58
164,20240209,790,117.22,102.11,125.81
165,20260407,648,33.89,30.82,32.62
166,20240314,733,218.3,199.5,220.05
167,20230210,268,75.48,66.05,80.21
168,20250220,716,97.62,91.88,103.34
169,20240711,398,70.82,60.96,66.14
170,20251014,112,332.69,267.79,322.01
171,20251026,97,301.78,270.12,277.88
172,20230731,200,245.23,209.86,224.87
173,20240718,748,241.47,217.66,275.9
174,20230807,739,248.72,228.45,220.17
175,20260316,777,116.51,99.53,105.61
176,20250212,700,159.22,151.85,156.28
177,20240206,117,66.51,65.74,60.34
178,20260324,484,15.41,14.34,15.85
179,20230820,399,52.27,51.85,51.04
180,20230530,578,330.25,259.63,289.85
181,20230514,739,248.72,226.03,231.16
182,20251225,512,65.44,50.12,69.34
183,20240107,295,217.29,215.47,214.2
184,20240818,75,117.53,100.02,109.99
185,20240917,516,76.0,65.14,82.01
186,20251221,212,17.63,15.46,18.92
187,20240121,291,178.18,173.82,189.0
188,20230207,604,104.98,85.0,105.9
189,20240720,565,40.62,35.0,43.55
190,20250605,409,219.82,169.94,200.32
191,20230408,102,258.72,235.6,220.7
192,20240925,346,279.84,226.44,254.62
193,20240130,376,268.5,265.45,238.22
194,20241207,280,44.45,39.24,49.16
195,20250706,71,81.45,78.89,88.93
196,20240713,319,283.51,267.1,250.03
197,20240418,257,153.43,151.2,146.9
198,20240818,646,202.52,196.42,185.81
199,20250130,318,41.09,40.31,35.37
200,20241026,186,192.02,174.33,212.26
201,20251230,11,54.42,47.48,58.02
202,20241106,164,412.46,396.98,446.13
203,20250924,309,270.23,221.6,271.53
204,20251206,276,66.7,60.03,59.13
205,20230714,207,387.32,367.32,389.89
206,20230719,762,278.35,250.79,268.62
207,20230320,26,359.21,344.58,367.44
208,20241202,770,92.3,86.11,92.52
209,20250826,798,130.63,106.97,114.12
210,20230221,589,87.74,67.87,90.16
211,20250715,107,92.43,85.92,88.93
212,20250718,321,380.87,357.84,332.52
213,20230106,68,17.84,16.41,16.88
214,20240914,40,246.38,243.66,241.98
215,20240821,531,18.72,15.66,18.34
216,20250601,767,29.98,25.92,28.51
217,20251008,751,98.86,87.82,110.71
218,20230209,698,103.34,77.72,113.51
219,20241115,418,235.9,182.46,269.88
220,20241018,579,241.27,228.14,266.75
221,20250320,454,323.6,278.41,305.28
222,20251210,790,117.22,113.18,118.26
223,20231118,382,50.92,47.07,50.2
224,20241011,540,329.69,307.0,282.88
225,20230531,42,245.92,186.46,250.95
226,20231017,63,58.12,46.82,57.37
227,20240720,577,292.69,270.24,327.6
228,20260227,446,47.38,46.0,43.81
229,20231210,488,237.94,199.62,214.48
230,20240922,456,219.24,171.21,248.17
231,20260623,241,311.53,270.13,298.82
232,20231125,426,82.56,64.38,80.42
233,20260211,33,147.68,139.07,146.12
234,20231014,280,44.45,35.13,50.26
235,20240801,365,297.68,243.07,263.55
236,20230831,151,452.82,353.16,439.51
237,20230107,202,290.4,245.47,332.81
238,20240524,112,332.69,267.47,358.23
239,20230402,446,47.38,43.2,48.92
240,20230414,164,412.46,356.18,473.52
241,20231116,74,140.18,134.62,158.04
242,20240925,196,79.66,71.5,84.07
243,20240306,732,90.88,88.93,91.03
244,20231212,663,304.83,293.59,318.71
245,20260509,23,213.42,187.71,241.82
246,20240217,285,204.89,169.19,234.13
247,20250914,757,118.51,95.13,103.14
248,20260327,254,91.01,71.88,79.2
249,20231129,25,50.32,39.05,50.49
250,20230609,763,348.36,263.96,382.58
251,20250919,381,275.49,256.17,307.16
252,20250917,609,249.15,196.7,281.18
253,20240208,617,100.85,84.77,113.1
254,20231011,38,36.67,30.59,35.52
255,20250620,420,122.78,117.61,108.49
256,20241105,51,80.4,76.72,81.27
257,20241021,723,392.9,318.62,415.18
258,20250119,522,104.14,80.01,89.5
259,20230804,190,46.04,36.93,47.13
260,20230330,85,52.93,46.61,53.39
261,20250110,696,181.19,173.0,187.19
262,20230224,725,378.22,357.48,418.68
263,20231008,442,36.82,35.78,36.57
264,20230708,742,222.66,198.33,201.2
265,20250927,216,336.54,301.08,363.78
266,20230915,382,50.92,48.73,53.54
267,20240801,119,333.87,312.64,315.23
268,20241020,7,169.43,134.24,150.07
269,20230524,399,52.27,41.97,51.99
270,20240303,2,108.79,106.16,93.14
271,20260616,420,122.78,119.15,114.76
272,20240102,656,264.51,234.0,273.56
273,20240411,773,48.89,41.89,52.37
274,20240709,697,203.47,186.67,177.09
275,20241007,696,181.19,155.51,167.73
276,20241108,767,29.98,28.39,30.38
277,20240115,144,249.79,216.46,227.63
278,20251028,421,82.54,79.17,86.62
279,20240812,5,163.2,135.64,170.0
280,20240206,183,26.08,21.29,22.75
281,20240513,770,92.3,88.22,105.02
282,20240613,272,66.09,63.0,58.8
283,20240528,599,224.63,191.58,256.31
284,20250116,230,55.79,42.48,61.91
285,20250922,54,133.2,132.86,117.39
286,20240519,366,384.91,303.03,420.15
287,20230623,503,318.02,267.72,288.17
288,20240109,360,146.23,142.92,162.75
289,20230628,463,203.4,190.05,222.75
290,20230330,347,58.66,56.78,54.79
291,20230712,488,237.94,178.49,229.86
292,20230813,108,24.49,19.92,23.12
293,20240408,746,393.87,322.48,371.4
294,20250329,659,165.56,139.37,151.25
295,20260419,491,168.23,139.3,177.3
296,20230908,786,127.42,109.11,116.71
297,20230307,307,130.54,100.45,137.08
298,20230518,144,249.79,221.09,229.93
299,20230403,545,24.51,19.93,25.98
300,20241108,92,242.67,200.27,206.92
301,20241116,66,232.57,204.74,208.09
302,20230320,317,251.02,203.38,276.77
303,20260419,557,165.04,132.64,169.46
304,20240727,440,113.85,91.2,127.6
305,20250609,499,261.75,213.79,234.78
306,20240720,759,228.08,184.02,250.2
307,20250629,527,81.74,81.57,89.01
308,20260202,575,196.28,157.61,185.29
309,20240216,366,384.91,348.96,390.27
310,20251004,39,85.06,74.9,86.89
311,20240327,141,224.09,189.7,231.1
312,20230316,406,176.64,157.83,180.04
313,20241118,266,259.97,244.43,253.36
314,20240506,364,58.02,43.97,63.78
315,20241204,538,86.46,82.94,93.12
316,20240528,59,71.61,59.11,66.56
317,20230424,575,196.28,173.6,210.79
318,20260408,248,229.78,177.03,232.7
319,20250920,677,101.31,93.47,108.46
320,20240505,762,278.35,231.5,248.82
321,20260111,490,84.06,78.7,86.01
322,20240602,579,241.27,208.15,267.11
323,20250618,476,235.18,209.5,238.41
324,20231116,728,23.99,22.58,20.7
325,20240521,433,60.97,52.2,54.02
326,20250915,666,221.55,221.12,191.1
327,20240914,500,394.62,328.04,423.12
328,20230506,768,253.35,215.27,245.47
329,20240522,222,199.12,168.38,215.53
330,20241230,537,125.74,116.19,134.86
331,20260105,257,153.43,129.32,169.91
332,20260509,21,279.33,224.47,258.81
333,20250522,187,256.66,250.32,256.66
334,20240829,439,350.84,290.19,357.87
335,20250501,256,108.27,98.11,120.54
336,20230819,521,260.98,227.45,243.8
337,20251119,59,71.61,65.11,62.11
338,20260607,43,136.65,125.17,134.39
339,20250104,751,98.86,90.82,84.09
340,20230427,632,291.15,232.53,268.25
341,20240510,274,185.35,139.49,187.72
342,20250504,565,40.62,34.0,43.94
343,20240126,791,228.37,216.08,209.57
344,20240313,402,21.66,20.24,23.35
345,20230108,313,145.22,126.49,133.11
346,20240503,89,83.91,76.24,91.61
347,20260216,193,171.68,138.24,185.7
348,20250205,361,218.41,198.43,210.98
349,20260418,235,351.8,349.06,358.01
350,20231118,594,93.21,90.29,82.94
351,20230801,191,330.51,298.55,281.37
352,20231223,628,117.7,98.07,113.91
353,20240311,720,410.49,337.74,397.42
354,20241227,277,308.04,237.64,348.32
355,20260326,546,65.36,52.15,65.89
356,20250826,72,119.72,118.01,107.17
357,20250425,205,82.38,69.0,78.94
358,20241028,614,10.84,8.46,11.79
359,20230303,620,141.64,126.52,135.54
360,20241025,732,90.88,78.03,82.26
361,20250911,239,177.69,157.14,172.89
362,20240927,251,350.95,281.26,383.72
363,20230902,791,228.37,221.68,253.46
364,20240215,555,113.22,109.37,97.13
365,20240801,633,57.66,51.19,59.32
366,20251109,500,394.62,309.77,415.08
367,20250821,38,36.67,34.23,41.14
368,20230808,448,28.11,25.95,25.47
369,20230709,159,138.34,133.95,142.49
370,20260216,376,268.5,239.96,265.69
371,20251003,190,46.04,40.4,52.78
372,20240515,593,348.5,313.68,369.39
373,20250722,200,245.23,243.98,249.99
374,20240708,737,232.1,203.38,229.51
375,20241001,795,235.28,183.93,206.98
376,20251026,606,54.24,50.49,52.79
377,20240614,439,350.84,273.06,337.66
378,20250717,431,27.19,24.75,30.56
379,20250225,628,117.7,95.49,131.9
380,20230509,266,259.97,234.76,224.85
381,20240310,79,253.18,224.97,250.43
382,20241018,417,243.35,217.12,246.05
383,20260515,708,140.71,132.84,122.4
384,20231207,135,41.31,36.78,37.87
385,20260324,654,223.67,210.09,202.0
386,20260112,329,269.12,220.84,308.22
387,20230717,527,81.74,66.66,71.29
388,20230409,126,119.25,98.01,101.91
389,20230204,532,328.3,262.0,287.52
390,20250430,18,49.16,46.96,46.26
391,20241107,484,15.41,12.99,14.7
392,20240818,422,51.31,42.51,46.8
393,20250131,545,24.51,23.74,26.49
394,20230120,234,318.9,296.66,300.65
395,20260519,800,138.76,117.22,139.13
396,20250716,447,59.76,48.56,56.22
397,20251112,488,237.94,203.29,234.71
398,20230910,290,323.07,304.49,361.15
399,20230323,219,21.56,17.81,22.51
400,20230114,401,188.97,186.86,202.93
401,20231129,94,11.79,9.01,10.95
402,20240312,612,244.74,238.78,228.11
403,20260619,526,17.69,17.67,16.78
404,20240305,442,36.82,30.4,41.59
405,20230312,781,50.54,39.41,43.91
406,20250920,618,117.82,90.5,119.51
407,20230419,619,96.72,90.09,91.68
408,20240819,81,274.94,261.27,282.64
409,20230621,484,15.41,13.3,16.72
410,20260615,22,105.46,87.18,115.18
411,20251102,275,34.97,27.3,39.97
412,20250616,93,61.41,58.31,55.24
413,20250101,622,97.19,80.27,101.92
414,20260627,281,253.48,242.12,283.34
415,20250801,155,168.01,160.52,162.92
416,20230522,117,66.51,58.06,76.37
417,20241217,381,275.49,221.55,258.79
418,20250630,105,380.19,327.29,386.88
419,20230314,459,41.78,40.04,36.23
420,20230111,141,224.09,185.79,228.52
421,20230410,670,228.6,171.68,249.57
422,20251101,189,205.54,199.99,195.13
423,20240529,151,452.82,374.13,503.28
424,20250606,158,81.27,63.56,77.67
425,20241230,48,76.9,60.81,70.36
426,20240807,336,366.26,339.82,362.55
427,20250720,340,256.97,206.9,269.45
428,20230523,90,228.46,204.12,227.64
429,20260126,328,77.81,67.29,72.66
430,20241114,306,267.41,252.01,254.73
431,20241227,470,186.23,182.19,184.04
432,20230412,652,164.75,149.68,151.26
433,20250814,76,227.03,187.76,218.81
434,20230925,469,161.37,149.43,177.79
435,20240508,53,274.33,211.59,292.67
436,20240622,157,17.11,16.34,17.35
437,20230107,18,49.16,44.37,53.31
438,20230327,23,213.42,181.34,182.95
439,20230320,98,316.05,272.23,277.1
440,20240725,375,46.16,35.84,42.56
441,20250108,584,303.45,297.13,277.49
442,20240404,73,219.47,218.32,235.89
443,20230528,323,221.18,188.19,236.45
444,20240803,310,71.17,62.0,79.19
445,20230907,601,17.49,16.91,16.28
446,20240817,177,72.58,56.34,64.0
447,20240112,207,387.32,323.57,399.32
448,20231101,773,48.89,37.75,52.04
449,20250309,169,80.84,77.49,80.66
450,20241201,482,74.27,58.54,67.7
451,20230424,700,159.22,150.94,164.33
452,20240217,134,299.61,274.76,284.98
453,20260220,161,202.52,177.3,203.08
454,20240815,505,143.55,109.21,141.54
455,20260202,139,382.89,341.43,421.31
456,20230908,34,218.67,211.48,189.25
457,20250507,629,217.61,215.46,199.36
458,20260407,578,330.25,290.44,347.06
459,20230418,393,22.43,22.23,22.61
460,20230908,119,333.87,284.29,378.61
461,20250406,67,220.55,203.87,215.49
462,20260623,305,183.32,168.71,168.85
463,20250118,267,142.28,123.19,138.39
464,20250910,288,29.26,28.4,33.44
465,20240219,481,267.97,248.16,261.04
466,20231024,448,28.11,26.09,24.76
467,20241124,756,394.25,375.3,420.96
468,20250909,677,101.31,88.81,91.61
469,20230623,702,260.54,197.16,299.51
470,20230625,729,357.03,353.55,390.56
471,20250726,712,117.99,95.52,114.52
472,20240325,209,254.65,250.49,241.48
473,20230226,511,114.7,86.89,117.81
474,20250612,303,105.17,90.89,99.29
475,20240718,208,194.43,187.94,209.33
476,20241125,512,65.44,62.57,70.23
477,20250930,741,212.39,169.61,203.4
478,20240920,640,151.16,124.07,155.12
479,20250215,83,12.62,10.79,11.59
480,20240210,709,35.68,31.62,35.74
481,20230823,742,222.66,186.57,200.82
482,20250501,345,274.13,242.4,284.54
483,20241204,694,65.85,63.3,57.03
484,20260322,503,318.02,302.59,287.36
485,20260129,396,167.37,138.78,191.25
486,20241018,53,274.33,221.45,251.78
487,20260322,260,283.2,221.4,264.08
488,20240114,742,222.66,200.83,231.8
489,20230807,598,111.7,110.92,127.48
490,20251207,509,90.19,74.57,85.02
491,20240329,686,193.71,178.42,201.38
492,20241214,275,34.97,27.76,34.86
493,20240920,256,108.27,97.78,114.12
494,20260325,31,281.2,265.0,300.95
495,20250923,657,207.96,170.15,185.97
496,20241006,565,40.62,35.41,41.77
497,20230319,603,228.34,171.41,237.44
498,20251110,740,239.3,190.98,268.2
499,20240615,142,258.94,236.63,254.06
500,20231017,313,145.22,119.65,124.76
501,20230226,330,288.16,268.52,316.57
502,20240812,590,66.24,55.31,58.51
503,20240530,370,263.18,237.22,297.29
504,20230915,91,191.54,190.46,191.16
505,20230604,625,408.43,366.31,365.32
506,20250507,417,243.35,186.52,229.52
507,20240922,527,81.74,77.48,77.86
508,20230208,698,103.34,102.48,88.58
509,20240403,505,143.55,107.86,128.68
510,20231220,8,211.32,175.17,224.74
511,20251005,751,98.86,96.4,94.03
512,20260326,288,29.26,25.15,26.73
513,20240722,615,107.87,84.12,123.48
514,20260223,180,25.06,24.89,26.78
515,20230207,108,24.49,20.13,23.66
516,20230705,761,403.08,384.21,375.52
517,20250819,238,232.61,189.21,219.95
518,20260127,443,376.23,336.36,410.33
519,20230726,343,17.55,14.91,15.18
520,20230516,638,35.51,31.48,37.08
521,20251205,557,165.04,152.05,179.91
522,20231130,516,76.0,62.09,83.87
523,20260318,329,269.12,221.21,300.86
524,20250930,483,167.82,165.85,148.08
525,20230902,656,264.51,215.26,252.21
526,20230713,477,253.44,215.35,263.26
527,20240918,284,15.97,13.14,15.67
528,20230108,442,36.82,32.33,39.03
529,20260613,175,303.57,244.01,329.5
530,20241128,624,21.67,16.99,22.69
531,20230916,485,125.2,116.35,116.43
532,20250626,30,325.32,267.99,361.92
533,20251109,334,266.65,232.64,237.95
534,20250608,299,12.05,9.19,13.42
535,20240703,269,15.66,13.47,15.09
536,20250215,800,138.76,115.83,120.35
537,20250408,307,130.54,102.45,145.38
538,20251011,401,188.97,160.2,171.64
539,20260215,780,78.04,61.69,66.76
540,20230430,123,122.98,96.1,123.26
541,20251108,314,241.0,198.82,267.11
542,20250620,241,311.53,272.67,351.01
543,20230530,421,82.54,67.42,90.56
544,20230302,375,46.16,38.76,50.56
545,20251006,547,393.46,369.37,449.92
546,20240303,453,159.04,124.32,143.72
547,20250808,137,17.94,17.2,15.42
548,20251217,365,297.68,244.83,332.0
549,20251016,474,285.61,217.95,256.11
550,20260102,257,153.43,151.59,130.6
551,20250313,487,35.77,30.58,36.91
552,20250107,330,288.16,254.87,285.29
553,20260319,151,452.82,433.73,389.53
554,20230813,548,210.49,183.06,224.12
555,20250109,593,348.5,293.06,306.04
556,20230404,128,41.76,41.72,44.38
557,20250625,768,253.35,242.07,286.45
558,20230525,478,272.96,208.84,255.36
559,20260606,767,29.98,28.91,27.36
560,20230811,543,164.16,161.89,187.48
561,20241118,606,54.24,41.16,59.52
562,20230831,271,181.82,153.25,171.87
563,20250808,66,232.57,226.45,248.36
564,20230528,381,275.49,274.77,314.63
565,20240216,7,169.43,167.74,165.25
566,20250206,721,249.16,213.44,276.5
567,20230930,445,236.18,235.48,246.17
568,20250606,449,22.61,17.99,24.66
569,20240130,577,292.69,274.28,312.13
570,20240706,43,136.65,124.72,134.82
571,20230219,675,310.72,272.95,342.21
572,20230306,507,266.28,232.39,259.7
573,20250430,360,146.23,140.48,134.78
574,20250504,673,423.99,332.24,387.54
575,20240203,190,46.04,34.88,47.25
576,20260630,773,48.89,43.01,48.19
577,20241115,552,211.79,163.22,228.5
578,20230504,756,394.25,373.85,356.19
579,20240823,384,52.49,52.26,53.39
580,20260116,624,21.67,18.69,19.6
581,20240305,7,169.43,166.48,193.04
582,20251019,107,92.43,85.53,104.36
583,20240331,90,228.46,187.74,214.47
584,20241017,349,300.82,273.3,293.26
585,20260115,186,192.02,188.98,180.34
586,20230503,412,57.85,47.62,62.54
587,20230818,20,54.98,48.13,52.67
588,20250830,581,46.45,43.31,43.65
589,20250909,768,253.35,210.42,226.95
590,20260629,150,107.86,85.1,121.41
591,20231027,504,24.53,22.32,26.13
592,20240126,234,318.9,262.1,361.18
593,20250326,449,22.61,20.31,22.15
594,20231030,486,204.27,164.76,182.5
595,20241214,700,159.22,126.45,135.79
596,20230519,129,285.77,243.72,266.37
597,20240628,9,228.25,216.58,194.86
598,20240507,169,80.84,78.54,83.61
599,20251031,480,425.68,366.57,390.23
600,20240114,632,291.15,286.89,277.88
601,20260111,294,364.34,279.38,416.84
602,20231030,631,266.82,204.59,243.09
603,20240917,319,283.51,260.38,275.13
604,20260308,169,80.84,76.45,79.18
605,20230827,144,249.79,224.74,218.18
606,20230614,375,46.16,36.73,52.67
607,20241118,52,21.14,17.97,22.13
608,20250726,58,31.75,24.07,35.48
609,20250526,239,177.69,174.61,185.21
610,20241225,673,423.99,365.75,362.48
611,20240116,579,241.27,195.96,277.22
612,20251215,317,251.02,227.22,283.06
613,20240930,398,70.82,64.7,66.5
614,20250924,635,53.49,51.27,46.55
615,20250615,785,272.2,238.96,245.5
616,20230304,760,321.52,319.21,363.14
617,20250412,383,55.74,47.41,59.62
618,20260601,326,267.52,208.67,238.47
619,20250606,334,266.65,212.59,300.88
620,20250329,390,259.85,214.86,229.74
621,20260226,232,283.79,239.2,279.49
622,20251220,11,54.42,51.17,59.85
623,20250608,103,169.4,131.06,154.23
624,20231015,150,107.86,103.08,108.92
625,20250818,759,228.08,192.39,231.61
626,20250115,245,129.45,106.81,117.04
627,20260326,628,117.7,115.02,108.47
628,20230406,321,380.87,370.64,370.66
629,20241202,707,225.72,204.99,228.57
630,20250806,649,267.48,243.08,284.86
631,20250912,718,216.02,194.74,202.81
632,20250324,519,54.14,45.82,56.31
633,20240511,739,248.72,230.07,278.97
634,20250731,508,358.96,288.13,403.73
635,20240116,778,248.68,246.52,227.64
636,20230701,254,91.01,88.45,98.6
637,20251101,788,168.35,164.53,143.54
638,20230904,789,412.97,337.02,455.03
639,20251230,389,13.99,11.23,12.72
640,20230612,370,263.18,203.33,226.38
641,20250705,677,101.31,100.97,93.39
642,20240315,299,12.05,12.0,11.43
643,20230713,20,54.98,54.17,59.14
644,20231021,543,164.16,123.49,186.28
645,20250224,618,117.82,115.35,115.72
646,20240519,719,73.37,65.84,74.21
647,20240830,294,364.34,319.21,310.59
648,20260213,798,130.63,126.45,142.2
649,20230507,717,37.49,31.82,34.57
650,20230906,446,47.38,43.09,45.97
651,20250618,534,111.77,84.88,114.85
652,20260209,380,239.62,194.21,252.77
653,20240615,381,275.49,228.0,309.99
654,20240406,559,55.12,46.43,62.74
655,20230405,617,100.85,92.42,105.45
656,20250918,488,237.94,185.36,202.62
657,20250616,457,60.47,60.13,67.41
658,20250907,382,50.92,38.66,50.44
659,20251022,238,232.61,230.16,241.21
660,20241215,77,218.69,171.35,199.16
661,20240507,274,185.35,163.04,194.75
662,20251108,480,425.68,398.95,438.87
663,20240423,396,167.37,153.85,165.13
664,20250916,591,113.73,102.66,98.72
665,20240917,577,292.69,221.33,270.23
666,20231121,647,184.7,177.02,211.69
667,20260531,573,146.12,132.92,167.6
668,20240101,445,236.18,215.48,254.93
669,20251023,280,44.45,34.18,49.51
670,20260325,529,73.96,73.33,83.57
671,20231211,438,40.99,31.69,44.5
672,20250404,784,112.95,95.27,96.43
673,20251017,531,18.72,14.31,20.44
674,20260622,394,159.79,136.6,161.17
675,20230606,715,170.39,163.1,192.93
676,20251021,245,129.45,106.98,125.52
677,20250919,387,66.08,64.0,61.62
678,20250928,569,318.86,243.98,317.1
679,20230626,520,361.69,271.68,352.21
680,20240804,385,85.79,82.41,75.47
681,20241009,503,318.02,280.57,359.16
682,20230425,169,80.84,66.76,79.16
683,20250911,142,258.94,246.66,273.19
684,20260531,189,205.54,204.77,205.09
685,20240413,376,268.5,223.84,246.2
686,20241114,737,232.1,189.66,222.12
687,20260621,135,41.31,32.13,35.99
688,20240112,303,105.17,86.38,115.05
689,20241011,572,96.08,77.56,95.27
690,20230522,414,196.54,164.72,208.23
691,20231014,199,127.18,122.01,119.22
692,20250508,320,204.9,169.14,193.83
693,20250826,699,65.91,60.41,61.45
694,20231009,751,98.86,85.81,94.95
695,20230920,222,199.12,194.01,223.46
696,20241213,455,34.92,31.76,32.26
