ReturnKey,DateKey,ProductKey,ReturnReason,ReturnUnits,ReturnValue
103,20250713,193,Defective/Not Working,1,171.68
104,20230421,550,Defective/Not Working,4,812.68
105,20251201,630,Late Delivery,3,1019.37
106,20231008,733,Better Price Found,3,654.9
107,20251115,231,Wrong Item Sent,4,761.56
108,20251028,15,Not as Described,2,359.96
109,20251205,241,Defective/Not Working,4,1246.12
110,20230604,546,Not as Described,4,261.44
111,20260209,161,Not as Described,4,810.08
112,20240713,333,Not as Described,2,631.6
113,20230915,364,Changed Mind,1,58.02
114,20251028,24,Changed Mind,1,126.6
115,20260324,401,Not as Described,2,377.94
116,20231012,283,Defective/Not Working,1,273.75
117,20240122,90,Changed Mind,1,228.46
118,20230404,265,Late Delivery,2,498.62
119,20230323,40,Better Price Found,3,739.14
120,20251022,185,Defective/Not Working,3,414.72
121,20250903,300,Better Price Found,2,188.4
122,20251205,176,Defective/Not Working,1,155.18
123,20241114,584,Wrong Item Sent,3,910.35
124,20250809,294,Not as Described,1,364.34
125,20240427,574,Defective/Not Working,1,292.71
126,20241005,77,No Longer Needed,3,656.07
127,20251117,422,Defective/Not Working,2,102.62
128,20240516,69,Better Price Found,1,201.68
129,20260614,654,Not as Described,3,671.01
130,20260301,293,Not as Described,2,847.52
131,20240521,770,Defective/Not Working,1,92.3
132,20250803,407,No Longer Needed,3,563.19
133,20240608,614,Better Price Found,3,32.52
134,20241006,719,Changed Mind,3,220.11
135,20250423,559,Wrong Item Sent,3,165.36
136,20250208,147,Late Delivery,2,107.96
137,20260509,690,Not as Described,1,128.51
138,20230811,490,No Longer Needed,2,168.12
139,20241029,720,Wrong Item Sent,1,410.49
140,20250703,776,Defective/Not Working,3,280.95
141,20240812,222,Changed Mind,2,398.24
142,20251225,219,Wrong Item Sent,4,86.24
143,20231121,733,Defective/Not Working,4,873.2
144,20260511,715,Defective/Not Working,4,681.56
145,20230824,119,Late Delivery,4,1335.48
146,20230304,488,Wrong Item Sent,4,951.76
147,20230710,590,Changed Mind,3,198.72
148,20240925,766,No Longer Needed,3,630.51
149,20260429,528,Changed Mind,4,1462.24
150,20240113,187,Changed Mind,1,256.66
151,20241218,108,Wrong Item Sent,3,73.47
152,20251223,141,Better Price Found,4,896.36
153,20231113,534,Defective/Not Working,1,111.77
154,20230919,769,Not as Described,1,93.19
155,20250521,748,Defective/Not Working,1,241.47
156,20240703,791,Defective/Not Working,3,685.11
157,20240324,277,Better Price Found,1,308.04
158,20250219,279,Wrong Item Sent,4,1187.96
159,20230521,753,Defective/Not Working,3,918.54
160,20231210,646,Changed Mind,3,607.56
161,20250331,571,Not as Described,4,1278.84
162,20231214,611,Not as Described,1,119.6
163,20240803,768,Better Price Found,1,253.35
164,20251130,84,Not as Described,4,295.84
165,20260514,631,Late Delivery,3,800.46
166,20250613,288,Late Delivery,2,58.52
167,20240122,346,Wrong Item Sent,3,839.52
168,20250202,665,Late Delivery,1,406.18
169,20240814,436,Not as Described,4,1253.56
170,20240324,183,Not as Described,2,52.16
171,20250929,772,No Longer Needed,2,545.78
172,20240215,501,Late Delivery,4,669.12
173,20251218,99,Changed Mind,4,1455.24
174,20250128,591,Better Price Found,1,113.73
175,20250520,123,Defective/Not Working,3,368.94
176,20250404,95,Changed Mind,3,229.29
177,20240215,76,Defective/Not Working,1,227.03
178,20240910,274,Late Delivery,4,741.4
179,20251216,314,Changed Mind,2,482.0
180,20240117,34,Not as Described,4,874.68
181,20260113,635,Defective/Not Working,4,213.96
182,20251215,657,Defective/Not Working,2,415.92
183,20260304,33,No Longer Needed,3,443.04
184,20260506,90,Not as Described,3,685.38
185,20250624,22,Wrong Item Sent,2,210.92
186,20251105,254,Defective/Not Working,3,273.03
187,20250810,699,Changed Mind,1,65.91
188,20230429,677,Defective/Not Working,1,101.31
189,20251023,227,Defective/Not Working,4,1170.48
190,20230613,468,Not as Described,3,1062.87
191,20251205,443,Defective/Not Working,3,1128.69
192,20250123,81,Late Delivery,2,549.88
193,20250915,488,Changed Mind,2,475.88
194,20230407,362,No Longer Needed,2,685.4
195,20250608,197,Late Delivery,3,452.91
196,20260410,432,Not as Described,3,807.06
197,20241022,462,Better Price Found,2,441.24
198,20231116,169,Defective/Not Working,3,242.52
199,20250525,645,No Longer Needed,3,778.71
200,20250512,238,Better Price Found,1,232.61
201,20240725,614,Better Price Found,2,21.68
202,20241218,250,Changed Mind,3,670.86
203,20250909,430,Wrong Item Sent,2,193.84
204,20260207,122,Not as Described,1,193.32
205,20260427,208,No Longer Needed,1,194.43
206,20250221,441,Not as Described,1,334.72
207,20240919,155,Defective/Not Working,3,504.03
208,20260127,208,Defective/Not Working,2,388.86
209,20230316,311,Changed Mind,3,1081.5
210,20250624,189,No Longer Needed,1,205.54
211,20260426,705,No Longer Needed,2,479.38
212,20260305,439,No Longer Needed,2,701.68
213,20230618,232,No Longer Needed,4,1135.16
214,20241007,308,Changed Mind,2,554.7
215,20240723,494,No Longer Needed,4,1522.0
216,20260306,590,Wrong Item Sent,3,198.72
217,20230313,533,Defective/Not Working,1,169.61
218,20260517,575,Changed Mind,1,196.28
219,20230302,103,Wrong Item Sent,3,508.2
220,20240130,4,Better Price Found,3,838.62
221,20230626,611,Defective/Not Working,4,478.4
222,20260612,740,Better Price Found,1,239.3
223,20230727,431,No Longer Needed,3,81.57
224,20260131,396,Changed Mind,3,502.11
225,20251212,208,Wrong Item Sent,3,583.29
226,20230328,409,Wrong Item Sent,1,219.82
227,20241201,404,Defective/Not Working,1,249.7
228,20240804,592,Defective/Not Working,4,714.84
229,20231003,2,Not as Described,3,326.37
230,20251107,443,Defective/Not Working,1,376.23
231,20251014,99,Changed Mind,2,727.62
232,20250429,732,Not as Described,1,90.88
233,20230514,653,Wrong Item Sent,2,420.1
234,20240722,273,Defective/Not Working,1,176.31
235,20241023,286,Better Price Found,4,1270.68
236,20231027,315,Wrong Item Sent,3,888.63
237,20241218,422,Not as Described,1,51.31
238,20250222,286,Late Delivery,1,317.67
239,20240128,509,Late Delivery,3,270.57
240,20250121,524,Changed Mind,3,392.64
241,20250521,611,Wrong Item Sent,2,239.2
242,20260112,444,Changed Mind,1,271.47
243,20231217,110,Changed Mind,1,284.95
244,20240120,16,Not as Described,3,365.76
245,20260504,555,Wrong Item Sent,1,113.22
246,20240911,667,Changed Mind,2,213.86
247,20260118,789,Defective/Not Working,2,825.94
248,20250711,222,Not as Described,2,398.24
249,20251017,121,Wrong Item Sent,3,896.46
250,20231124,785,Better Price Found,2,544.4
251,20240215,409,Defective/Not Working,2,439.64
252,20250313,250,Changed Mind,3,670.86
253,20250922,74,Not as Described,3,420.54
254,20240104,783,Late Delivery,2,508.02
255,20230509,19,Defective/Not Working,1,252.36
256,20241009,507,Wrong Item Sent,2,532.56
257,20231015,562,Defective/Not Working,3,566.31
258,20240630,174,Late Delivery,4,833.64
259,20240125,332,Defective/Not Working,3,364.83
260,20240312,67,Defective/Not Working,2,441.1
261,20240716,368,Better Price Found,1,122.52
262,20240805,196,Not as Described,3,238.98
263,20241027,81,Changed Mind,4,1099.76
264,20260410,27,Better Price Found,1,110.98
265,20250618,148,Not as Described,4,105.48
266,20241110,260,Defective/Not Working,4,1132.8
267,20251130,732,Defective/Not Working,1,90.88
268,20241009,594,Changed Mind,4,372.84
269,20240826,666,Not as Described,4,886.2
270,20240324,87,Late Delivery,4,816.6
271,20250124,340,Better Price Found,1,256.97
272,20231201,459,Changed Mind,4,167.12
273,20250628,547,No Longer Needed,4,1573.84
274,20250324,252,Late Delivery,3,78.15
275,20251019,566,Changed Mind,2,168.6
276,20230907,655,Late Delivery,1,70.94
277,20231025,360,Changed Mind,3,438.69
278,20250121,230,Changed Mind,3,167.37
279,20230105,248,No Longer Needed,1,229.78
280,20250610,201,Better Price Found,1,178.89
281,20231003,603,Late Delivery,4,913.36
282,20240119,21,Not as Described,2,558.66
283,20260330,326,Not as Described,2,535.04
284,20240309,100,Better Price Found,4,254.84
285,20230820,91,No Longer Needed,2,383.08
286,20250629,468,Changed Mind,1,354.29
287,20260111,789,Wrong Item Sent,1,412.97
288,20230403,122,Defective/Not Working,2,386.64
289,20260507,439,Defective/Not Working,3,1052.52
290,20240322,102,Changed Mind,4,1034.88
291,20260107,731,Better Price Found,3,1276.38
292,20230914,242,Wrong Item Sent,1,171.67
293,20230924,123,Not as Described,2,245.96
294,20260526,201,Wrong Item Sent,4,715.56
295,20241225,89,Changed Mind,3,251.73
296,20241202,184,Defective/Not Working,2,611.86
297,20250620,615,Changed Mind,3,323.61
298,20260227,285,Changed Mind,4,819.56
299,20260118,63,No Longer Needed,2,116.24
300,20260609,129,Not as Described,1,285.77
301,20230107,631,Wrong Item Sent,1,266.82
302,20250112,758,Not as Described,3,1045.5
303,20230801,653,No Longer Needed,1,210.05
304,20260507,177,Changed Mind,4,290.32
305,20230617,26,Late Delivery,3,1077.63
306,20251124,431,Late Delivery,2,54.38
307,20230721,545,Defective/Not Working,1,24.51
308,20240423,300,Not as Described,2,188.4
309,20251018,190,Changed Mind,4,184.16
310,20240106,374,Late Delivery,2,660.96
311,20240531,418,Defective/Not Working,1,235.9
312,20240404,263,Wrong Item Sent,3,262.29
313,20240918,460,No Longer Needed,2,168.34
314,20260107,86,No Longer Needed,2,23.98
315,20240709,167,Wrong Item Sent,1,236.05
316,20231019,42,Late Delivery,4,983.68
317,20240430,291,Defective/Not Working,4,712.72
318,20250401,7,Not as Described,2,338.86
319,20240729,568,Wrong Item Sent,4,110.24
320,20250314,562,No Longer Needed,1,188.77
321,20260309,96,No Longer Needed,4,819.4
322,20240908,405,Defective/Not Working,1,234.96
323,20250817,258,Changed Mind,3,90.39
324,20240218,760,Wrong Item Sent,1,321.52
325,20251104,232,Wrong Item Sent,3,851.37
326,20240730,579,Changed Mind,1,241.27
327,20231020,400,Not as Described,2,359.86
328,20231127,323,Changed Mind,4,884.72
329,20251222,236,Defective/Not Working,4,1521.32
330,20230809,329,Not as Described,2,538.24
331,20230601,528,No Longer Needed,1,365.56
332,20260324,287,Wrong Item Sent,1,248.3
333,20260328,561,Defective/Not Working,3,669.45
334,20250327,43,Not as Described,2,273.3
335,20260210,379,Not as Described,3,918.78
336,20230603,60,No Longer Needed,1,69.61
337,20231120,727,Defective/Not Working,4,119.72
338,20250120,104,Not as Described,2,317.02
339,20250407,224,Changed Mind,4,820.48
340,20230425,530,Wrong Item Sent,3,717.06
341,20240204,198,Not as Described,1,61.79
342,20250125,366,Defective/Not Working,2,769.82
343,20260608,177,Defective/Not Working,2,145.16
344,20230712,657,Not as Described,2,415.92
345,20240214,768,Not as Described,2,506.7
346,20241022,617,Wrong Item Sent,1,100.85
347,20241006,1,Changed Mind,1,128.02
348,20250726,354,Changed Mind,2,471.98
349,20241107,536,Changed Mind,1,232.15
350,20231204,304,Not as Described,2,144.0
351,20240722,169,Defective/Not Working,4,323.36
352,20241208,7,Changed Mind,3,508.29
353,20230808,442,Wrong Item Sent,3,110.46
354,20260611,207,Not as Described,1,387.32
355,20230422,20,Late Delivery,4,219.92
356,20241211,337,No Longer Needed,4,1139.12
357,20251224,495,Late Delivery,2,42.46
358,20240826,258,Not as Described,1,30.13
359,20230914,557,Defective/Not Working,3,495.12
360,20240516,748,No Longer Needed,2,482.94
361,20230719,615,Changed Mind,4,431.48
362,20231017,701,Changed Mind,3,300.45
363,20231115,723,Defective/Not Working,1,392.9
364,20240919,244,Changed Mind,1,357.61
365,20250907,83,Late Delivery,2,25.24
366,20231019,199,Not as Described,3,381.54
367,20240906,261,No Longer Needed,1,212.23
368,20230105,705,Defective/Not Working,1,239.69
369,20240516,752,Better Price Found,3,250.62
370,20260213,340,Better Price Found,1,256.97
371,20241227,670,Not as Described,2,457.2
372,20240305,294,No Longer Needed,3,1093.02
373,20240303,790,Not as Described,3,351.66
374,20250314,605,Changed Mind,3,484.5
375,20241124,616,Defective/Not Working,4,1112.16
376,20260118,402,Changed Mind,3,64.98
377,20250428,380,Late Delivery,2,479.24
378,20240803,252,Changed Mind,1,26.05
379,20250226,109,Changed Mind,1,374.56
380,20230820,672,Late Delivery,3,319.62
381,20230624,180,Changed Mind,2,50.12
382,20230110,74,Defective/Not Working,2,280.36
383,20260313,11,Not as Described,3,163.26
384,20250428,132,Changed Mind,3,348.54
385,20240206,191,Defective/Not Working,2,661.02
386,20240117,699,Wrong Item Sent,3,197.73
387,20240224,776,Defective/Not Working,4,374.6
388,20230621,527,Changed Mind,4,326.96
389,20260221,346,Defective/Not Working,2,559.68
390,20240902,204,Defective/Not Working,3,411.93
391,20260309,180,Wrong Item Sent,4,100.24
392,20250904,418,Not as Described,1,235.9
393,20240901,426,Not as Described,2,165.12
394,20260414,400,Wrong Item Sent,1,179.93
395,20240119,777,Wrong Item Sent,1,116.51
396,20250725,734,Defective/Not Working,2,73.02
397,20260302,621,Changed Mind,2,476.42
398,20250110,379,Defective/Not Working,2,612.52
399,20230108,460,Changed Mind,1,84.17
400,20240529,628,Wrong Item Sent,3,353.1
401,20230814,698,Changed Mind,1,103.34
402,20241028,540,Late Delivery,4,1318.76
403,20251223,477,Defective/Not Working,2,506.88
404,20240826,520,Wrong Item Sent,1,361.69
405,20260617,524,Not as Described,4,523.52
406,20240111,400,Better Price Found,3,539.79
407,20240406,711,Wrong Item Sent,4,357.4
408,20250510,347,Changed Mind,2,117.32
409,20251107,301,Wrong Item Sent,2,483.6
410,20260617,708,Defective/Not Working,2,281.42
411,20240229,35,Late Delivery,1,16.22
412,20240403,497,Not as Described,1,311.63
413,20230908,227,Late Delivery,1,292.62
414,20260331,410,Defective/Not Working,2,188.64
415,20230512,485,Not as Described,1,125.2
416,20240821,247,Defective/Not Working,4,464.44
417,20240210,106,Not as Described,3,240.42
418,20230622,504,Defective/Not Working,1,24.53
419,20250407,540,Late Delivery,1,329.69
420,20250916,341,Changed Mind,2,107.64
421,20260103,201,Wrong Item Sent,4,715.56
422,20230821,313,Defective/Not Working,4,580.88
423,20240628,104,No Longer Needed,2,317.02
424,20260524,279,Not as Described,4,1187.96
425,20251027,774,Changed Mind,2,200.68
426,20251202,511,Changed Mind,3,344.1
427,20250721,85,Late Delivery,2,105.86
428,20260228,159,Wrong Item Sent,2,276.68
429,20260108,176,Better Price Found,3,465.54
430,20251104,444,Defective/Not Working,2,542.94
431,20260106,374,Changed Mind,3,991.44
432,20241219,488,Not as Described,2,475.88
433,20250723,634,No Longer Needed,4,528.4
434,20250602,121,No Longer Needed,3,896.46
435,20240501,42,Wrong Item Sent,4,983.68
436,20250727,639,Changed Mind,2,417.96
437,20230208,453,Defective/Not Working,4,636.16
438,20251022,47,Changed Mind,3,677.82
439,20260115,521,Changed Mind,2,521.96
440,20230119,118,Defective/Not Working,2,820.76
441,20240629,729,Defective/Not Working,4,1428.12
442,20251215,138,Defective/Not Working,1,287.07
443,20250721,567,Wrong Item Sent,4,895.68
444,20240505,663,Late Delivery,4,1219.32
445,20231124,492,No Longer Needed,2,202.56
446,20230613,123,Better Price Found,3,368.94
447,20250409,59,Not as Described,3,214.83
448,20250706,110,Late Delivery,2,569.9
449,20231107,460,Wrong Item Sent,2,168.34
450,20250304,735,Better Price Found,2,244.02
451,20240608,98,Not as Described,1,316.05
452,20260623,771,Defective/Not Working,4,350.88
453,20240914,76,Wrong Item Sent,2,454.06
454,20230129,77,Not as Described,3,656.07
455,20250207,239,Better Price Found,2,355.38
456,20251106,411,Not as Described,2,129.62
457,20260505,718,Wrong Item Sent,2,432.04
458,20230322,582,Defective/Not Working,2,838.38
459,20251011,313,Defective/Not Working,2,290.44
460,20240413,379,Wrong Item Sent,4,1225.04
461,20250219,242,Defective/Not Working,3,515.01
462,20230221,173,Changed Mind,2,705.58
463,20260314,51,Late Delivery,3,241.2
464,20260323,199,Better Price Found,3,381.54
465,20240505,434,Late Delivery,3,409.62
466,20251231,77,Defective/Not Working,4,874.76
467,20230330,18,No Longer Needed,2,98.32
468,20230423,91,Changed Mind,3,574.62
469,20251214,99,Wrong Item Sent,2,727.62
470,20241007,628,Not as Described,3,353.1
471,20260611,598,Late Delivery,2,223.4
472,20240504,426,Defective/Not Working,3,247.68
473,20230622,667,Defective/Not Working,4,427.72
474,20250329,278,No Longer Needed,4,1023.88
475,20241028,50,Not as Described,1,253.67
476,20230511,135,No Longer Needed,4,165.24
477,20231112,235,Not as Described,2,703.6
478,20230806,52,Changed Mind,2,42.28
479,20250421,781,Changed Mind,3,151.62
480,20250930,764,Better Price Found,2,76.34
481,20250708,547,Better Price Found,1,393.46
482,20230130,18,Changed Mind,4,196.64
483,20260419,614,Not as Described,4,43.36
484,20241207,148,Late Delivery,1,26.37
485,20260217,567,Wrong Item Sent,1,223.92
486,20251031,126,Defective/Not Working,1,119.25
487,20231011,205,No Longer Needed,2,164.76
488,20230131,72,Not as Described,3,359.16
489,20260318,680,Changed Mind,2,544.86
490,20240731,34,No Longer Needed,1,218.67
491,20230815,198,Defective/Not Working,4,247.16
492,20250208,749,Defective/Not Working,1,202.73
493,20241129,645,Changed Mind,4,1038.28
494,20240604,12,Wrong Item Sent,2,525.94
495,20250620,202,Changed Mind,4,1161.6
496,20240331,246,Changed Mind,1,289.83
497,20240701,409,Changed Mind,1,219.82
498,20251015,186,Changed Mind,1,192.02
499,20250428,42,Better Price Found,4,983.68
500,20230708,589,Better Price Found,4,350.96
501,20251206,549,No Longer Needed,4,467.96
502,20251003,569,Not as Described,1,318.86
503,20260625,386,No Longer Needed,4,736.68
504,20260111,600,Changed Mind,4,266.16
505,20230306,412,Wrong Item Sent,2,115.7
506,20260108,61,Changed Mind,2,18.0
507,20240703,344,Late Delivery,2,215.78
508,20230102,653,Not as Described,3,630.15
509,20240324,468,Late Delivery,1,354.29
510,20260125,577,Wrong Item Sent,3,878.07
511,20240618,409,Changed Mind,3,659.46
512,20250909,566,Not as Described,3,252.9
513,20240323,270,Defective/Not Working,2,295.84
514,20250523,699,Defective/Not Working,2,131.82
515,20230511,396,Better Price Found,2,334.74
516,20240625,8,Defective/Not Working,3,633.96
517,20241212,555,Defective/Not Working,3,339.66
518,20231220,364,Not as Described,1,58.02
519,20260524,291,Changed Mind,3,534.54
520,20241027,398,Defective/Not Working,4,283.28
521,20250829,244,Not as Described,1,357.61
522,20251010,388,Changed Mind,3,627.51
523,20230209,108,Late Delivery,1,24.49
524,20240309,106,No Longer Needed,1,80.14
525,20260605,798,Not as Described,1,130.63
526,20230412,82,Changed Mind,2,599.16
527,20230918,264,Changed Mind,1,10.22
528,20240304,766,Defective/Not Working,2,420.34
529,20230113,608,Late Delivery,2,206.32
530,20251025,4,No Longer Needed,4,1118.16
531,20231007,245,Late Delivery,3,388.35
532,20250319,21,Changed Mind,3,837.99
533,20240808,146,Wrong Item Sent,1,188.03
534,20260312,359,Changed Mind,4,627.04
535,20241029,212,Defective/Not Working,1,17.63
536,20260222,474,Defective/Not Working,4,1142.44
537,20260424,139,Defective/Not Working,4,1531.56
538,20240922,339,Late Delivery,1,147.7
539,20250104,392,Changed Mind,2,297.72
540,20260308,444,Late Delivery,1,271.47
541,20230424,124,Changed Mind,2,22.56
542,20251016,356,Defective/Not Working,1,128.43
543,20240917,71,Late Delivery,4,325.8
544,20250105,468,Defective/Not Working,3,1062.87
545,20260507,425,Changed Mind,2,311.46
546,20230826,203,Late Delivery,3,1073.82
547,20240714,741,Better Price Found,4,849.56
548,20251224,167,Changed Mind,1,236.05
549,20230601,707,Late Delivery,1,225.72
550,20250123,75,Changed Mind,1,117.53
551,20260501,230,Late Delivery,4,223.16
552,20240623,215,Not as Described,2,359.26
553,20240509,351,Wrong Item Sent,1,348.89
554,20240105,261,Not as Described,2,424.46
555,20240223,785,Not as Described,4,1088.8
556,20251203,300,No Longer Needed,3,282.6
557,20251017,235,Not as Described,1,351.8
558,20250221,2,Not as Described,1,108.79
559,20260226,778,Changed Mind,3,746.04
560,20241107,489,No Longer Needed,1,258.71
561,20230615,274,No Longer Needed,4,741.4
562,20231006,329,Changed Mind,2,538.24
563,20240612,60,Wrong Item Sent,3,208.83
564,20240812,120,Not as Described,4,749.68
565,20250613,250,Changed Mind,3,670.86
566,20260504,680,Changed Mind,2,544.86
567,20231208,518,Changed Mind,3,115.89
568,20230513,43,Not as Described,4,546.6
569,20250629,539,Late Delivery,4,1151.64
570,20240319,699,Better Price Found,3,197.73
571,20240611,744,Better Price Found,4,396.0
572,20250814,791,Changed Mind,1,228.37
573,20250805,283,Late Delivery,1,273.75
574,20240816,68,Changed Mind,3,53.52
575,20250523,296,Defective/Not Working,4,344.36
576,20240730,331,Late Delivery,4,1138.84
577,20241011,767,Changed Mind,2,59.96
578,20241211,407,No Longer Needed,3,563.19
579,20260413,296,No Longer Needed,2,172.18
580,20240624,528,Late Delivery,2,731.12
581,20241227,631,Not as Described,3,800.46
582,20250410,279,Defective/Not Working,2,593.98
583,20230131,302,Changed Mind,4,380.64
584,20230215,446,Late Delivery,4,189.52
585,20241124,170,No Longer Needed,4,1346.64
586,20230909,401,Better Price Found,2,377.94
587,20250314,309,Defective/Not Working,4,1080.92
588,20251202,666,Better Price Found,4,886.2
589,20230227,68,Changed Mind,1,17.84
590,20230827,546,Better Price Found,1,65.36
591,20240608,423,Late Delivery,2,52.38
592,20251007,263,Better Price Found,2,174.86
593,20250102,58,Wrong Item Sent,2,63.5
594,20250731,336,Late Delivery,3,1098.78
595,20240201,262,Changed Mind,4,951.36
596,20250814,633,Wrong Item Sent,1,57.66
597,20260607,295,Not as Described,1,217.29
598,20241005,485,Not as Described,2,250.4
599,20241203,531,Wrong Item Sent,3,56.16
600,20241101,442,Changed Mind,4,147.28
601,20230408,120,Changed Mind,4,749.68
602,20250210,204,Not as Described,4,549.24
603,20250831,414,Not as Described,2,393.08
604,20260129,270,Defective/Not Working,3,443.76
605,20251018,84,No Longer Needed,1,73.96
606,20231020,434,Changed Mind,2,273.08
607,20260225,27,No Longer Needed,4,443.92
608,20250807,534,Late Delivery,4,447.08
609,20250516,273,Better Price Found,4,705.24
610,20250205,29,Changed Mind,1,170.48
611,20231231,155,Changed Mind,4,672.04
612,20241216,625,Changed Mind,1,408.43
613,20240827,698,Late Delivery,1,103.34
614,20250719,584,Late Delivery,1,303.45
615,20250718,158,No Longer Needed,1,81.27
616,20250513,513,Not as Described,1,255.23
617,20250829,18,Late Delivery,3,147.48
618,20260406,607,Defective/Not Working,1,181.88
619,20230525,83,Changed Mind,4,50.48
620,20260116,58,Changed Mind,4,127.0
621,20240205,67,No Longer Needed,2,441.1
622,20231009,628,No Longer Needed,2,235.4
623,20240915,534,Not as Described,4,447.08
624,20240715,53,Changed Mind,2,548.66
625,20250427,215,Wrong Item Sent,2,359.26
626,20260506,300,Better Price Found,3,282.6
627,20240918,557,Changed Mind,2,330.08
628,20250627,23,Late Delivery,3,640.26
629,20250616,379,Defective/Not Working,1,306.26
630,20260120,154,Changed Mind,3,772.23
631,20240917,397,Defective/Not Working,1,149.6
632,20230913,377,Changed Mind,1,227.02
633,20240116,294,No Longer Needed,4,1457.36
634,20260411,134,Defective/Not Working,3,898.83
635,20260422,398,Better Price Found,2,141.64
636,20230323,662,Changed Mind,3,428.79
637,20230901,327,Not as Described,3,94.59
638,20250414,432,Better Price Found,3,807.06
639,20231105,659,Defective/Not Working,4,662.24
