TrafficKey,DateKey,ProductKey,RegionKey,PageViews,Sessions,GlanceViews,AddToCart,Orders
52,20251109,749,1,16,7,13,0,0
53,20230130,587,2,120,51,87,14,5
54,20260214,122,2,287,124,194,26,12
55,20230226,2,2,20,12,17,2,1
56,20250227,127,1,96,56,72,11,6
57,20250925,659,3,87,64,77,5,2
58,20250812,798,4,130,83,103,9,5
59,20260213,550,3,184,100,165,27,12
60,20230906,733,1,89,32,59,6,2
61,20250123,297,6,46,22,38,5,2
62,20260507,199,3,78,47,64,11,4
63,20240819,244,3,42,24,34,2,0
64,20231207,154,2,29,16,20,2,0
65,20240610,450,2,59,25,41,5,2
66,20260114,443,5,95,62,81,8,4
67,20250424,605,3,235,124,187,31,14
68,20241230,313,2,154,57,104,12,6
69,20240315,333,2,34,15,22,2,1
70,20230516,534,2,48,21,32,3,1
71,20230114,547,1,73,36,48,2,0
72,20240710,4,1,103,50,70,7,2
73,20240226,172,2,135,51,92,16,9
74,20260403,40,2,48,19,34,2,0
75,20250111,746,2,222,145,171,18,10
76,20240119,192,5,115,63,80,5,2
77,20260527,198,4,65,23,41,6,3
78,20230805,533,5,196,101,143,25,13
79,20230307,521,1,70,38,47,3,1
80,20240418,651,2,100,36,63,11,6
81,20240902,534,6,25,14,21,2,1
82,20230311,301,5,79,47,64,6,3
83,20240302,677,4,146,79,110,10,6
84,20231104,665,1,59,30,49,4,1
85,20260226,319,1,23,9,18,2,0
86,20260425,309,2,283,152,229,35,15
87,20240519,176,4,51,30,38,3,1
88,20241208,751,5,114,52,81,13,8
89,20231220,11,2,68,28,50,2,0
90,20240905,37,3,220,105,173,19,9
91,20230728,532,6,107,44,76,7,3
92,20231229,540,3,30,17,24,1,0
93,20230511,479,3,66,39,52,5,2
94,20250504,792,3,171,74,116,19,7
95,20260526,337,4,92,57,84,5,3
96,20231212,290,1,79,41,55,5,2
97,20260430,233,1,53,31,42,6,3
98,20250406,397,2,128,73,89,5,1
99,20250609,784,5,21,12,17,0,0
100,20250815,83,3,49,26,44,2,1
101,20230422,325,4,74,42,56,7,3
102,20230715,48,1,175,98,131,17,9
103,20230815,299,3,90,55,68,12,4
104,20230514,130,3,71,42,60,4,1
105,20240723,741,3,150,85,108,7,4
106,20240514,194,5,152,73,110,18,10
107,20250422,39,4,35,17,30,5,2
108,20250430,189,6,73,48,65,9,4
109,20251223,264,4,263,103,175,20,11
110,20260316,57,1,9,4,6,0,0
111,20231010,279,4,62,35,54,3,1
112,20250420,4,3,100,39,69,8,4
113,20251020,791,6,52,25,33,2,0
114,20260408,520,2,61,29,40,3,1
115,20250218,163,6,21,9,16,2,0
116,20240523,68,5,87,55,69,6,3
117,20240512,24,2,275,154,199,28,15
118,20240218,513,4,57,37,44,5,2
119,20241225,707,5,72,37,49,3,1
120,20250203,476,3,60,41,50,5,2
121,20251123,518,4,44,20,34,3,1
122,20250414,585,4,81,56,72,11,4
123,20250216,274,2,257,127,206,16,9
124,20250207,652,3,139,84,102,13,8
125,20250222,334,1,38,22,30,4,1
126,20231008,392,6,137,50,87,7,3
127,20230405,559,3,126,72,97,14,6
128,20230626,725,1,167,102,144,23,8
129,20230506,634,1,107,65,85,11,5
130,20241207,571,5,215,155,189,32,14
131,20240731,108,2,84,44,60,3,1
132,20251002,29,1,26,15,22,3,1
133,20230215,753,4,120,50,83,11,5
134,20250529,66,6,105,55,70,6,2
135,20240614,144,5,57,35,49,2,0
136,20250604,233,5,150,87,107,7,3
137,20240729,540,2,134,61,103,13,7
138,20240801,526,2,58,22,39,6,3
139,20251127,667,2,351,196,287,36,16
140,20230324,364,3,9,7,9,0,0
141,20260121,11,4,53,27,39,2,1
142,20231106,585,3,73,37,61,9,4
143,20240613,154,2,145,82,98,10,5
144,20260309,549,3,63,30,47,7,2
145,20231122,48,5,91,49,69,6,3
146,20250315,629,5,76,39,54,3,1
147,20251009,316,4,31,15,21,3,1
148,20230120,219,5,23,10,15,2,0
149,20240319,547,2,182,120,147,16,8
150,20230928,29,4,216,114,181,27,16
151,20240726,437,3,68,40,55,9,4
152,20250121,163,2,72,29,53,4,2
153,20241016,68,5,110,69,86,5,2
154,20240507,188,6,53,19,34,2,0
155,20251126,731,2,211,79,136,22,9
156,20250405,717,3,57,38,47,4,2
157,20230421,401,2,118,80,104,7,2
158,20230812,36,2,53,32,43,3,1
159,20260517,757,5,184,98,124,12,5
160,20230204,646,5,89,45,61,5,3
161,20240922,594,3,85,31,54,9,4
162,20260508,36,6,107,61,73,5,2
163,20251214,507,2,18,7,12,1,0
164,20230924,373,5,117,63,94,13,6
165,20230421,409,4,308,127,194,21,7
166,20250626,369,5,157,69,108,13,6
167,20250702,332,2,14,9,12,0,0
168,20260315,98,2,173,70,120,8,4
169,20250604,228,5,110,52,74,5,2
170,20230207,377,5,114,70,96,10,4
171,20251231,526,6,91,58,77,13,7
172,20240218,19,5,167,75,124,17,10
173,20240827,468,4,181,71,120,11,4
174,20240802,15,3,527,206,349,24,9
175,20231022,655,3,36,14,23,2,1
176,20250203,69,2,114,63,86,10,5
177,20230725,321,2,260,105,169,15,8
178,20260123,15,5,41,17,26,2,1
179,20230106,656,4,109,47,82,13,7
180,20251023,792,3,64,35,58,9,4
181,20260514,66,5,49,22,36,5,2
182,20250525,449,5,162,71,122,17,9
183,20230321,759,5,222,140,175,26,16
184,20240122,255,3,110,48,83,6,2
185,20250305,760,5,73,40,64,4,2
186,20240223,789,4,81,41,73,8,3
187,20250727,216,2,108,59,99,9,4
188,20240807,372,4,67,33,44,4,2
189,20240621,513,2,127,63,101,15,7
190,20250318,14,2,41,22,28,1,0
191,20241222,396,4,212,96,159,15,6
192,20240824,672,2,22,11,20,2,1
193,20231210,423,4,70,31,45,7,3
194,20240411,39,4,181,119,146,11,5
195,20251015,234,6,35,21,29,4,2
196,20250224,241,3,45,17,31,2,0
197,20250405,79,6,23,13,21,3,1
198,20251103,238,5,54,25,38,4,2
199,20250907,38,6,292,163,231,21,12
200,20240530,290,3,147,72,96,7,4
201,20231115,649,1,158,76,109,7,3
202,20240521,542,6,140,82,99,7,3
203,20251021,509,2,112,58,95,6,2
204,20230317,763,2,13,7,11,1,0
205,20230114,645,5,126,69,99,10,3
206,20230205,242,2,153,84,112,13,7
207,20260502,102,5,24,11,17,2,0
208,20231223,748,5,44,19,33,2,1
209,20230712,247,4,134,90,107,8,3
210,20250928,164,4,54,22,35,1,0
211,20230105,178,4,223,84,146,7,4
212,20250215,582,5,87,35,55,3,1
213,20260128,457,1,89,46,75,5,2
214,20260127,731,5,83,32,58,8,5
215,20250615,359,6,134,71,112,7,4
216,20240524,539,1,90,42,71,8,3
217,20251106,183,1,222,107,175,30,15
218,20250727,267,6,57,31,45,7,4
219,20230513,252,5,148,77,108,17,6
220,20241117,746,2,275,196,237,27,16
221,20240324,301,4,38,19,34,3,1
222,20230818,102,4,290,171,204,11,5
223,20250511,598,4,24,12,19,3,1
224,20250226,775,1,53,26,43,6,2
225,20241031,799,4,56,31,50,2,0
226,20230409,38,1,22,10,15,1,0
227,20240505,715,6,24,15,21,1,0
228,20240909,302,4,83,46,67,5,1
229,20230712,316,4,574,257,405,43,17
230,20240317,650,2,191,142,169,9,5
231,20250219,609,6,124,45,79,12,4
232,20240105,288,6,150,66,110,13,8
233,20260102,432,1,39,19,28,1,0
234,20240602,351,1,150,94,118,13,5
235,20230117,471,6,95,48,79,12,4
236,20230704,29,6,33,13,22,1,0
237,20251010,737,5,142,62,94,13,5
238,20230714,469,6,117,84,101,10,3
239,20250914,324,4,89,47,77,6,2
240,20230616,724,1,31,13,21,1,0
241,20250925,467,6,38,22,31,4,2
242,20230612,346,2,40,17,30,4,2
243,20241206,490,2,41,27,33,1,0
244,20240830,511,4,176,82,135,21,10
245,20230914,176,5,131,48,87,8,3
246,20231121,636,1,148,65,100,8,4
247,20241003,691,4,40,19,26,4,1
248,20250204,306,5,120,62,96,9,3
249,20240906,281,3,229,121,146,9,4
250,20251224,301,5,474,260,398,62,29
251,20260118,672,3,74,32,49,6,3
252,20250330,537,3,65,30,45,2,1
253,20230317,691,3,31,16,26,3,1
254,20240518,530,1,146,54,97,11,4
255,20240408,8,6,140,87,112,10,5
256,20240819,719,5,131,56,90,10,4
257,20240319,342,1,215,109,164,9,5
258,20250129,226,1,23,16,20,1,0
259,20231017,403,4,59,35,48,4,2
260,20240105,670,2,134,90,108,12,4
261,20230303,594,5,131,70,114,15,5
262,20260329,621,1,107,68,95,13,8
263,20241104,617,5,50,22,36,3,1
264,20230409,555,3,88,56,68,11,5
265,20231203,46,4,181,121,151,19,10
266,20240912,249,5,135,57,90,11,7
267,20250918,135,3,67,39,55,8,2
268,20260616,434,3,196,113,140,16,7
269,20230918,278,3,13,8,12,1,0
270,20240929,590,5,237,139,214,29,15
271,20230926,84,1,23,10,18,1,0
272,20240812,23,6,199,96,130,7,4
273,20230726,625,3,50,33,44,4,2
274,20230722,653,2,110,51,75,7,2
275,20251022,76,3,86,60,78,13,5
276,20240524,135,6,24,13,21,2,1
277,20241105,398,4,31,16,26,2,1
278,20230825,456,5,114,76,99,7,2
279,20230209,240,3,63,37,49,6,3
280,20240721,733,2,38,18,31,5,3
281,20240214,622,5,134,82,101,10,6
282,20260428,244,5,322,153,235,36,22
283,20251009,490,2,132,84,102,17,9
284,20230313,517,5,78,40,58,7,3
285,20251028,771,5,19,10,15,0,0
286,20260517,275,4,251,138,216,17,9
287,20250628,305,2,58,33,46,5,3
288,20230720,680,2,216,94,166,17,10
289,20260405,579,3,152,77,115,13,5
290,20240328,498,5,53,25,42,4,2
291,20230626,522,2,53,31,46,2,0
292,20240316,723,6,12,5,10,1,0
293,20230820,13,5,185,116,138,13,8
294,20260313,362,1,185,84,120,12,5
295,20230411,267,3,69,34,44,7,3
296,20250617,628,1,72,34,53,3,1
297,20240106,327,2,82,52,69,3,1
298,20230423,604,5,220,149,191,31,11
299,20250523,270,1,52,28,43,3,1
300,20240220,82,3,65,29,47,7,4
301,20241011,556,5,117,46,80,9,5
302,20230427,506,5,155,94,124,15,8
303,20251022,499,6,174,113,143,8,2
304,20260611,404,6,195,139,166,20,10
305,20250223,229,3,233,133,196,10,4
306,20230115,479,3,330,132,219,17,8
307,20260608,447,1,180,125,151,24,10
308,20240112,42,1,174,87,152,9,3
309,20231122,54,3,211,114,163,26,14
310,20260201,203,5,55,35,48,5,2
311,20230723,297,2,169,60,106,13,5
312,20250609,207,2,269,131,198,24,12
313,20250824,169,6,85,37,54,7,3
314,20250322,425,3,146,93,112,8,4
315,20230803,296,3,263,99,168,13,8
316,20241126,316,3,116,80,102,13,5
317,20241222,558,4,471,261,325,47,19
318,20241219,81,4,47,27,33,5,2
319,20230915,659,4,158,86,114,18,7
320,20241215,398,6,78,59,71,10,4
321,20230909,519,3,57,21,38,6,2
322,20230129,754,1,28,14,19,2,0
323,20240607,552,3,206,83,142,13,5
324,20251028,267,1,31,11,21,2,1
325,20240915,92,5,277,171,217,13,5
326,20251230,119,5,172,83,139,22,10
327,20230829,531,4,338,138,218,13,8
328,20230226,132,3,62,43,56,3,1
329,20231013,640,3,185,105,131,13,4
330,20230719,153,3,68,31,44,7,2
331,20240805,214,1,33,17,29,4,2
332,20251011,677,4,38,22,30,2,0
333,20230926,766,1,23,10,15,0,0
334,20230403,330,1,161,110,142,16,7
335,20230719,283,6,83,36,60,8,3
336,20231002,164,6,68,32,51,6,2
337,20260522,571,2,130,48,83,9,4
338,20231005,552,3,109,63,81,13,6
339,20250320,718,3,242,128,187,21,8
340,20230223,523,4,64,35,48,4,1
341,20230105,351,4,254,118,205,29,12
342,20260214,199,6,124,66,113,15,5
343,20260403,466,6,14,8,12,0,0
344,20231214,240,1,146,61,95,16,6
345,20250428,357,3,60,31,38,5,3
346,20250807,554,2,71,40,53,5,2
347,20240727,778,3,57,21,38,2,0
348,20240701,97,5,162,62,107,16,10
349,20240105,299,4,40,24,34,2,0
350,20260511,789,5,196,69,126,18,11
351,20250101,533,3,111,67,80,9,5
352,20230627,183,5,92,42,76,13,6
353,20240923,106,4,113,59,75,10,4
354,20250517,285,1,90,55,72,8,2
355,20230411,102,2,26,12,23,2,1
356,20241009,344,2,42,24,36,4,1
357,20241025,727,6,117,77,95,12,4
358,20260228,262,2,54,27,35,4,1
359,20250912,408,1,33,21,26,3,1
360,20250807,382,2,92,62,80,8,3
361,20230627,699,1,145,104,129,13,7
362,20231126,40,2,123,79,109,8,4
363,20250822,336,4,48,27,38,4,2
364,20260108,361,1,152,96,118,17,7
365,20250514,181,2,149,66,95,15,8
366,20260503,738,2,76,37,57,9,5
367,20250428,374,4,77,39,52,8,2
368,20240709,25,6,92,48,74,13,5
369,20230402,394,1,73,33,59,7,2
370,20241113,368,1,184,72,125,13,5
371,20240407,431,3,538,280,351,19,9
372,20231221,222,4,369,207,245,19,9
373,20250814,374,4,77,36,50,7,3
374,20250401,325,4,104,53,80,9,3
375,20230504,240,6,66,32,42,3,1
376,20230103,495,5,61,39,48,4,1
377,20230209,711,6,256,132,162,19,10
378,20240921,304,5,146,77,101,9,3
379,20240222,98,3,197,80,128,8,3
380,20251002,96,3,221,100,182,32,13
381,20240519,377,4,151,78,123,8,4
382,20260502,613,3,151,89,127,19,7
383,20230521,413,6,53,26,42,3,1
384,20240323,300,5,92,35,60,3,1
385,20260111,150,4,264,135,169,22,7
386,20260330,390,1,37,22,30,4,2
387,20241116,341,4,41,16,27,4,2
388,20251124,652,5,73,37,58,7,3
389,20241229,11,4,70,32,57,7,3
390,20240816,758,2,73,38,51,7,3
391,20230304,765,2,187,84,122,20,8
392,20230422,92,4,41,26,32,2,0
393,20241101,182,5,79,35,50,8,4
394,20230721,529,5,100,44,65,10,3
395,20241101,408,6,283,119,186,16,9
396,20231103,503,3,57,26,41,3,1
397,20250807,104,3,22,14,18,0,0
398,20240921,685,1,193,115,141,8,3
399,20260224,642,2,78,47,58,4,1
400,20240206,587,2,149,69,124,14,6
401,20260313,223,3,100,56,76,4,1
402,20230610,244,1,295,112,193,16,6
403,20240223,462,1,65,29,46,2,0
404,20241111,263,4,158,81,101,5,2
405,20230505,721,4,178,81,119,9,3
406,20251121,305,6,169,81,143,21,7
407,20230724,520,4,67,39,52,5,1
408,20260424,656,6,90,49,70,10,5
409,20240418,291,4,103,46,67,4,2
410,20241027,112,1,251,131,166,17,10
411,20241007,494,6,73,44,55,4,1
412,20241220,684,6,306,152,197,13,7
413,20260119,393,1,74,37,61,9,3
414,20240209,757,5,61,29,48,2,1
415,20230405,582,6,100,63,87,13,7
416,20260309,373,6,132,68,83,10,4
417,20240708,527,2,74,47,61,9,4
418,20230306,707,2,73,40,58,5,3
419,20250209,433,2,97,44,68,11,3
420,20240111,520,1,147,88,104,8,5
421,20251016,486,2,46,21,31,2,1
422,20250120,263,4,56,26,40,5,3
423,20260201,575,1,693,304,468,34,16
424,20241023,288,4,79,40,53,7,3
425,20260208,17,2,23,13,20,1,0
426,20250424,154,6,110,62,82,13,7
427,20230801,172,1,93,64,76,10,6
428,20240404,90,1,126,64,91,10,5
429,20260610,441,6,279,151,226,22,10
430,20250416,533,5,111,62,76,8,3
431,20250829,78,6,45,17,30,1,0
432,20240312,122,6,138,67,93,9,5
433,20240107,488,3,41,18,27,3,1
434,20231212,73,4,67,44,53,6,2
435,20230429,310,2,78,38,52,7,4
436,20250702,769,5,82,44,63,10,5
437,20260111,299,1,93,34,59,4,2
438,20250203,477,3,98,63,84,11,5
439,20250221,187,6,678,360,454,63,39
440,20230103,172,1,229,149,180,20,10
441,20250910,332,1,191,96,157,21,13
442,20231206,239,3,91,58,74,11,3
443,20231218,455,6,299,149,257,19,10
444,20230309,229,6,92,53,79,8,5
445,20240627,243,5,205,96,147,12,6
446,20260312,302,1,322,149,211,22,10
447,20251001,96,1,27,15,21,3,1
448,20250831,448,4,105,73,87,8,4
449,20251104,647,4,84,45,59,4,1
450,20240617,246,4,32,18,23,1,0
451,20251201,276,1,186,92,117,18,9
452,20260519,617,3,229,108,147,23,13
453,20260318,20,5,86,45,78,8,2
454,20260515,620,1,126,63,102,13,5
455,20250131,601,1,36,19,24,2,1
456,20230321,323,5,31,19,28,3,1
457,20250921,26,6,160,108,130,18,8
458,20250124,733,3,20,10,15,2,1
459,20230211,283,5,190,108,149,15,8
460,20251129,742,1,710,312,469,82,52
461,20251227,630,1,353,161,272,27,15
462,20241007,59,2,90,55,77,9,5
463,20241114,57,2,115,56,81,8,5
464,20230115,395,4,54,35,44,6,3
465,20251212,754,4,170,85,148,16,6
466,20240607,359,5,155,77,105,8,4
467,20250516,48,1,41,18,27,3,1
468,20250224,275,4,63,33,47,8,3
469,20240912,464,4,338,135,215,30,10
470,20240802,538,4,49,20,32,4,1
471,20230912,569,3,56,29,43,6,2
472,20230428,174,2,279,168,200,27,17
473,20230406,549,6,126,55,82,8,3
474,20250508,266,4,136,64,93,16,9
475,20231212,177,6,72,35,58,8,4
476,20240229,301,3,434,184,279,42,23
477,20250326,488,3,32,19,27,1,0
478,20250331,538,3,105,42,71,4,1
479,20240619,168,5,99,42,63,5,2
480,20250428,616,5,112,42,74,5,2
481,20250602,33,4,30,18,22,1,0
482,20250709,190,6,101,45,75,4,2
483,20240305,469,6,97,47,80,8,3
484,20240417,51,3,78,43,66,3,1
485,20260107,27,3,86,37,64,7,4
486,20251025,411,1,184,103,151,11,4
487,20240812,119,1,107,61,78,11,5
488,20231112,37,3,137,57,93,11,5
489,20230824,518,3,96,59,71,3,1
490,20241222,609,4,113,47,83,11,4
491,20260411,760,2,191,126,160,20,7
492,20230207,713,2,13,8,11,0,0
493,20250411,612,2,135,53,97,9,3
494,20260421,577,3,128,55,88,6,2
495,20230319,146,2,185,87,118,15,9
496,20250811,462,2,28,13,20,2,1
497,20231201,614,3,36,18,25,2,1
498,20231019,22,3,31,15,22,1,0
499,20241012,719,5,181,66,115,20,11
500,20250108,272,4,87,39,69,6,3
501,20250526,53,6,146,74,93,4,2
502,20240813,442,1,39,17,31,5,2
503,20230309,370,5,185,85,130,9,5
504,20230522,17,6,13,6,12,1,0
505,20250422,86,3,129,81,115,8,4
506,20230704,528,6,102,44,80,12,7
507,20230301,517,5,111,44,71,10,5
508,20250712,336,2,38,19,30,2,1
509,20240705,177,4,46,19,33,2,1
510,20250628,653,2,122,72,110,8,4
511,20250119,572,4,47,28,43,6,3
512,20250626,788,4,87,47,57,8,3
513,20240321,542,1,137,73,99,10,5
514,20260321,558,4,74,51,63,10,5
515,20250309,742,2,65,31,49,7,2
516,20230510,711,5,91,46,68,5,2
517,20241214,443,6,99,48,77,9,5
518,20240427,426,5,37,19,24,3,1
519,20230222,628,4,30,14,23,1,0
520,20240120,712,5,118,72,86,8,3
521,20240621,549,3,71,40,51,5,1
522,20260424,413,5,141,72,127,15,6
523,20250925,10,1,272,145,208,11,6
524,20230904,295,6,230,133,174,14,7
525,20231028,532,1,376,210,279,30,15
526,20250730,503,5,211,104,144,24,9
527,20250222,780,6,83,35,62,9,4
528,20250815,402,3,254,102,163,20,7
529,20230217,763,1,56,27,36,2,1
530,20260501,331,1,64,31,43,7,3
531,20250226,44,5,97,47,69,5,2
532,20230520,332,4,51,32,44,4,2
533,20241124,754,6,187,114,141,9,3
534,20230125,164,1,138,88,125,19,7
535,20231023,786,5,42,24,38,2,1
536,20250625,207,3,164,76,133,23,8
537,20240821,352,5,92,47,58,8,4
538,20241204,753,4,161,77,118,6,2
539,20240119,424,6,38,20,24,4,1
540,20230922,140,3,57,37,52,6,2
541,20250204,308,3,41,21,33,3,1
542,20260408,331,4,79,54,66,10,3
543,20260608,339,4,99,48,63,10,3
544,20230524,517,2,175,67,110,14,7
545,20260331,294,2,145,78,106,15,9
546,20251019,219,6,134,80,116,8,3
547,20251224,299,1,208,82,132,11,3
548,20250903,313,6,69,47,56,5,2
549,20260117,582,2,116,82,102,17,9
550,20250507,123,1,39,15,28,2,0
551,20251031,33,4,32,16,21,3,1
552,20241002,701,4,57,33,43,6,3
553,20251112,324,6,70,42,58,7,2
554,20240126,446,3,103,59,73,12,7
555,20240507,705,6,50,32,42,2,1
556,20231213,307,5,55,29,41,2,1
557,20260523,255,3,146,79,99,16,10
558,20230617,702,5,128,61,87,11,6
559,20250319,401,4,199,81,133,18,7
560,20250206,798,2,134,54,85,6,3
561,20231225,754,3,15,9,12,1,0
562,20230418,42,3,44,24,33,3,1
563,20240312,73,3,72,48,58,6,3
564,20250403,523,5,236,93,157,13,7
565,20260615,233,4,49,27,37,5,2
566,20230409,587,6,200,106,155,21,8
567,20250111,712,3,57,27,44,4,2
568,20250118,587,2,57,31,40,4,1
569,20250529,745,3,97,43,79,10,4
570,20231025,310,1,50,34,41,2,1
571,20260118,624,5,408,211,291,28,14
572,20250928,374,4,191,81,133,16,9
573,20250304,723,1,72,34,52,4,1
574,20251001,551,4,57,24,38,3,1
575,20230210,355,6,126,54,87,7,2
576,20241102,341,3,112,61,75,6,3
577,20230517,352,3,247,120,169,12,6
578,20240515,53,1,100,38,67,9,3
579,20230509,617,4,255,136,172,26,14
580,20250527,19,5,19,9,16,2,0
581,20250207,393,4,57,30,42,3,1
582,20241030,760,6,90,37,64,3,1
583,20230925,155,5,141,97,124,19,10
584,20240806,368,5,132,59,83,11,5
585,20240128,509,5,85,34,59,4,2
586,20231111,47,4,227,106,148,20,8
587,20250108,201,6,50,29,39,3,1
588,20241129,564,1,148,69,95,7,2
589,20251105,758,2,64,33,41,3,1
590,20240826,417,5,142,61,100,6,3
591,20260627,764,6,16,9,12,1,0
592,20240411,279,5,55,31,37,6,2
593,20250405,434,6,81,44,57,8,4
594,20250218,23,6,66,31,52,4,2
595,20240715,263,2,303,194,234,12,5
596,20250806,563,2,37,18,27,3,1
597,20241227,251,1,108,71,98,14,8
598,20241007,471,5,104,47,70,8,2
599,20260502,537,2,191,112,134,12,7
600,20250105,166,6,243,110,176,24,11
601,20240126,252,6,107,52,79,13,7
602,20230610,375,1,87,39,59,7,2
603,20230824,130,4,32,24,29,2,0
604,20260621,73,6,121,55,98,15,7
605,20230224,58,3,131,76,94,16,7
606,20250310,197,1,162,76,129,21,9
607,20250606,743,1,77,43,54,4,1
608,20240920,689,4,50,29,37,5,3
609,20240601,729,4,29,16,20,1,0
610,20251120,61,4,240,146,184,30,12
611,20230716,365,3,151,101,127,7,2
612,20241004,236,4,34,22,31,2,0
613,20241219,612,4,369,143,233,34,17
614,20251121,478,6,44,29,38,4,2
615,20230711,419,1,910,551,663,73,43
616,20260614,177,3,248,111,163,14,8
617,20250412,727,2,230,155,205,35,21
618,20250203,273,2,93,41,62,8,3
619,20230326,779,3,120,91,108,5,2
620,20230928,385,6,85,57,70,7,4
621,20230425,380,3,283,149,212,27,16
622,20260509,348,2,132,92,116,20,11
623,20260314,115,6,84,47,59,7,3
624,20250710,517,1,65,24,43,4,1
625,20260620,734,6,43,22,28,4,1
626,20240204,635,1,524,202,344,60,25
627,20250115,41,2,123,73,106,11,6
628,20260625,119,1,100,61,88,7,3
629,20240814,330,3,148,84,133,10,5
630,20250516,177,4,108,47,73,11,7
631,20260416,428,4,195,89,125,11,4
632,20250504,400,3,133,80,95,15,9
633,20240914,61,4,162,75,114,13,8
634,20241221,430,6,139,70,113,19,8
635,20240712,396,4,1365,625,889,145,93
636,20240730,564,1,97,50,73,9,5
637,20260528,625,6,118,54,84,14,7
638,20251208,683,5,155,58,99,6,2
639,20260102,574,5,46,23,34,1,0
640,20230202,238,5,134,78,106,14,7
641,20240308,497,6,88,36,57,9,5
642,20260425,348,1,29,13,19,3,1
643,20240823,398,4,172,98,127,7,4
644,20260224,64,4,118,59,85,14,6
645,20260111,53,1,35,15,28,3,1
646,20241202,310,2,73,38,61,4,2
647,20230313,617,5,99,51,84,10,4
648,20240504,244,6,80,38,68,3,1
649,20251113,531,6,181,69,121,21,11
650,20251207,345,6,106,65,86,12,7
651,20250523,304,1,159,71,118,19,9
652,20250302,438,4,129,84,114,15,7
653,20230220,394,5,125,75,89,5,3
654,20260605,254,5,54,22,39,5,1
655,20230813,315,5,74,48,58,3,1
656,20250622,502,4,81,43,57,6,2
657,20230628,257,1,71,36,45,6,3
658,20260103,275,1,334,186,222,28,9
659,20240802,711,3,103,55,67,6,3
660,20260418,668,1,30,14,25,4,2
661,20260310,571,1,171,91,122,18,9
662,20230118,702,3,169,92,110,18,10
663,20250803,759,2,306,167,226,26,12
664,20251012,680,5,35,22,31,1,0
665,20251113,729,6,61,43,52,4,1
666,20240514,498,4,290,145,187,27,12
667,20250429,432,6,120,49,76,12,4
668,20250822,453,1,133,87,113,8,5
669,20250510,421,3,116,79,100,9,4
670,20260208,197,1,155,80,105,11,4
671,20260117,744,4,159,74,111,9,5
672,20231130,16,1,590,327,436,68,25
673,20241116,346,6,80,28,52,5,1
674,20231119,573,2,83,49,69,8,5
675,20240427,684,5,84,46,57,7,2
676,20240108,412,3,186,118,149,9,5
677,20230524,762,6,109,55,97,6,2
678,20230604,760,2,147,62,99,12,4
679,20230521,303,2,99,51,74,6,3
680,20240619,758,1,107,65,89,8,4
681,20250806,360,1,130,47,82,7,3
682,20251013,653,2,75,35,61,9,5
683,20250127,657,4,11,5,10,1,0
684,20231018,710,5,206,134,178,31,13
685,20260407,233,6,126,85,113,6,2
686,20251221,175,1,168,105,145,12,5
687,20260621,197,5,101,46,64,3,1
688,20250501,330,6,157,84,115,19,6
689,20230421,723,5,162,78,138,21,9
690,20241130,240,2,148,70,119,6,3
691,20230608,453,6,120,63,84,12,6
692,20230626,785,4,52,33,40,2,1
693,20241004,318,6,346,191,235,34,22
694,20260506,284,5,85,45,62,5,2
