InventoryKey,DateKey,ProductKey,WarehouseKey,OnHandUnits,InTransitUnits,ReorderPoint,StockoutFlag,ML_IsAnomaly,ML_AnomalyScore
65,20241012,91,6,234,117,122,0,0,0.1328
66,20240814,104,2,196,180,107,0,0,0.1321
67,20260630,600,10,187,166,109,0,0,0.1412
68,20250430,579,6,119,55,34,0,0,0.0969
69,20230809,535,9,201,208,89,0,0,0.1178
70,20250414,634,10,60,85,65,0,0,0.1137
71,20240303,150,3,82,149,47,0,0,0.1147
72,20230403,38,9,97,47,95,0,0,0.1142
73,20231026,342,10,422,227,107,0,1,-0.0085
74,20240104,709,2,252,200,194,0,0,0.0446
75,20240122,94,8,57,5,140,0,0,0.0505
76,20241029,489,3,124,62,136,0,0,0.1286
77,20250104,21,6,285,237,24,0,1,-0.0058
78,20250621,61,8,43,122,140,0,0,0.1132
79,20250131,502,6,108,241,186,0,0,0.0505
80,20250615,414,1,65,135,99,0,0,0.1282
81,20251205,350,9,208,218,79,0,0,0.0964
82,20231006,742,2,98,206,102,0,0,0.1224
83,20241115,89,10,152,245,118,0,0,0.0798
84,20250321,67,7,0,17,84,1,0,0.036
85,20240715,489,1,0,87,33,1,0,0.0439
86,20230430,135,9,281,93,145,0,0,0.0957
87,20241201,522,6,228,227,51,0,0,0.074
88,20230518,657,4,654,7,72,0,1,-0.0963
89,20240705,511,3,119,232,183,0,0,0.0792
90,20240703,324,8,98,133,191,0,0,0.0925
91,20241214,239,8,137,27,151,0,0,0.1065
92,20260610,520,8,82,3,125,0,0,0.0628
93,20250228,567,8,12,68,172,1,0,0.0656
94,20230311,694,3,98,29,21,0,0,0.0265
95,20240518,721,3,139,236,152,0,0,0.0975
96,20240825,47,4,124,19,34,0,0,0.0624
97,20231208,514,7,187,180,54,0,0,0.1252
98,20240403,784,2,264,191,145,0,0,0.0966
99,20240416,455,2,126,4,70,0,0,0.0778
100,20251205,352,2,169,38,101,0,0,0.1268
101,20260610,778,8,108,245,195,0,0,0.0162
102,20241008,64,8,103,41,146,0,0,0.1058
103,20251119,715,8,176,173,42,0,0,0.1146
104,20260301,731,1,404,21,154,0,0,0.0011
105,20260616,497,9,248,112,156,0,0,0.112
106,20250130,29,5,102,117,30,0,0,0.0991
107,20230828,163,8,155,4,117,0,0,0.0812
108,20230428,435,7,76,245,196,0,0,0.0081
109,20260315,203,6,226,173,160,0,0,0.1109
110,20250128,752,7,167,201,76,0,0,0.1221
111,20260417,580,3,105,165,117,0,0,0.1412
112,20230114,1,9,146,163,103,0,0,0.1513
113,20230926,619,7,98,7,118,0,0,0.0722
114,20260605,455,5,241,197,50,0,0,0.0912
115,20230616,477,6,139,36,197,0,0,0.0552
116,20230623,267,2,178,133,193,0,0,0.0936
117,20240402,652,10,355,135,50,0,0,0.0502
118,20240128,69,8,158,165,177,0,0,0.1232
119,20251223,82,9,41,133,87,0,0,0.1104
120,20230301,672,1,231,132,64,0,0,0.1235
121,20240516,607,10,179,130,35,0,0,0.1131
122,20251207,220,7,128,126,87,0,0,0.1461
123,20250417,707,7,147,61,78,0,0,0.1318
124,20230716,466,8,121,160,104,0,0,0.1505
125,20231009,228,9,136,51,57,0,0,0.1237
126,20250321,240,8,100,33,79,0,0,0.1059
127,20240306,245,6,186,10,67,0,0,0.0824
128,20250812,524,8,0,167,116,1,0,0.0809
129,20240319,53,10,58,145,135,0,0,0.12
130,20240923,320,8,401,149,74,0,0,0.0309
131,20230612,393,5,38,172,43,0,0,0.084
132,20241110,50,5,0,204,182,1,0,0.0384
133,20250508,528,4,0,210,161,1,0,0.048
134,20250729,636,5,147,34,112,0,0,0.1222
135,20230820,515,1,380,5,77,0,1,-0.0075
136,20230127,672,5,107,31,115,0,0,0.1152
137,20230412,655,10,101,41,191,0,0,0.0665
138,20230320,434,1,18,162,93,0,0,0.0859
139,20240604,615,3,141,26,110,0,0,0.1133
140,20250315,519,5,253,96,156,0,0,0.1012
141,20240119,23,5,143,11,65,0,0,0.0862
142,20230411,767,2,153,166,66,0,0,0.1358
143,20250316,232,1,163,67,168,0,0,0.1268
144,20240726,548,7,350,224,184,0,0,0.0066
145,20260319,377,1,220,102,165,0,0,0.12
146,20231227,56,3,29,139,161,0,0,0.0965
147,20241219,105,3,160,83,33,0,0,0.1103
148,20250716,10,8,232,35,69,0,0,0.1019
149,20230919,668,4,87,199,131,0,0,0.1222
150,20240630,94,1,361,131,89,0,0,0.0592
151,20230127,96,9,163,19,135,0,0,0.1008
152,20240630,396,7,123,89,118,0,0,0.1421
153,20250205,711,7,148,97,80,0,0,0.1341
154,20230130,773,6,262,199,52,0,0,0.0844
155,20250903,69,3,23,163,84,0,0,0.0885
156,20240717,146,10,380,123,78,0,0,0.0456
157,20230102,363,7,248,181,120,0,0,0.1179
158,20260404,390,10,267,59,98,0,0,0.1029
159,20241214,377,7,160,97,22,0,0,0.0725
160,20231001,228,1,309,141,191,0,0,0.0478
161,20250506,132,6,196,0,116,0,0,0.0595
162,20260516,717,10,145,78,21,0,0,0.0647
163,20231020,450,6,64,126,146,0,0,0.1197
164,20231027,339,7,104,26,48,0,0,0.0848
165,20240730,444,8,23,145,62,0,0,0.0842
166,20260604,314,5,118,77,157,0,0,0.1244
167,20240814,323,3,343,55,193,0,0,0.0161
168,20250522,605,3,99,180,45,0,0,0.1085
169,20260114,591,2,155,222,113,0,0,0.1136
170,20230214,574,10,524,22,158,0,1,-0.0471
171,20251005,21,8,79,113,109,0,0,0.1316
172,20230116,103,7,65,18,133,0,0,0.0865
173,20240823,49,10,124,115,71,0,0,0.1377
174,20251013,11,2,73,37,171,0,0,0.0868
175,20250405,164,8,49,199,49,0,0,0.0785
176,20230506,449,1,274,22,60,0,0,0.058
177,20230221,524,4,0,96,40,1,0,0.0526
178,20240430,366,9,186,74,126,0,0,0.1402
179,20240114,40,1,85,77,180,0,0,0.1114
180,20230715,387,10,133,9,171,0,0,0.065
181,20230315,21,3,130,197,91,0,0,0.1258
182,20230414,200,5,107,142,60,0,0,0.1352
183,20241104,421,4,0,208,182,1,0,0.0371
184,20231126,409,5,82,128,27,0,0,0.0845
185,20260109,782,9,60,191,93,0,0,0.1099
186,20260307,53,1,77,240,101,0,0,0.0859
187,20230523,56,7,0,231,23,1,1,-0.0186
188,20240704,124,10,195,207,54,0,0,0.1103
189,20251201,213,2,43,130,100,0,0,0.1188
190,20240808,86,1,43,164,127,0,0,0.1145
191,20230915,302,5,60,159,64,0,0,0.112
192,20250130,284,3,147,25,88,0,0,0.1136
193,20241016,144,8,134,194,195,0,0,0.0727
194,20240126,786,5,196,164,32,0,0,0.1021
195,20260414,386,3,149,115,123,0,0,0.1496
196,20230419,378,4,257,66,181,0,0,0.0801
197,20230310,153,2,230,118,85,0,0,0.1299
198,20230421,241,9,120,3,84,0,0,0.0789
199,20250922,419,2,0,66,96,1,0,0.0709
200,20260308,677,6,189,142,194,0,0,0.0886
201,20260312,48,7,0,51,149,1,0,0.0582
202,20240414,556,3,413,14,59,0,1,-0.0231
203,20250115,773,1,218,239,39,0,0,0.0496
204,20250710,439,5,180,23,40,0,0,0.0757
205,20240125,366,8,123,183,64,0,0,0.126
206,20230328,662,3,330,231,57,0,0,0.0296
207,20230511,168,1,0,53,115,1,0,0.0688
208,20250308,135,8,271,235,37,0,0,0.0268
209,20250227,591,5,98,135,134,0,0,0.1406
210,20250906,715,2,49,169,137,0,0,0.1137
211,20241116,789,1,247,137,102,0,0,0.1272
212,20240619,297,10,0,183,40,1,0,0.0471
213,20230513,653,6,187,239,195,0,0,0.0262
214,20241116,293,5,128,0,86,0,0,0.0606
215,20250610,71,2,66,199,90,0,0,0.106
216,20231125,95,10,261,78,183,0,0,0.0793
217,20240112,387,6,136,171,54,0,0,0.1328
218,20260504,629,4,204,71,55,0,0,0.1165
219,20240612,104,5,166,27,190,0,0,0.0615
220,20251222,534,9,264,30,122,0,0,0.0852
221,20241123,90,8,0,56,79,1,0,0.0579
222,20241007,86,5,139,35,53,0,0,0.1137
223,20250405,433,2,244,200,66,0,0,0.0975
224,20230817,229,4,0,70,59,1,0,0.0636
225,20250109,453,3,248,176,118,0,0,0.119
226,20260505,437,4,118,101,43,0,0,0.1146
227,20240522,275,7,61,20,42,0,0,0.0618
228,20260313,761,7,252,155,177,0,0,0.0959
229,20250514,369,9,96,133,112,0,0,0.1315
230,20240403,113,2,217,169,103,0,0,0.1328
231,20260329,738,10,224,26,119,0,0,0.1022
232,20260314,254,10,356,54,134,0,0,0.0457
233,20241029,69,7,135,130,194,0,0,0.0942
234,20240225,112,5,0,112,135,1,0,0.0802
235,20240426,787,4,55,133,91,0,0,0.1187
236,20230914,555,8,207,228,151,0,0,0.0948
237,20230603,691,2,108,22,50,0,0,0.0828
238,20250925,546,5,150,76,103,0,0,0.1388
239,20230319,673,1,129,136,189,0,0,0.1101
240,20250321,537,9,209,7,135,0,0,0.0705
241,20250312,43,1,161,3,46,0,0,0.058
242,20250206,206,7,92,213,176,0,0,0.0975
243,20241230,93,9,42,83,141,0,0,0.105
244,20260306,326,10,176,168,37,0,0,0.1118
245,20240212,729,10,333,220,90,0,0,0.0509
246,20251129,738,4,206,5,108,0,0,0.0723
247,20250414,364,8,72,82,59,0,0,0.1155
248,20260414,231,9,108,89,63,0,0,0.1269
249,20231028,100,9,345,25,46,0,0,0.0161
250,20260311,651,2,191,182,195,0,0,0.0701
251,20260327,265,5,0,142,126,1,0,0.0765
252,20260111,391,8,75,42,141,0,0,0.1059
253,20251029,632,6,231,46,31,0,0,0.0736
254,20251018,306,1,32,56,32,0,0,0.0589
255,20240426,481,7,145,120,41,0,0,0.1232
256,20241208,258,3,96,106,23,0,0,0.0699
257,20230508,37,4,150,31,130,0,0,0.1223
258,20240923,62,5,46,109,173,0,0,0.1069
259,20260317,453,2,188,197,83,0,0,0.1209
260,20231217,138,1,289,105,193,0,0,0.0461
261,20240724,505,3,195,72,25,0,0,0.0742
262,20260119,571,2,97,3,45,0,0,0.0496
263,20230309,757,8,105,129,92,0,0,0.1391
264,20230725,640,3,162,171,47,0,0,0.1214
265,20240501,10,6,152,208,42,0,0,0.1046
266,20240818,13,8,130,59,108,0,0,0.1371
267,20240829,477,5,162,19,198,0,0,0.0301
268,20250810,307,7,90,215,130,0,0,0.1144
269,20260323,762,8,123,197,77,0,0,0.1245
270,20241006,680,7,210,2,109,0,0,0.0589
271,20260506,158,4,244,245,84,0,0,0.0567
272,20230727,283,5,282,193,152,0,0,0.0881
273,20231002,328,8,77,72,53,0,0,0.1135
274,20230204,359,6,333,108,25,0,0,0.02
275,20230915,205,2,171,181,122,0,0,0.1387
276,20250930,658,8,235,78,120,0,0,0.1279
277,20251107,113,3,32,79,193,0,0,0.0497
278,20251024,432,3,121,231,111,0,0,0.1059
279,20240428,89,8,152,249,41,0,0,0.0401
280,20241130,793,6,205,73,193,0,0,0.0761
281,20250529,220,8,146,35,132,0,0,0.1278
282,20240530,203,7,171,232,87,0,0,0.1031
283,20260510,10,9,266,64,186,0,0,0.062
284,20250109,397,8,124,99,153,0,0,0.1345
285,20250923,287,2,165,160,177,0,0,0.1231
286,20250419,250,3,0,13,46,1,0,0.0221
287,20260303,659,7,95,230,85,0,0,0.1016
288,20250710,267,2,240,214,114,0,0,0.0982
289,20230424,749,6,394,206,62,0,0,0.0127
290,20231005,228,6,234,117,151,0,0,0.1282
291,20251003,8,4,104,76,177,0,0,0.1163
292,20230609,106,2,106,39,29,0,0,0.0777
293,20260130,103,6,76,82,31,0,0,0.091
294,20230918,53,8,212,197,145,0,0,0.1111
295,20240811,442,6,95,45,32,0,0,0.0845
296,20241109,178,7,413,238,38,0,1,-0.0352
297,20230213,685,10,202,0,118,0,0,0.0588
298,20260320,763,8,163,153,40,0,0,0.12
299,20250407,292,9,193,154,129,0,0,0.1394
300,20240726,202,2,94,143,167,0,0,0.1279
301,20241031,459,8,104,138,130,0,0,0.1453
302,20260214,485,5,138,138,59,0,0,0.1418
303,20240814,444,2,0,167,121,1,0,0.0802
304,20231013,590,7,194,138,107,0,0,0.1415
305,20240504,331,4,179,4,26,0,0,0.0255
306,20250404,274,3,198,152,121,0,0,0.1361
307,20260607,650,10,249,169,61,0,0,0.1125
308,20250208,798,5,291,237,95,0,0,0.0566
309,20260228,276,8,251,141,131,0,0,0.125
310,20231009,186,5,95,231,186,0,0,0.0674
311,20231207,324,2,90,54,190,0,0,0.0752
312,20230129,737,7,133,211,132,0,0,0.1274
313,20240806,599,10,37,193,84,0,0,0.0913
314,20251206,281,8,204,6,62,0,0,0.0725
315,20240104,101,2,170,178,65,0,0,0.1297
316,20230513,483,3,317,135,73,0,0,0.0942
317,20240909,418,2,90,39,101,0,0,0.1104
318,20250422,710,7,125,108,121,0,0,0.1448
319,20230131,562,9,324,11,152,0,0,0.0264
320,20230226,379,2,106,45,148,0,0,0.1142
321,20230316,115,9,119,106,144,0,0,0.1388
322,20250424,364,10,225,249,61,0,0,0.0434
323,20240516,786,9,134,62,103,0,0,0.136
324,20230920,484,4,100,85,129,0,0,0.1326
325,20231113,646,7,35,208,145,0,0,0.0848
326,20251112,531,8,53,116,186,0,0,0.0872
327,20250928,260,9,231,179,21,0,0,0.0448
328,20240611,673,4,151,3,68,0,0,0.0737
329,20250722,790,4,177,102,44,0,0,0.1194
330,20250209,162,3,509,235,169,0,1,-0.06
331,20240128,743,7,0,214,198,1,1,-0.0088
332,20250314,346,10,70,37,148,0,0,0.0997
333,20241013,249,5,163,167,97,0,0,0.141
334,20240130,424,3,204,95,128,0,0,0.132
335,20250828,686,8,169,49,185,0,0,0.0961
336,20230528,301,4,143,185,183,0,0,0.112
337,20230307,30,4,0,235,101,1,0,0.0495
338,20250122,409,4,116,246,112,0,0,0.0687
339,20240504,777,3,39,117,127,0,0,0.1126
340,20231016,19,9,207,145,169,0,0,0.1198
341,20230205,637,5,69,169,124,0,0,0.1267
342,20240302,532,5,130,103,20,0,0,0.0559
343,20240211,466,6,67,58,174,0,0,0.0998
344,20241111,214,3,105,4,155,0,0,0.0604
345,20250308,292,6,0,175,140,1,0,0.071
346,20230707,502,6,187,49,179,0,0,0.1056
347,20231107,419,10,161,247,70,0,0,0.0637
348,20240917,236,2,133,13,173,0,0,0.078
349,20230413,573,5,0,135,183,1,0,0.0501
350,20260502,239,3,293,83,40,0,0,0.0652
351,20241115,363,10,51,84,94,0,0,0.1101
352,20230716,159,3,211,125,40,0,0,0.1048
353,20240508,412,8,112,105,116,0,0,0.1413
354,20250813,628,6,0,144,99,1,0,0.0842
355,20260224,614,1,213,155,147,0,0,0.129
356,20250228,697,6,101,23,52,0,0,0.0821
357,20241222,582,6,160,4,35,0,0,0.0481
358,20240707,750,7,228,228,112,0,0,0.0913
359,20240215,200,5,116,109,178,0,0,0.1287
360,20260420,178,2,226,53,148,0,0,0.1092
361,20250513,302,8,255,193,110,0,0,0.1019
362,20250708,278,3,141,103,43,0,0,0.12
363,20230227,727,3,0,9,34,1,1,-0.0038
364,20240217,468,5,206,40,139,0,0,0.1128
365,20240404,754,4,101,161,182,0,0,0.1139
366,20240206,166,4,57,222,39,0,0,0.064
367,20230803,750,1,137,180,139,0,0,0.1358
368,20240426,207,8,114,64,173,0,0,0.1169
369,20240823,532,2,167,146,137,0,0,0.1452
370,20260201,462,5,67,203,34,0,0,0.0771
371,20251130,206,5,222,6,86,0,0,0.0767
372,20230520,678,3,168,112,112,0,0,0.144
373,20260116,255,3,29,210,88,0,0,0.0755
374,20230717,680,7,99,136,66,0,0,0.1319
375,20250111,538,3,55,99,185,0,0,0.0879
376,20250625,611,10,83,152,169,0,0,0.1242
377,20240712,784,8,136,199,166,0,0,0.1184
378,20230703,611,6,154,161,152,0,0,0.148
379,20260129,605,1,287,46,81,0,0,0.091
380,20250210,332,2,0,133,153,1,0,0.0701
381,20250214,146,4,68,4,179,0,0,0.03
382,20240326,608,8,230,237,58,0,0,0.0719
383,20260429,665,4,68,6,193,0,0,0.0043
384,20251216,695,10,89,29,156,0,0,0.094
385,20231002,207,7,220,83,77,0,0,0.1226
386,20250111,346,4,0,248,69,1,0,0.006
387,20251015,536,3,91,177,84,0,0,0.1307
388,20240626,508,4,322,168,91,0,0,0.0894
389,20231129,409,6,92,32,130,0,0,0.1075
390,20250510,402,3,51,196,60,0,0,0.0885
391,20230823,269,8,20,26,179,1,0,0.0349
392,20250405,537,6,202,14,71,0,0,0.0891
393,20260209,752,2,92,78,190,0,0,0.0895
394,20230112,357,9,271,226,198,0,0,0.0049
395,20240110,158,4,384,10,56,0,1,-0.0126
396,20250916,182,3,81,68,64,0,0,0.1169
397,20250317,462,8,264,138,93,0,0,0.1208
398,20251212,540,2,133,120,29,0,0,0.0996
399,20230609,64,8,132,230,182,0,0,0.0847
400,20231017,792,2,263,40,193,0,0,0.0396
401,20250912,578,5,0,180,32,1,0,0.0354
402,20240328,553,10,29,30,104,0,0,0.0759
403,20241215,629,7,59,14,195,0,0,0.0195
404,20240810,11,4,131,139,79,0,0,0.1381
405,20250320,289,2,284,211,60,0,0,0.0748
406,20260125,503,10,414,36,130,0,0,0.0099
407,20240817,59,5,73,20,39,0,0,0.0624
408,20260428,712,2,112,213,194,0,0,0.063
409,20230718,655,9,136,95,31,0,0,0.1054
410,20230530,555,10,100,78,141,0,0,0.1273
411,20241225,516,6,0,217,86,1,0,0.0497
412,20251026,727,2,173,135,62,0,0,0.1423
413,20231223,778,1,466,78,133,0,1,-0.0046
414,20230918,85,7,179,158,160,0,0,0.1364
415,20250616,398,7,166,154,135,0,0,0.1475
416,20240305,412,7,521,183,110,0,1,-0.0424
417,20230602,389,8,122,185,124,0,0,0.1421
418,20240223,16,1,73,138,46,0,0,0.114
419,20230124,76,6,126,166,56,0,0,0.1343
420,20230604,158,2,201,166,94,0,0,0.1365
421,20230126,276,4,0,224,54,1,0,0.0347
422,20250325,512,6,56,2,102,0,0,0.0484
423,20231126,7,4,131,227,195,0,0,0.0468
424,20231006,777,4,168,146,87,0,0,0.1444
425,20250401,559,1,150,94,120,0,0,0.1449
426,20240907,123,3,325,126,189,0,0,0.0434
427,20231025,128,2,145,44,118,0,0,0.1351
428,20250218,277,3,0,20,152,1,0,0.0367
429,20241128,653,7,93,240,41,0,0,0.0628
430,20240903,604,10,85,216,28,0,0,0.0605
431,20230924,80,8,310,34,56,0,0,0.0576
432,20240812,184,6,121,190,187,0,0,0.0976
433,20250504,264,7,73,195,181,0,0,0.0979
434,20260223,634,8,180,180,30,0,0,0.0988
435,20251221,364,8,244,51,32,0,0,0.0728
436,20240619,383,9,163,212,121,0,0,0.1201
437,20251129,764,5,185,54,117,0,0,0.1365
438,20250530,790,9,264,196,84,0,0,0.0947
439,20240325,269,5,312,146,30,0,0,0.0517
440,20250521,526,7,205,178,185,0,0,0.0929
441,20230927,424,4,81,96,41,0,0,0.1081
442,20250827,792,5,161,17,154,0,0,0.0946
443,20251108,366,1,261,51,65,0,0,0.0973
444,20241113,651,6,313,237,191,0,1,-0.001
445,20240301,27,1,359,223,164,0,0,0.0245
446,20241216,108,6,215,231,105,0,0,0.0924
447,20241120,189,4,61,34,131,0,0,0.1002
448,20240620,776,8,97,179,182,0,0,0.1059
449,20260529,316,5,216,59,62,0,0,0.1168
450,20230427,25,9,21,117,29,0,0,0.0458
451,20231125,410,5,169,218,186,0,0,0.0805
452,20240123,705,3,259,89,24,0,0,0.0442
453,20241004,238,9,82,127,162,0,0,0.1288
454,20250129,102,1,316,158,177,0,0,0.0665
455,20250131,598,4,34,248,142,0,0,0.029
456,20231212,165,7,408,156,23,0,1,-0.0191
457,20230827,478,1,103,226,129,0,0,0.1081
458,20250307,580,6,261,229,151,0,0,0.0731
459,20231007,26,5,50,31,54,0,0,0.0819
460,20240730,54,3,154,57,168,0,0,0.1206
461,20231215,169,2,11,188,185,1,0,0.0508
462,20251004,245,7,519,212,193,0,1,-0.0885
463,20260106,183,8,156,29,190,0,0,0.0674
464,20250115,324,5,166,131,95,0,0,0.147
465,20250302,748,6,189,65,194,0,0,0.079
466,20240624,696,9,57,160,144,0,0,0.1185
467,20240731,144,1,190,169,103,0,0,0.1413
468,20250606,285,7,204,86,58,0,0,0.1185
469,20240309,355,2,162,162,92,0,0,0.1441
470,20250726,366,10,0,99,71,1,0,0.0725
471,20241028,158,2,109,234,94,0,0,0.1009
472,20240703,720,9,289,53,144,0,0,0.0875
473,20251022,777,10,237,120,99,0,0,0.1299
474,20260206,121,4,10,99,102,1,0,0.0826
475,20231125,175,1,131,84,191,0,0,0.096
476,20251108,634,9,197,28,93,0,0,0.108
477,20251022,119,5,184,214,22,0,0,0.0548
478,20260209,422,8,60,217,108,0,0,0.098
479,20250824,300,4,147,3,38,0,0,0.0503
480,20251220,111,3,300,12,50,0,0,0.0291
481,20240119,266,5,210,146,78,0,0,0.1288
482,20251230,418,9,256,247,188,0,0,0.0101
483,20240317,573,2,127,245,136,0,0,0.074
484,20260514,31,6,69,36,40,0,0,0.0805
485,20231027,402,7,141,119,108,0,0,0.1462
486,20251002,456,10,340,30,161,0,0,0.0427
487,20250531,467,4,370,99,126,0,0,0.0523
488,20230121,268,7,114,173,194,0,0,0.0857
489,20260618,327,6,184,239,138,0,0,0.0941
490,20241025,255,1,340,215,104,0,0,0.0577
491,20230324,231,4,0,115,124,1,0,0.0824
492,20240307,406,8,36,163,68,0,0,0.0953
493,20230508,57,1,395,61,22,0,1,-0.0248
494,20230725,245,8,113,122,105,0,0,0.1401
495,20230703,777,1,22,101,189,1,0,0.0574
496,20241025,389,7,172,6,112,0,0,0.0799
497,20250730,623,8,231,19,146,0,0,0.0786
498,20230121,484,6,242,245,34,0,0,0.0226
499,20260505,407,10,76,15,147,0,0,0.0803
500,20230304,717,5,170,69,35,0,0,0.1093
501,20251212,27,2,82,145,155,0,0,0.1296
502,20230617,39,5,283,64,181,0,0,0.0664
503,20230214,106,1,238,179,87,0,0,0.1198
504,20260227,485,2,128,210,131,0,0,0.1294
505,20240128,147,3,142,148,141,0,0,0.1451
506,20240312,770,4,315,244,90,0,0,0.0257
507,20260404,58,3,109,71,117,0,0,0.1352
508,20251211,407,10,165,208,84,0,0,0.1235
509,20250728,271,2,294,87,68,0,0,0.089
510,20251214,42,8,146,40,62,0,0,0.12
511,20230817,7,6,271,60,62,0,0,0.0876
512,20250402,445,8,213,99,140,0,0,0.1306
513,20241108,369,8,259,19,197,0,0,0.0085
514,20250729,637,8,143,205,49,0,0,0.1082
515,20240123,150,1,213,167,151,0,0,0.127
516,20260305,340,2,110,162,93,0,0,0.1438
517,20250124,142,1,39,131,159,0,0,0.101
518,20240609,423,3,104,101,172,0,0,0.1269
519,20240812,321,7,151,111,91,0,0,0.1391
520,20260320,121,1,122,16,121,0,0,0.1001
521,20230727,235,7,345,163,54,0,0,0.0617
522,20250730,181,2,108,34,21,0,0,0.0396
523,20240430,707,9,273,151,128,0,0,0.1109
524,20251128,381,2,0,53,42,1,0,0.0411
525,20250915,617,2,109,107,186,0,0,0.109
526,20241019,637,5,217,74,68,0,0,0.1201
527,20230626,526,8,10,93,141,1,0,0.076
528,20250303,151,10,321,114,76,0,0,0.0836
529,20250829,728,6,185,108,177,0,0,0.125
530,20240322,706,3,110,23,172,0,0,0.0847
531,20241126,123,10,167,103,131,0,0,0.1471
532,20230310,732,6,173,0,136,0,0,0.0554
533,20231115,8,7,210,201,118,0,0,0.1195
534,20250315,712,2,299,172,101,0,0,0.0982
535,20250604,351,7,93,133,128,0,0,0.1351
536,20250831,379,1,155,196,31,0,0,0.0941
537,20230207,684,6,13,179,135,1,0,0.0797
538,20231018,437,9,306,122,84,0,0,0.101
539,20251229,734,1,166,183,29,0,0,0.0954
540,20240603,756,1,318,141,79,0,0,0.0882
541,20240902,177,4,330,25,114,0,0,0.0521
542,20230316,694,4,81,52,63,0,0,0.1134
543,20241217,748,7,403,123,45,0,0,0.017
544,20240920,340,4,229,146,46,0,0,0.1078
545,20230924,238,3,279,129,131,0,0,0.114
546,20230326,666,10,95,242,199,0,1,-0.0008
547,20250219,284,5,13,95,135,1,0,0.0812
548,20240710,56,2,391,50,54,0,0,0.0203
549,20240423,745,8,70,74,155,0,0,0.1169
550,20250520,242,3,143,120,76,0,0,0.1434
551,20230629,351,6,36,81,140,0,0,0.0994
552,20260603,689,10,283,33,73,0,0,0.0775
553,20240616,182,4,151,194,56,0,0,0.1179
554,20250809,246,5,217,186,85,0,0,0.1193
555,20250330,415,3,0,93,84,1,0,0.0752
